DanTh 1:1
δόγμα N3M-NSN--- δόγμα
Μήδων N2--GPM--- Μῆδος
καὶ C--------- καί
Περσῶν N1M-GPM--- Πέρσης

DanTh 6:10
τότε D--------- τότε
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Δαρεῖος N2--NSM--- Δαρεῖος
ἐπέταξεν VAI-AAI3S- τάσσω ἐπι
γραφῆναι VD--APN--- γράφω
τὸ RA--ASN--- ὁ
δόγμα N3M-ASN--- δόγμα

DanTh 6:11
καὶ C--------- καί
Δανιηλ N---NSM--- Δανιηλ
ἡνίκα D--------- ἡνίκα
ἔγνω VZI-AAI3S- γιγνώσκω
ὅτι C--------- ὅτι
ἐνετάγη VDI-API3S- τάσσω ἐν
τὸ RA--NSN--- ὁ
δόγμα N3M-NSN--- δόγμα
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
θυρίδες N3D-NPF--- θυρίς
ἀνεῳγμέναι VK--XMPNPF οἴγω ἀνα
αὐτῷ RD--DSM--- αὐτός
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ὑπερῴοις N2N-DPN--- ὑπερῷον
αὐτοῦ RD--GSM--- αὐτός
κατέναντι P--------- κατέναντι
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
καὶ C--------- καί
καιροὺς N2--APM--- καιρός
τρεῖς A3--APM--- τρεῖς
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ἦν V9--IAI3S- εἰμί
κάμπτων V1--PAPNSM κάμπτω
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
γόνατα N3--APN--- γόνυ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
προσευχόμενος V1--PMPNSM εὔχομαι προς
καὶ C--------- καί
ἐξομολογούμενος V2--PMPNSM ὁμολογέω ἐκ
ἐναντίον P--------- ἐναντίον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτοῦ RD--GSM--- αὐτός
καθὼς D--------- καθώς
ἦν V9--IAI3S- εἰμί
ποιῶν A1A-GPM--- ποῖος
ἔμπροσθεν D--------- ἔμπροσθεν

DanTh 6:12
τότε D--------- τότε
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
ἐκεῖνοι RD--NPM--- ἐκεῖνος
παρετήρησαν VAI-AAI3P- τηρέω παρα
καὶ C--------- καί
εὗρον VB--AAI3P- εὑρίσκω
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
ἀξιοῦντα V4--PAPASM ἀξιόω
καὶ C--------- καί
δεόμενον V1--PMPASM δέω
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτοῦ RD--GSM--- αὐτός

DanTh 6:13
καὶ C--------- καί
προσελθόντες VB--AAPNPM ἔρχομαι προς
λέγουσιν V1--PAI3P- λέγω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
βασιλεῦ N3V-VSM--- βασιλεύς
οὐχ D--------- οὐ
ὁρισμὸν N2--ASM--- ὁρισμός
ἔταξας VAI-AAI2S- τάσσω
ὅπως C--------- ὅπως
πᾶς A3--NSM--- πᾶς
ἄνθρωπος N2--NSM--- ἄνθρωπος
ὃς RR--NSM--- ὅς
ἂν X--------- ἄν
αἰτήσῃ VA--AAS3S- αἰτέω
παρὰ P--------- παρά
παντὸς A3--GSM--- πᾶς
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ἀνθρώπου N2--GSM--- ἄνθρωπος
αἴτημα N3M-ASN--- αἴτημα
ἕως P--------- ἕως
ἡμερῶν N1A-GPF--- ἡμέρα
τριάκοντα M--------- τριάκοντα
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
παρὰ P--------- παρά
σοῦ RP--GS---- σύ
βασιλεῦ N3V-VSM--- βασιλεύς
ἐμβληθήσεται VC--FPI3S- βάλλω ἐν
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
ἀληθινὸς A1B-NSM--- ἀληθινός
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
καὶ C--------- καί
τὸ RA--NSN--- ὁ
δόγμα N3M-NSN--- δόγμα
Μήδων N2--GPM--- Μῆδος
καὶ C--------- καί
Περσῶν N1M-GPM--- Πέρσης
οὐ D--------- οὐ
παρελεύσεται VF--FMI3S- ἔρχομαι παρα

DanTh 6:14
τότε D--------- τότε
ἀπεκρίθησαν VCI-API3P- κρίνω ἀπο
καὶ C--------- καί
λέγουσιν V1--PAI3P- λέγω
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
Δανιηλ N---NSM--- Δανιηλ
ὁ RA--NSM--- ὁ
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία
οὐχ D--------- οὐ
ὑπετάγη VDI-API3S- τάσσω ὑπο
τῷ RA--DSN--- ὁ
δόγματί N3M-DSN--- δόγμα
σου RP--GS---- σύ
περὶ P--------- περί
τοῦ RA--GSM--- ὁ
ὁρισμοῦ N2--GSM--- ὁρισμός
οὗ RR--GSM--- ὅς
ἔταξας VAI-AAI2S- τάσσω
καὶ C--------- καί
καιροὺς N2--APM--- καιρός
τρεῖς A3--APM--- τρεῖς
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
αἰτεῖ V2--PAI3S- αἰτέω
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτοῦ RD--GSM--- αὐτός
τὰ RA--APN--- ὁ
αἰτήματα N3M-APN--- αἴτημα
αὐτοῦ RD--GSM--- αὐτός

DanTh 6:15
τότε D--------- τότε
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
ὡς C--------- ὡς
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
ἤκουσεν VAI-AAI3S- ἀκούω
πολὺ D--------- πολύς
ἐλυπήθη VCI-API3S- λυπέω
ἐπ' P--------- ἐπί
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
περὶ P--------- περί
τοῦ RA--GSM--- ὁ
Δανιηλ N---GSM--- Δανιηλ
ἠγωνίσατο VAI-AMI3S- ἀγωνίζομαι
τοῦ RA--GSN--- ὁ
ἐξελέσθαι VB--AMN--- αἱρέω ἐκ
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
ἕως P--------- ἕως
ἑσπέρας N1A-GSF--- ἑσπέρα
ἦν V9--IAI3S- εἰμί
ἀγωνιζόμενος V1--PMPNSM ἀγωνίζομαι
τοῦ RA--GSN--- ὁ
ἐξελέσθαι VB--AMN--- αἱρέω ἐκ
αὐτόν RD--ASM--- αὐτός

DanTh 6:16
τότε D--------- τότε
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
ἐκεῖνοι RD--NPM--- ἐκεῖνος
λέγουσιν V1--PAI3P- λέγω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
γνῶθι VZ--AAD2S- γιγνώσκω
βασιλεῦ N3V-VSM--- βασιλεύς
ὅτι C--------- ὅτι
δόγμα N3M-NSN--- δόγμα
Μήδοις N2--DPM--- Μῆδος
καὶ C--------- καί
Πέρσαις N1M-DPM--- Πέρσης
τοῦ RA--GSM--- ὁ
πᾶν A3--ASM--- πᾶς
ὁρισμὸν N2--ASM--- ὁρισμός
καὶ C--------- καί
στάσιν N3I-ASF--- στάσις
ἣν RR--ASF--- ὅς
ἂν X--------- ἄν
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
στήσῃ VA--AAS3S- ἵστημι
οὐ D--------- οὐ
δεῖ V2--PAI3S- δέω
παραλλάξαι VA--AAN--- ἀλλάσσω παρα

DanTh 6:17
τότε D--------- τότε
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἶπεν VBI-AAI3S- εἶπον
καὶ C--------- καί
ἤγαγον VBI-AAI3P- ἄγω
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
καὶ C--------- καί
ἐνέβαλον VBI-AAI3P- βάλλω ἐν
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ
ᾧ RR--DSM--- ὅς
σὺ RP--NS---- σύ
λατρεύεις V1--PAI2S- λατρεύω
ἐνδελεχῶς D--------- ἐνδελεχῶς
αὐτὸς RD--NSM--- αὐτός
ἐξελεῖταί VF2-FMI3S- αἱρέω ἐκ
σε RP--AS---- σύ

DanTh 6:18
καὶ C--------- καί
ἤνεγκαν VAI-AAI3P- φέρω
λίθον N2--ASM--- λίθος
καὶ C--------- καί
ἐπέθηκαν VHI-AAI3P- τίθημι ἐπι
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
τοῦ RA--GSM--- ὁ
λάκκου N2--GSM--- λάκκος
καὶ C--------- καί
ἐσφραγίσατο VAI-AMI3S- σφραγίζω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
δακτυλίῳ N2--DSM--- δακτύλιος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
δακτυλίῳ N2--DSM--- δακτύλιος
τῶν RA--GPM--- ὁ
μεγιστάνων N3--GPM--- μεγιστάν
αὐτοῦ RD--GSM--- αὐτός
ὅπως C--------- ὅπως
μὴ D--------- μή
ἀλλοιωθῇ VC--APS3S- ἀλλοιόω
πρᾶγμα N3M-NSN--- πρᾶγμα
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ

DanTh 6:19
καὶ C--------- καί
ἀπῆλθεν VBI-AAI3S- ἔρχομαι ἀπο
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐκοιμήθη VCI-API3S- κοιμάω
ἄδειπνος A1B-NSM--- ἄδειπνος
καὶ C--------- καί
ἐδέσματα N3M-APN--- ἔδεσμα
οὐκ D--------- οὐ
εἰσήνεγκαν VAI-AAI3P- φέρω εἰς
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ὕπνος N2--NSM--- ὕπνος
ἀπέστη VHI-AAI3S- ἵστημι ἀπο
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀπέκλεισεν VAI-AAI3S- κλείω ἀπο
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὰ RA--APN--- ὁ
στόματα N3M-APN--- στόμα
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
καὶ C--------- καί
οὐ D--------- οὐ
παρηνώχλησαν VAI-AAI3P- ὀχλέω παρα ἐν
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ

DanTh 6:20
τότε D--------- τότε
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωΐ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
φωτὶ N3T-DSN--- φῶς
καὶ C--------- καί
ἐν P--------- ἐν
σπουδῇ N1--DSF--- σπουδή
ἦλθεν VBI-AAI3S- ἔρχομαι
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων

DanTh 6:21
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἐγγίζειν V1--PAN--- ἐγγίζω
αὐτὸν RD--ASM--- αὐτός
τῷ RA--DSM--- ὁ
λάκκῳ N2--DSM--- λάκκος
ἐβόησεν VAI-AAI3S- βοάω
φωνῇ N1--DSF--- φωνή
ἰσχυρᾷ A1A-DSF--- ἰσχυρός
Δανιηλ N---VSM--- Δανιηλ
ὁ RA--NSM--- ὁ
δοῦλος N2--NSM--- δοῦλος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
τοῦ RA--GSM--- ὁ
ζῶντος V3--PAPGSM ζάω
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ
ᾧ RR--DSM--- ὅς
σὺ RP--NS---- σύ
λατρεύεις V1--PAI2S- λατρεύω
ἐνδελεχῶς D--------- ἐνδελεχῶς
εἰ C--------- εἰ
ἠδυνήθη VCI-API3S- δύναμαι
ἐξελέσθαι VB--AMN--- αἱρέω ἐκ
σε RP--AS---- σύ
ἐκ P--------- ἐκ
στόματος N3M-GSN--- στόμα
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων

DanTh 6:22
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δανιηλ N---NSM--- Δανιηλ
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
βασιλεῦ N3V-VSM--- βασιλεύς
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών
ζῆθι V3--PAD2S- ζάω

DanTh 6:23
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
μου RP--GS---- ἐγώ
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
τὸν RA--ASM--- ὁ
ἄγγελον N2--ASM--- ἄγγελος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐνέφραξεν VAI-AAI3S- φράσσω ἐν
τὰ RA--APN--- ὁ
στόματα N3M-APN--- στόμα
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
καὶ C--------- καί
οὐκ D--------- οὐ
ἐλυμήναντό VAI-AMI3P- λυμαίνω
με RP--AS---- ἐγώ
ὅτι C--------- ὅτι
κατέναντι P--------- κατέναντι
αὐτοῦ RD--GSM--- αὐτός
εὐθύτης N3T-NSF--- εὐθύτης
ηὑρέθη VCI-API3S- εὑρίσκω
μοι RP--DS---- ἐγώ
καὶ C--------- καί
ἐνώπιον P--------- ἐνώπιον
δὲ X--------- δέ
σοῦ RP--GS---- σύ
βασιλεῦ N3V-VSM--- βασιλεύς
παράπτωμα N3M-ASN--- παράπτωμα
οὐκ D--------- οὐ
ἐποίησα VAI-AAI1S- ποιέω

DanTh 6:24
τότε D--------- τότε
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
πολὺ D--------- πολύς
ἠγαθύνθη VCI-API3S- ἀγαθύνω
ἐπ' P--------- ἐπί
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
εἶπεν VBI-AAI3S- εἶπον
ἀνενέγκαι VA--AAN--- φέρω ἀνα
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
λάκκου N2--GSM--- λάκκος
καὶ C--------- καί
ἀνηνέχθη VQI-API3S- φέρω ἀνα
Δανιηλ N---NSM--- Δανιηλ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
λάκκου N2--GSM--- λάκκος
καὶ C--------- καί
πᾶσα A1S-NSF--- πᾶς
διαφθορὰ N1A-NSF--- διαφθορά
οὐχ D--------- οὐ
εὑρέθη VC--API3S- εὑρίσκω
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
ὅτι C--------- ὅτι
ἐπίστευσεν VAI-AAI3S- πιστεύω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
αὐτοῦ RD--GSM--- αὐτός

DanTh 6:25
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
καὶ C--------- καί
ἠγάγοσαν VBI-AAI3P- ἄγω
τοὺς RA--APM--- ὁ
ἄνδρας N3--APM--- ἀνήρ
τοὺς RA--APM--- ὁ
διαβαλόντας VB--AAPAPM βάλλω δια
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
καὶ C--------- καί
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
ἐνεβλήθησαν VCI-API3P- βάλλω ἐν
αὐτοὶ RD--NPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἔφθασαν VAI-AAI3P- φθάνω
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
ἔδαφος N3E-ASN--- ἔδαφος
τοῦ RA--GSM--- ὁ
λάκκου N2--GSM--- λάκκος
ἕως P--------- ἕως
οὗ RR--GSM--- ὅς
ἐκυρίευσαν VAI-AAI3P- κυριεύω
αὐτῶν RD--GPM--- αὐτός
οἱ RA--NPM--- ὁ
λέοντες N3--NPM--- λέων
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ὀστᾶ N2N-APN--- ὀστέον
αὐτῶν RD--GPM--- αὐτός
ἐλέπτυναν VAI-AAI3P- λεπτύνω

DanTh 6:26
τότε D--------- τότε
Δαρεῖος N2--NSM--- Δαρεῖος
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἔγραψεν VAI-AAI3S- γράφω
πᾶσι A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
λαοῖς N2--DPM--- λαός
φυλαῖς N1--DPF--- φυλή
γλώσσαις N1S-DPF--- γλῶσσα
τοῖς RA--DPM--- ὁ
οἰκοῦσιν V2--PAPDPM οἰκέω
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
εἰρήνη N1--NSF--- εἰρήνη
ὑμῖν RP--DP---- σύ
πληθυνθείη VC--APO3S- πληθύνω

DanTh 6:27
ἐκ P--------- ἐκ
προσώπου N2N-GSN--- πρόσωπον
μου RP--GS---- ἐγώ
ἐτέθη VCI-API3S- τίθημι
δόγμα N3M-NSN--- δόγμα
τοῦ RA--GSN--- ὁ
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
ἀρχῇ N1--DSF--- ἀρχή
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
μου RP--GS---- ἐγώ
εἶναι V9--PAN--- εἰμί
τρέμοντας V1--PAPAPM τρέμω
καὶ C--------- καί
φοβουμένους V2--PMPAPM φοβέω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
Δανιηλ N---GSM--- Δανιηλ
ὅτι C--------- ὅτι
αὐτός RD--NSM--- αὐτός
ἐστιν V9--PAI3S- εἰμί
θεὸς N2--NSM--- θεός
ζῶν V3--PAPNSM ζάω
καὶ C--------- καί
μένων V1--PAPNSM μένω
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών
καὶ C--------- καί
ἡ RA--NSF--- ὁ
βασιλεία N1A-NSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
οὐ D--------- οὐ
διαφθαρήσεται VD--FPI3S- φθείρω δια
καὶ C--------- καί
ἡ RA--NSF--- ὁ
κυριεία N1A-NSF--- κυριεία
αὐτοῦ RD--GSM--- αὐτός
ἕως P--------- ἕως
τέλους N3E-GSN--- τέλος

DanTh 6:28
ἀντιλαμβάνεται V1--PMI3S- λαμβάνω ἀντι
καὶ C--------- καί
ῥύεται V1--PMI3S- ῥύομαι
καὶ C--------- καί
ποιεῖ V2--PAI3S- ποιέω
σημεῖα N2N-APN--- σημεῖον
καὶ C--------- καί
τέρατα N3T-APN--- τέρας
ἐν P--------- ἐν
οὐρανῷ N2--DSM--- οὐρανός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὅστις RX--NSM--- ὅστις
ἐξείλατο VBI-AMI3S- αἱρέω ἐκ
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων

DanTh 6:29
καὶ C--------- καί
Δανιηλ N---NSM--- Δανιηλ
κατεύθυνεν V1--IAI3S- εὐθύνω κατα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
Δαρείου N2--GSM--- Δαρεῖος
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
Κύρου N2--GSM--- Κῦρος
τοῦ RA--GSM--- ὁ
Πέρσου N1M-GSM--- Πέρσης

DanTh 7:1
ἐν P--------- ἐν
ἔτει N3E-DSN--- ἔτος
πρώτῳ A1--DSNS-- πρῶτος
Βαλτασαρ N---GSM--- Βαλτασαρ
βασιλέως N3V-GSM--- βασιλεύς
Χαλδαίων N2--GPM--- Χαλδαῖος
Δανιηλ N---NSM--- Δανιηλ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
εἶδεν VBI-AAI3S- ὁράω
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ὁράσεις N3I-NPF--- ὅρασις
τῆς RA--GSF--- ὁ
κεφαλῆς N1--GSF--- κεφαλή
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κοίτης N1--GSF--- κοίτη
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
ἔγραψεν VAI-AAI3S- γράφω

DanTh 7:2
ἐγὼ RP--NS---- ἐγώ
Δανιηλ N---NSM--- Δανιηλ
ἐθεώρουν V2I-IAI1S- θεωρέω
ἐν P--------- ἐν
ὁράματί N3M-DSN--- ὅραμα
μου RP--GS---- ἐγώ
τῆς RA--GSF--- ὁ
νυκτὸς N3--GSF--- νύξ
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
οἱ RA--NPM--- ὁ
τέσσαρες A3--NPM--- τέσσαρες
ἄνεμοι N2--NPM--- ἄνεμος
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
