Jos 1:1
ἐπαύλεις N3I-NPF--- ἔπαυλις
αὐτῆς RD--GSF--- αὐτός
πόλεις N3I-NPF--- πόλις
δέκα M--------- δέκα
τέσσαρες M---NPF--- τέσσαρες
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῶν RD--GPF--- αὐτός

Jos 15:37
Σεννα N---NS---- Σεννα
καὶ C--------- καί
Αδασαν N---NS---- Αδασαν
καὶ C--------- καί
Μαγαδαγαδ N---NS---- Μαγαδαγαδ

Jos 15:38
καὶ C--------- καί
Δαλαλ N---NS---- Δαλαλ
καὶ C--------- καί
Μασφα N---NS---- Μασφα
καὶ C--------- καί
Ιακαρεηλ N---NS---- Ιακαρεηλ

Jos 15:39
καὶ C--------- καί
Λαχης N---NS---- Λαχης
καὶ C--------- καί
Βασηδωθ N---NS---- Βασηδωθ
καὶ C--------- καί
Ιδεαδαλεα N---NS---- Ιδεαδαλεα

Jos 15:40
καὶ C--------- καί
Χαβρα N---NS---- Χαβρα
καὶ C--------- καί
Μαχες N---NS---- Μαχες
καὶ C--------- καί
Μααχως N---NS---- Μααχως

Jos 15:41
καὶ C--------- καί
Γεδδωρ N---NS---- Γεδδωρ
καὶ C--------- καί
Βαγαδιηλ N---NS---- Βαγαδιηλ
καὶ C--------- καί
Νωμαν N---NS---- Νωμαν
καὶ C--------- καί
Μακηδαν N---NS---- Μακηδαν
πόλεις N3I-NPF--- πόλις
δεκαὲξ M--------- δέκα+ἕξ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῶν RD--GPF--- αὐτός

Jos 15:42
Λεμνα N---NS---- Λεμνα
καὶ C--------- καί
Ιθακ N---NS---- Ιθακ

Jos 15:43
καὶ C--------- καί
Ανωχ N---NS---- Ανωχ
καὶ C--------- καί
Ιανα N---NS---- Ιανα
καὶ C--------- καί
Νασιβ N---NS---- Νασιβ

Jos 15:44
καὶ C--------- καί
Κεϊλαμ N---NS---- Κεϊλαμ
καὶ C--------- καί
Ακιεζι N---NS---- Ακιεζι
καὶ C--------- καί
Κεζιβ N---NS---- Κεζιβ
καὶ C--------- καί
Βαθησαρ N---NS---- Βαθησαρ
καὶ C--------- καί
Αιλων N---NS---- Αιλων
πόλεις N3I-NPF--- πόλις
δέκα M--------- δέκα
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῶν RD--GPF--- αὐτός

Jos 15:45
Ακκαρων N---NS---- Ακκαρων
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ἐπαύλεις N3I-NPF--- ἔπαυλις
αὐτῶν RD--GPF--- αὐτός

Jos 15:46
ἀπὸ P--------- ἀπό
Ακκαρων N---GS---- Ακκαρων
Γεμνα N---GS---- Γεμνα
καὶ C--------- καί
πᾶσαι A1S-NPF--- πᾶς
ὅσαι A1--NPF--- ὅσος
εἰσὶν V9--PAI3P- εἰμί
πλησίον P--------- πλησίον
Ασηδωθ N---GS---- Ασηδωθ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῶν RD--GPF--- αὐτός

Jos 15:47
Ασιεδωθ N---NS---- Ασιεδωθ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ἐπαύλεις N3I-NPF--- ἔπαυλις
αὐτῆς RD--GSF--- αὐτός
Γάζα N1A-NSF--- Γάζα
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ἐπαύλεις N3I-NPF--- ἔπαυλις
αὐτῆς RD--GSF--- αὐτός
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
χειμάρρου N2--GSM--- χειμάροος
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
θάλασσα N1S-NSF--- θάλασσα
ἡ RA--NSF--- ὁ
μεγάλη A1--NSF--- μέγας
διορίζει V1--PAI3S- ὁρίζω δια

Jos 15:48
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὀρεινῇ N1--DSF--- ὀρεινή
Σαμιρ N---NS---- Σαμιρ
καὶ C--------- καί
Ιεθερ N---NS---- Ιεθερ
καὶ C--------- καί
Σωχα N---NS---- Σωχα

Jos 15:49
καὶ C--------- καί
Ρεννα N---NS---- Ρεννα
καὶ C--------- καί
Πόλις N3I-NSF--- πόλις
γραμμάτων N3M-GPN--- γράμμα
αὕτη RD--NSF--- οὗτος
Δαβιρ N---NSF--- Δαβιρ

Jos 15:50
καὶ C--------- καί
Ανων N---NS---- Ανων
καὶ C--------- καί
Εσκαιμαν N---NS---- Εσκαιμαν
καὶ C--------- καί
Αισαμ N---NS---- Αισαμ

Jos 15:51
καὶ C--------- καί
Γοσομ N---NS---- Γοσομ
καὶ C--------- καί
Χαλου N---NS---- Χαλου
καὶ C--------- καί
Χαννα N---NS---- Χαννα
πόλεις N3I-NPF--- πόλις
ἕνδεκα M--------- ἕνδεκα
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῶν RD--GPF--- αὐτός

Jos 15:52
Αιρεμ N---NS---- Αιρεμ
καὶ C--------- καί
Ρεμνα N---NS---- Ρεμνα
καὶ C--------- καί
Σομα N---NS---- Σομα

Jos 15:53
καὶ C--------- καί
Ιεμαϊν N---NS---- Ιεμαϊν
καὶ C--------- καί
Βαιθαχου N---NS---- Βαιθαχου
καὶ C--------- καί
Φακουα N---NS---- Φακουα

Jos 15:54
καὶ C--------- καί
Ευμα N---NS---- Ευμα
καὶ C--------- καί
πόλις N3I-NSF--- πόλις
Αρβοκ N---GS---- Αρβοκ
αὕτη RD--NSF--- οὗτος
ἐστὶν V9--PAI3S- εἰμί
Χεβρων N---NSF--- Χεβρων
καὶ C--------- καί
Σωρθ N---NS---- Σωρθ
πόλεις N3I-NPF--- πόλις
ἐννέα M--------- ἐννέα
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ἐπαύλεις N3I-NPF--- ἔπαυλις
αὐτῶν RD--GPF--- αὐτός

Jos 15:55
Μαωρ N---NS---- Μαωρ
καὶ C--------- καί
Χερμελ N---NS---- Χερμελ
καὶ C--------- καί
Οζιβ N---NS---- Οζιβ
καὶ C--------- καί
Ιταν N---NS---- Ιταν

Jos 15:56
καὶ C--------- καί
Ιαριηλ N---NS---- Ιαριηλ
καὶ C--------- καί
Ιαρικαμ N---NS---- Ιαρικαμ
καὶ C--------- καί
Ζακαναϊμ N---NS---- Ζακαναϊμ

Jos 15:57
καὶ C--------- καί
Γαβαα N---NS---- Γαβαα
καὶ C--------- καί
Θαμναθα N---NS---- Θαμναθα
πόλεις N3I-NPF--- πόλις
ἐννέα M--------- ἐννέα
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῶν RD--GPF--- αὐτός

Jos 15:58
Αλουα N---NS---- Αλουα
καὶ C--------- καί
Βαιθσουρ N---NS---- Βαιθσουρ
καὶ C--------- καί
Γεδδων N---NS---- Γεδδων

Jos 15:59
καὶ C--------- καί
Μαγαρωθ N---NS---- Μαγαρωθ
καὶ C--------- καί
Βαιθαναμ N---NS---- Βαιθαναμ
καὶ C--------- καί
Θεκουμ N---NS---- Θεκουμ
πόλεις N3I-NPF--- πόλις
ἓξ M--------- ἕξ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῶν RD--GPF--- αὐτός

Jos 15:59a
Θεκω N---NS---- Θεκω
καὶ C--------- καί
Εφραθα N---NS---- Εφραθα
αὕτη RD--NSF--- οὗτος
ἐστὶν V9--PAI3S- εἰμί
Βαιθλεεμ N---NS---- Βαιθλεεμ
καὶ C--------- καί
Φαγωρ N---NS---- Φαγωρ
καὶ C--------- καί
Αιταν N---NS---- Αιταν
καὶ C--------- καί
Κουλον N---NS---- Κουλον
καὶ C--------- καί
Ταταμ N---NS---- Ταταμ
καὶ C--------- καί
Εωβης N---NS---- Εωβης
καὶ C--------- καί
Καρεμ N---NS---- Καρεμ
καὶ C--------- καί
Γαλεμ N---NS---- Γαλεμ
καὶ C--------- καί
Θεθηρ N---NS---- Θεθηρ
καὶ C--------- καί
Μανοχω N---NS---- Μανοχω
πόλεις N3I-NPF--- πόλις
ἕνδεκα M--------- ἕνδεκα
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῶν RD--GPF--- αὐτός

Jos 15:60
Καριαθβααλ N---NS---- Καριαθβααλ
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
πόλις N3I-NSF--- πόλις
Ιαριμ N---GS---- Ιαριμ
καὶ C--------- καί
Σωθηβα N---NS---- Σωθηβα
πόλεις N3I-NPF--- πόλις
δύο M--------- δύο
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ἐπαύλεις N3I-NPF--- ἔπαυλις
αὐτῶν RD--GPF--- αὐτός

Jos 15:61
καὶ C--------- καί
Βαδδαργις N---NS---- Βαδδαργις
καὶ C--------- καί
Θαραβααμ N---NS---- Θαραβααμ
καὶ C--------- καί
Αινων N---NS---- Αινων
καὶ C--------- καί
Αιχιοζα N---NS---- Αιχιοζα

Jos 15:62
καὶ C--------- καί
Ναφλαζων N---NS---- Ναφλαζων
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πόλεις N3I-NPF--- πόλις
Σαδωμ N---NS---- Σαδωμ
καὶ C--------- καί
Ανκαδης N---NS---- Ανκαδης
πόλεις N3I-NPF--- πόλις
ἑπτὰ M--------- ἑπτά
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῶν RD--GPF--- αὐτός

Jos 15:63
καὶ C--------- καί
ὁ RA--NSM--- ὁ
Ιεβουσαῖος N2--NSM--- Ιεβουσαῖος
κατῴκει V2I-IAI3S- οἰκέω κατα
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
καὶ C--------- καί
οὐκ D--------- οὐ
ἠδυνάσθησαν VSI-API3P- δύναμαι
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ιουδα N---GSM--- Ιουδα
ἀπολέσαι VA--AAN--- ὀλλύω ἀπο
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
κατῴκησαν VAI-AAI3P- οἰκέω κατα
οἱ RA--NPM--- ὁ
Ιεβουσαῖοι N2--NPM--- Ιεβουσαῖος
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ἐκείνης RD--GSF--- ἐκεῖνος

Jos 16:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
υἱῶν N2--GPM--- υἱός
Ιωσηφ N---GSM--- Ιωσηφ
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
τοῦ RA--GSM--- ὁ
κατὰ P--------- κατά
Ιεριχω N---ASF--- Ιεριχω
ἀπ' P--------- ἀπό
ἀνατολῶν N1--GPF--- ἀνατολή
καὶ C--------- καί
ἀναβήσεται VF--FMI3S- βαίνω ἀνα
ἀπὸ P--------- ἀπό
Ιεριχω N---GSF--- Ιεριχω
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ὀρεινὴν N1--ASF--- ὀρεινή
τὴν RA--ASF--- ὁ
ἔρημον N2--ASF--- ἔρημος
εἰς P--------- εἰς
Βαιθηλ N---AS---- Βαιθηλ
Λουζα N---GS---- Λουζα

Jos 16:2
καὶ C--------- καί
ἐξελεύσεται VF--FMI3S- ἔρχομαι ἐκ
εἰς P--------- εἰς
Βαιθηλ N---AS---- Βαιθηλ
καὶ C--------- καί
παρελεύσεται VF--FMI3S- ἔρχομαι παρα
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ὅρια N2N-APN--- ὅριον
τοῦ RA--GSM--- ὁ
Χαταρωθι N---GSM--- Χαταρωθι

Jos 16:3
καὶ C--------- καί
διελεύσεται VF--FMI3S- ἔρχομαι δια
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
θάλασσαν N1S-ASF--- θάλασσα
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ὅρια N2N-APN--- ὅριον
Απταλιμ N---GS---- Απταλιμ
ἕως P--------- ἕως
τῶν RA--GPN--- ὁ
ὁρίων N2N-GPN--- ὅριον
Βαιθωρων N---GS---- Βαιθωρων
τὴν RA--ASF--- ὁ
κάτω D--------- κάτω
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ἡ RA--NSF--- ὁ
διέξοδος N2--NSF--- διέξοδος
αὐτῶν RD--GPN--- αὐτός
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
θάλασσαν N1S-ASF--- θάλασσα

Jos 16:4
καὶ C--------- καί
ἐκληρονόμησαν VAI-AAI3P- κληρονομέω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ιωσηφ N---GSM--- Ιωσηφ
Εφραιμ N---NS---- Ἐφράιμ
καὶ C--------- καί
Μανασση N---NS---- Μανασσή

Jos 16:5
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
ὅρια N2N-NPN--- ὅριον
υἱῶν N2--GPM--- υἱός
Εφραιμ N---GS---- Ἐφράιμ
κατὰ P--------- κατά
δήμους N2--APM--- δῆμος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
τῆς RA--GSF--- ὁ
κληρονομίας N1A-GSF--- κληρονομία
αὐτῶν RD--GPM--- αὐτός
ἀπὸ P--------- ἀπό
ἀνατολῶν N1--GPF--- ἀνατολή
Αταρωθ N---GS---- Αταρωθ
καὶ C--------- καί
Εροκ N---GS---- Εροκ
ἕως P--------- ἕως
Βαιθωρων N---GS---- Βαιθωρων
τὴν RA--ASF--- ὁ
ἄνω D--------- ἄνω
καὶ C--------- καί
Γαζαρα N---GS---- Γαζαρα

Jos 16:6
καὶ C--------- καί
διελεύσεται VF--FMI3S- ἔρχομαι δια
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
θάλασσαν N1S-ASF--- θάλασσα
εἰς P--------- εἰς
Ικασμων N---AS---- Ικασμων
ἀπὸ P--------- ἀπό
βορρᾶ N1T-GSM--- βορέας
Θερμα N---GS---- Θερμα
περιελεύσεται VF--FMI3S- ἔρχομαι περι
ἐπὶ P--------- ἐπί
ἀνατολὰς N1--APF--- ἀνατολή
εἰς P--------- εἰς
Θηνασα N---AS---- Θηνασα
καὶ C--------- καί
Σελλησα N---AS---- Σελλησα
καὶ C--------- καί
παρελεύσεται VF--FMI3S- ἔρχομαι παρα
ἀπ' P--------- ἀπό
ἀνατολῶν N1--GPF--- ἀνατολή
εἰς P--------- εἰς
Ιανωκα N---AS---- Ιανωκα

Jos 16:7
καὶ C--------- καί
εἰς P--------- εἰς
Μαχω N---AS---- Μαχω
καὶ C--------- καί
Αταρωθ N---AS---- Αταρωθ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐλεύσεται VF--FMI3S- ἔρχομαι
ἐπὶ P--------- ἐπί
Ιεριχω N---ASF--- Ιεριχω
καὶ C--------- καί
διεκβαλεῖ VF2-FAI3S- βάλλω δια ἐκ
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
Ιορδάνην N1M-ASM--- Ἰορδάνης

Jos 16:8
καὶ C--------- καί
ἀπὸ P--------- ἀπό
Ταφου N---GS---- Ταφου
πορεύσεται VF--FMI3S- πορεύομαι
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
ἐπὶ P--------- ἐπί
θάλασσαν N1S-ASF--- θάλασσα
ἐπὶ P--------- ἐπί
Χελκανα N---AS---- Χελκανα
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ἡ RA--NSF--- ὁ
διέξοδος N2--NSF--- διέξοδος
αὐτῶν RD--GPN--- αὐτός
ἐπὶ P--------- ἐπί
θάλασσαν N1S-ASF--- θάλασσα
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
κληρονομία N1A-NSF--- κληρονομία
φυλῆς N1--GSF--- φυλή
Εφραιμ N---GS---- Ἐφράιμ
κατὰ P--------- κατά
δήμους N2--APM--- δῆμος
αὐτῶν RD--GPM--- αὐτός

Jos 16:9
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πόλεις N3I-NPF--- πόλις
αἱ RA--NPF--- ὁ
ἀφορισθεῖσαι VC--APPNPF ὁρίζω ἀπο
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Εφραιμ N---GS---- Ἐφράιμ
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τῆς RA--GSF--- ὁ
κληρονομίας N1A-GSF--- κληρονομία
υἱῶν N2--GPM--- υἱός
Μανασση N---GS---- Μανασσή
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
πόλεις N3I-NPF--- πόλις
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῶν RD--GPF--- αὐτός

Jos 16:10
καὶ C--------- καί
οὐκ D--------- οὐ
ἀπώλεσεν VAI-AAI3S- ὀλλύω ἀπο
Εφραιμ N---NS---- Ἐφράιμ
τὸν RA--ASM--- ὁ
Χαναναῖον N2--ASM--- Χαναναῖος
τὸν RA--ASM--- ὁ
κατοικοῦντα V2--PAPASM οἰκέω κατα
ἐν P--------- ἐν
Γαζερ N---DS---- Γαζερ
καὶ C--------- καί
κατῴκει V2I-IAI3S- οἰκέω κατα
ὁ RA--NSM--- ὁ
Χαναναῖος N2--NSM--- Χαναναῖος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Εφραιμ N---DSM--- Ἐφράιμ
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος
ἕως P--------- ἕως
ἀνέβη VZI-AAI3S- βαίνω ἀνα
Φαραω N---NSM--- Φαραώ
βασιλεὺς N3V-NSM--- βασιλεύς
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἐνέπρησεν VAI-AAI3S- πίμπρημι ἐν
αὐτὴν RD--ASF--- αὐτός
ἐν P--------- ἐν
πυρί N3--DSN--- πῦρ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
Χαναναίους N2--APM--- Χαναναῖος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
Φερεζαίους N2--APM--- Φερεζαῖος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
ἐν P--------- ἐν
Γαζερ N---DS---- Γαζερ
ἐξεκέντησαν VAI-AAI3P- κεντέω ἐκ
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτὴν RD--ASF--- αὐτός
Φαραω N---NSM--- Φαραώ
ἐν P--------- ἐν
φερνῇ N1--DSF--- φερνή
τῇ RA--DSF--- ὁ
θυγατρὶ N3--DSF--- θυγάτηρ
αὐτοῦ RD--GSM--- αὐτός

Jos 17:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
φυλῆς N1--GSF--- φυλή
υἱῶν N2--GPM--- υἱός
Μανασση N---GS---- Μανασσή
ὅτι C--------- ὅτι
οὗτος RD--NSM--- οὗτος
πρωτότοκος A1B-NSM--- πρωτότοκος
τῷ RA--DSM--- ὁ
Ιωσηφ N---DSM--- Ιωσηφ
τῷ RA--DSM--- ὁ
Μαχιρ N---DSM--- Μαχιρ
πρωτοτόκῳ A1B-DSM--- πρωτότοκος
Μανασση N---GS---- Μανασσή
πατρὶ N3--DSM--- πατήρ
Γαλααδ N---GS---- Γαλαάδ
ἀνὴρ N3--NSM--- ἀνήρ
γὰρ X--------- γάρ
πολεμιστὴς N1M-NSM--- πολεμιστής
ἦν V9--IAI3S- εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
Γαλααδίτιδι N3D-DSF--- Γαλααδῖτις
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
Βασανίτιδι N3D-DSF--- Βασανῖτις

Jos 17:2
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Μανασση N---GS---- Μανασσή
τοῖς RA--DPM--- ὁ
λοιποῖς A1--DPM--- λοιπός
κατὰ P--------- κατά
δήμους N2--APM--- δῆμος
αὐτῶν RD--GPM--- αὐτός
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ιεζερ N---GS---- Ιεζερ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Κελεζ N---GS---- Κελεζ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ιεζιηλ N---GS---- Ιεζιηλ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Συχεμ N---GS---- Συχεμ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Συμαριμ N---GS---- Συμαριμ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Οφερ N---GS---- Οφερ
οὗτοι RD--NPM--- οὗτος
οἱ RA--NPM--- ὁ
ἄρσενες A3--NPM--- ἄρσην
κατὰ P--------- κατά
δήμους N2--APM--- δῆμος
αὐτῶν RD--GPM--- αὐτός

Jos 17:3
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Σαλπααδ N---DSM--- Σαλπααδ
υἱῷ N2--DSM--- υἱός
Οφερ N---GS---- Οφερ
οὐκ D--------- οὐ
ἦσαν V9--IAI3P- εἰμί
αὐτῷ RD--DSM--- αὐτός
υἱοὶ N2--NPM--- υἱός
ἀλλ' C--------- ἀλλά
