Est 1:1a
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἰδοὺ I--------- ἰδού
Αμαν N---NSM--- Αμαν
ἕστηκεν VXI-XAI3S- ἵστημι
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
αὐλῇ N1--DSF--- αὐλή
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
καλέσατε VA--AAD2P- καλέω
αὐτόν RD--ASM--- αὐτός

Est 6:6
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τῷ RA--DSM--- ὁ
Αμαν N---DSM--- Αμαν
τί RI--ASN--- τίς
ποιήσω VF--FAI1S- ποιέω
τῷ RA--DSM--- ὁ
ἀνθρώπῳ N2--DSM--- ἄνθρωπος
ὃν RR--ASM--- ὅς
ἐγὼ RP--NS---- ἐγώ
θέλω V1--PAI1S- θέλω
δοξάσαι VA--AAN--- δοξάζω
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ἐν P--------- ἐν
ἑαυτῷ RD--DSM--- ἑαυτοῦ
Αμαν N---NSM--- Αμαν
τίνα RI--ASM--- τίς
θέλει V1--PAI3S- θέλω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
δοξάσαι VA--AAN--- δοξάζω
εἰ C--------- εἰ
μὴ D--------- μή
ἐμέ RP--AS---- ἐγώ

Est 6:7
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
ἄνθρωπον N2--ASM--- ἄνθρωπος
ὃν RR--ASM--- ὅς
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
θέλει V1--PAI3S- θέλω
δοξάσαι VA--AAN--- δοξάζω

Est 6:8
ἐνεγκάτωσαν VA--AAD3P- φέρω
οἱ RA--NPM--- ὁ
παῖδες N3D-NPM--- παῖς
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
στολὴν N1--ASF--- στολή
βυσσίνην A1--ASF--- βύσσινος
ἣν RR--ASF--- ὅς
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
περιβάλλεται V1--PMI3S- βάλλω περι
καὶ C--------- καί
ἵππον N2--ASM--- ἵππος
ἐφ' P--------- ἐπί
ὃν RR--ASM--- ὅς
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐπιβαίνει V1--PAI3S- βαίνω ἐπι

Est 6:9
καὶ C--------- καί
δότω VO--AAD3S- δίδωμι
ἑνὶ A3--DSM--- εἷς
τῶν RA--GPM--- ὁ
φίλων A1--GPM--- φίλος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
τῶν RA--GPM--- ὁ
ἐνδόξων A1B-GPM--- ἔνδοξος
καὶ C--------- καί
στολισάτω VA--AAD3S- στολίζω
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
ὃν RR--ASM--- ὅς
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἀγαπᾷ V3--PAI3S- ἀγαπάω
καὶ C--------- καί
ἀναβιβασάτω VA--AAD3S- βιβάζω ἀνα
αὐτὸν RD--ASM--- αὐτός
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
ἵππον N2--ASM--- ἵππος
καὶ C--------- καί
κηρυσσέτω V1--PAD3S- κηρύσσω
διὰ P--------- διά
τῆς RA--GSF--- ὁ
πλατείας N1A-GSF--- πλατεῖα
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
λέγων V1--PAPNSM λέγω
οὕτως D--------- οὕτως
ἔσται VF--FMI3S- εἰμί
παντὶ A3--DSM--- πᾶς
ἀνθρώπῳ N2--DSM--- ἄνθρωπος
ὃν RR--ASM--- ὅς
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
δοξάζει V1--PAI3S- δοξάζω

Est 6:10
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τῷ RA--DSM--- ὁ
Αμαν N---DSM--- Αμαν
καθὼς D--------- καθώς
ἐλάλησας VAI-AAI2S- λαλέω
οὕτως D--------- οὕτως
ποίησον VA--AAD2S- ποιέω
τῷ RA--DSM--- ὁ
Μαρδοχαίῳ N2--DSM--- Μαρδοχαῖος
τῷ RA--DSM--- ὁ
Ιουδαίῳ N2--DSM--- Ἰουδαῖος
τῷ RA--DSM--- ὁ
θεραπεύοντι V1--PAPDSM θεραπεύω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
αὐλῇ N1--DSF--- αὐλή
καὶ C--------- καί
μὴ D--------- μή
παραπεσάτω VA--AAD3S- πίπτω παρα
σου RP--GS---- σύ
λόγος N2--NSM--- λόγος
ὧν RR--GPM--- ὅς
ἐλάλησας VAI-AAI2S- λαλέω

Est 6:11
ἔλαβεν VBI-AAI3S- λαμβάνω
δὲ X--------- δέ
Αμαν N---NSM--- Αμαν
τὴν RA--ASF--- ὁ
στολὴν N1--ASF--- στολή
καὶ C--------- καί
τὸν RA--ASM--- ὁ
ἵππον N2--ASM--- ἵππος
καὶ C--------- καί
ἐστόλισεν VAI-AAI3S- στολίζω
τὸν RA--ASM--- ὁ
Μαρδοχαῖον N2--ASM--- Μαρδοχαῖος
καὶ C--------- καί
ἀνεβίβασεν VAI-AAI3S- βιβάζω ἀνα
αὐτὸν RD--ASM--- αὐτός
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
ἵππον N2--ASM--- ἵππος
καὶ C--------- καί
διῆλθεν VBI-AAI3S- ἔρχομαι δια
διὰ P--------- διά
τῆς RA--GSF--- ὁ
πλατείας N1A-GSF--- πλατεῖα
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
καὶ C--------- καί
ἐκήρυσσεν VAI-AAI3S- κηρύσσω
λέγων V1--PAPNSM λέγω
οὕτως D--------- οὕτως
ἔσται VF--FMI3S- εἰμί
παντὶ A3--DSM--- πᾶς
ἀνθρώπῳ N2--DSM--- ἄνθρωπος
ὃν RR--ASM--- ὅς
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
θέλει V1--PAI3S- θέλω
δοξάσαι VA--AAN--- δοξάζω

Est 6:12
ἐπέστρεψεν VAI-AAI3S- στρέφω ἐπι
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αὐλήν N1--ASF--- αὐλή
Αμαν N---NSM--- Αμαν
δὲ X--------- δέ
ὑπέστρεψεν VAI-AAI3S- στρέφω ὑπο
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ἴδια A1A-APN--- ἴδιος
λυπούμενος V2--PMPNSM λυπέω
κατὰ P--------- κατά
κεφαλῆς N1--GSF--- κεφαλή

Est 6:13
καὶ C--------- καί
διηγήσατο VAI-AMI3S- ἡγέομαι δια
Αμαν N---NSM--- Αμαν
τὰ RA--APN--- ὁ
συμβεβηκότα VX--XAPAPN βαίνω συν
αὐτῷ RD--DSM--- αὐτός
Ζωσαρα N---DSF--- Ζωσαρα
τῇ RA--DSF--- ὁ
γυναικὶ N3K-DSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
φίλοις A1--DPM--- φίλος
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
οἱ RA--NPM--- ὁ
φίλοι A1--NPM--- φίλος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γυνή N3K-NSF--- γυνή
εἰ C--------- εἰ
ἐκ P--------- ἐκ
γένους N3E-GSN--- γένος
Ιουδαίων N2--GPM--- Ἰουδαῖος
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ἦρξαι VA--AAN--- ἄρχω
ταπεινοῦσθαι V4--PMN--- ταπεινόω
ἐνώπιον P--------- ἐνώπιον
αὐτοῦ RD--GSM--- αὐτός
πεσὼν VB--AAPNSM πίπτω
πεσῇ VF--FMI2S- πίπτω
οὐ D--------- οὐ
μὴ D--------- μή
δύνῃ V6--PMI2S- δύναμαι
αὐτὸν RD--ASM--- αὐτός
ἀμύνασθαι VA--AMN--- ἀμύνω
ὅτι C--------- ὅτι
θεὸς N2--NSM--- θεός
ζῶν V3--PAPNSM ζάω
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός

Est 6:14
ἔτι D--------- ἔτι
αὐτῶν RD--GPM--- αὐτός
λαλούντων V2--PAPGPM λαλέω
παραγίνονται V1--PMI3P- γίγνομαι παρα
οἱ RA--NPM--- ὁ
εὐνοῦχοι N2--NPM--- εὐνοῦχος
ἐπισπεύδοντες V1--PAPNPM σπεύδω ἐπι
τὸν RA--ASM--- ὁ
Αμαν N---ASM--- Αμαν
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
πότον N2--ASM--- πότος
ὃν RR--ASM--- ὅς
ἡτοίμασεν VAI-AAI3S- ἑτοιμάζω
Εσθηρ N---NSF--- Εσθηρ

Est 7:1
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
Αμαν N---NSM--- Αμαν
συμπιεῖν VB--AAN--- πίνω συν
τῇ RA--DSF--- ὁ
βασιλίσσῃ N1A-DSF--- βασίλισσα

Est 7:2
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Εσθηρ N---DSF--- Εσθηρ
τῇ RA--DSF--- ὁ
δευτέρᾳ A1A-DSF--- δεύτερος
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πότῳ N2N-DSN--- πότος
τί RI--NSN--- τίς
ἐστιν V9--PAI3S- εἰμί
Εσθηρ N---VSF--- Εσθηρ
βασίλισσα N1A-VSF--- βασίλισσα
καὶ C--------- καί
τί RI--NSN--- τίς
τὸ RA--NSN--- ὁ
αἴτημά N3M-NSN--- αἴτημα
σου RP--GS---- σύ
καὶ C--------- καί
τί RI--NSN--- τίς
τὸ RA--NSN--- ὁ
ἀξίωμά N3M-NSN--- ἀξίωμα
σου RP--GS---- σύ
καὶ C--------- καί
ἔστω V9--PAD3S- εἰμί
σοι RP--DS---- σύ
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ἡμίσους A3U-GSN--- ἥμισυς
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
μου RP--GS---- ἐγώ

Est 7:3
καὶ C--------- καί
ἀποκριθεῖσα VC--APPNSF κρίνω ἀπο
εἶπεν VBI-AAI3S- εἶπον
εἰ C--------- εἰ
εὗρον VB--AAI1S- εὑρίσκω
χάριν N3--ASF--- χάρις
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
δοθήτω VC--APD3S- δίδωμι
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ
τῷ RA--DSN--- ὁ
αἰτήματί N3M-DSN--- αἴτημα
μου RP--GS---- ἐγώ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
τῷ RA--DSN--- ὁ
ἀξιώματί N3M-DSN--- ἀξίωμα
μου RP--GS---- ἐγώ

Est 7:4
ἐπράθημεν VCI-API1P- πιπράσκω
γὰρ X--------- γάρ
ἐγώ RP--NS---- ἐγώ
τε X--------- τε
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
εἰς P--------- εἰς
ἀπώλειαν N1A-ASF--- ἀπώλεια
καὶ C--------- καί
διαρπαγὴν N1--ASF--- διαρπαγή
καὶ C--------- καί
δουλείαν N1A-ASF--- δουλεία
ἡμεῖς RP--NP---- ἐγώ
καὶ C--------- καί
τὰ RA--NPN--- ὁ
τέκνα N2N-NPN--- τέκνον
ἡμῶν RP--GP---- ἐγώ
εἰς P--------- εἰς
παῖδας N3D-APM--- παῖς
καὶ C--------- καί
παιδίσκας N1--APF--- παιδίσκη
καὶ C--------- καί
παρήκουσα VAI-AAI1S- ἀκούω παρα
οὐ D--------- οὐ
γὰρ X--------- γάρ
ἄξιος A1A-NSM--- ἄξιος
ὁ RA--NSM--- ὁ
διάβολος N2--NSM--- διάβολος
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

Est 7:5
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
τίς RI--NSM--- τίς
οὗτος RD--NSM--- οὗτος
ὅστις RX--NSM--- ὅστις
ἐτόλμησεν VAI-AAI3S- τολμάω
ποιῆσαι VA--AAN--- ποιέω
τὸ RA--ASN--- ὁ
πρᾶγμα N3M-ASN--- πρᾶγμα
τοῦτο RD--ASN--- οὗτος

Est 7:6
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Εσθηρ N---NSF--- Εσθηρ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἐχθρὸς A1A-NSM--- ἐχθρός
Αμαν N---NSM--- Αμαν
ὁ RA--NSM--- ὁ
πονηρὸς A1A-NSM--- πονηρός
οὗτος RD--NSM--- οὗτος
Αμαν N---NSM--- Αμαν
δὲ X--------- δέ
ἐταράχθη VQI-API3S- ταράσσω
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
τῆς RA--GSF--- ὁ
βασιλίσσης N1S-GSF--- βασίλισσα

Est 7:7
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐξανέστη VHI-AAI3S- ἵστημι ἐκ ἀνα
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
συμποσίου N2N-GSN--- συμπόσιον
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
κῆπον N2--ASM--- κῆπος
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
Αμαν N---NSM--- Αμαν
παρῃτεῖτο V2I-IMI3S- αἰτέω παρα
τὴν RA--ASF--- ὁ
βασίλισσαν N1A-ASF--- βασίλισσα
ἑώρα V3I-IAI3S- ὁράω
γὰρ X--------- γάρ
ἑαυτὸν RD--ASM--- ἑαυτοῦ
ἐν P--------- ἐν
κακοῖς A1--DPN--- κακός
ὄντα V9--PAPASM εἰμί

Est 7:8
ἐπέστρεψεν VAI-AAI3S- στρέφω ἐπι
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
κήπου N2--GSM--- κῆπος
Αμαν N---NSM--- Αμαν
δὲ X--------- δέ
ἐπιπεπτώκει VX--XAI3S- πίπτω ἐπι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
κλίνην N1--ASF--- κλίνη
ἀξιῶν V4--PAPNSM ἀξιόω
τὴν RA--ASF--- ὁ
βασίλισσαν N1A-ASF--- βασίλισσα
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
ὥστε C--------- ὥστε
καὶ D--------- καί
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
βιάζῃ V1--PMI2S- βιάζομαι
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
οἰκίᾳ N1A-DSF--- οἰκία
μου RP--GS---- ἐγώ
Αμαν N---NSM--- Αμαν
δὲ X--------- δέ
ἀκούσας VA--AAPNSM ἀκούω
διετράπη VDI-API3S- τρέπω δια
τῷ RA--DSN--- ὁ
προσώπῳ N2N-DSN--- πρόσωπον

Est 7:9
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Βουγαθαν N---NSM--- Βουγαθαν
εἷς M---NSM--- εἷς
τῶν RA--GPM--- ὁ
εὐνούχων N2--GPM--- εὐνοῦχος
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
ἰδοὺ I--------- ἰδού
καὶ D--------- καί
ξύλον N2N-ASN--- ξύλον
ἡτοίμασεν VAI-AAI3S- ἑτοιμάζω
Αμαν N---NSM--- Αμαν
Μαρδοχαίῳ N2--DSM--- Μαρδοχαῖος
τῷ RA--DSM--- ὁ
λαλήσαντι VA--AAPDSM λαλέω
περὶ P--------- περί
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ὤρθωται VAI-AMI3S- ὀρθόω
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
Αμαν N---GSM--- Αμαν
ξύλον N2N-NSN--- ξύλον
πηχῶν N3U-GPM--- πῆχυς
πεντήκοντα M--------- πεντήκοντα
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
σταυρωθήτω VA--APD3S- σταυρόω
ἐπ' P--------- ἐπί
αὐτοῦ RD--GSN--- αὐτός

Est 7:10
καὶ C--------- καί
ἐκρεμάσθη VSI-API3S- κρεμάζω
Αμαν N---NSM--- Αμαν
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
ξύλου N2N-GSN--- ξύλον
ὃ RR--ASN--- ὅς
ἡτοίμασεν VAI-AAI3S- ἑτοιμάζω
Μαρδοχαίῳ N2--DSM--- Μαρδοχαῖος
καὶ C--------- καί
τότε D--------- τότε
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐκόπασεν VAI-AAI3S- κοπάζω
τοῦ RA--GSM--- ὁ
θυμοῦ N2--GSM--- θυμός

Est 8:1
καὶ C--------- καί
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ἀρταξέρξης N1M-NSM--- Ἀρταξέρξης
ἐδωρήσατο VAI-AMI3S- δωρέομαι
Εσθηρ N---DSF--- Εσθηρ
ὅσα A1--NPN--- ὅσος
ὑπῆρχεν V1I-IAI3S- ἄρχω ὑπο
Αμαν N---DSM--- Αμαν
τῷ RA--DSM--- ὁ
διαβόλῳ N2--DSM--- διάβολος
καὶ C--------- καί
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
προσεκλήθη VCI-API3S- καλέω προς
ὑπὸ P--------- ὑπό
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ὑπέδειξεν VAI-AAI3S- δεικνύω ὑπο
γὰρ X--------- γάρ
Εσθηρ N---NSF--- Εσθηρ
ὅτι C--------- ὅτι
ἐνοικείωται V4--PMS3S- οἰκειόομαι ἐν
αὐτῇ RD--DSF--- αὐτός

Est 8:2
ἔλαβεν VBI-AAI3S- λαμβάνω
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τὸν RA--ASM--- ὁ
δακτύλιον N2--ASM--- δακτύλιος
ὃν RR--ASM--- ὅς
ἀφείλατο VBI-AMI3S- αἱρέω ἀπο
Αμαν N---GSM--- Αμαν
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτὸν RD--ASM--- αὐτός
Μαρδοχαίῳ N2--DSM--- Μαρδοχαῖος
καὶ C--------- καί
κατέστησεν VAI-AAI3S- ἵστημι κατα
Εσθηρ N---NSF--- Εσθηρ
Μαρδοχαῖον N2--ASM--- Μαρδοχαῖος
ἐπὶ P--------- ἐπί
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
Αμαν N---GSM--- Αμαν

Est 8:3
καὶ C--------- καί
προσθεῖσα VE--AAPNSF τίθημι προς
ἐλάλησεν VAI-AAI3S- λαλέω
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
καὶ C--------- καί
προσέπεσεν VAI-AAI3S- πίπτω προς
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
πόδας N3D-APM--- πούς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἠξίου V4--IAI3S- ἀξιόω
ἀφελεῖν VB--AAN--- αἱρέω ἀπο
τὴν RA--ASF--- ὁ
Αμαν N---GSM--- Αμαν
κακίαν N1A-ASF--- κακία
καὶ C--------- καί
ὅσα A1--APN--- ὅσος
ἐποίησεν VAI-AAI3S- ποιέω
τοῖς RA--DPM--- ὁ
Ιουδαίοις N2--DPM--- Ἰουδαῖος

Est 8:4
ἐξέτεινεν VAI-AAI3S- τείνω ἐκ
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Εσθηρ N---DSF--- Εσθηρ
τὴν RA--ASF--- ὁ
ῥάβδον N2--ASF--- ῥάβδος
τὴν RA--ASF--- ὁ
χρυσῆν A1C-ASF--- χρυσοῦς
ἐξηγέρθη VCI-API3S- ἐγείρω ἐκ
δὲ X--------- δέ
Εσθηρ N---NSF--- Εσθηρ
παρεστηκέναι VXI-XAN--- ἵστημι παρα
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς

Est 8:5
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Εσθηρ N---NSF--- Εσθηρ
εἰ C--------- εἰ
δοκεῖ V2--PAI3S- δοκέω
σοι RP--DS---- σύ
καὶ C--------- καί
εὗρον VB--AAI1S- εὑρίσκω
χάριν N3--ASF--- χάρις
πεμφθήτω VV--APD3S- πέμπω
ἀποστραφῆναι VD--APN--- στρέφω ἀπο
τὰ RA--APN--- ὁ
γράμματα N3M-APN--- γράμμα
τὰ RA--APN--- ὁ
ἀπεσταλμένα VM--XMPAPN στέλλω ἀπο
ὑπὸ P--------- ὑπό
Αμαν N---GSM--- Αμαν
τὰ RA--APN--- ὁ
γραφέντα VD--APPAPN γράφω
ἀπολέσθαι VA--AMN--- ὀλλύω ἀπο
τοὺς RA--APM--- ὁ
Ιουδαίους N2--APM--- Ἰουδαῖος
οἵ RR--NPM--- ὅς
εἰσιν V9--PAI3P- εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
σου RP--GS---- σύ

Est 8:6
πῶς D--------- πῶς
γὰρ X--------- γάρ
δυνήσομαι VF--FMI1S- δύναμαι
ἰδεῖν VB--AAN--- ὁράω
τὴν RA--ASF--- ὁ
κάκωσιν N3I-ASF--- κάκωσις
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
καὶ C--------- καί
πῶς D--------- πῶς
δυνήσομαι VF--FMI1S- δύναμαι
σωθῆναι VC--APN--- σώζω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἀπωλείᾳ N1A-DSF--- ἀπώλεια
τῆς RA--GSF--- ὁ
πατρίδος N3D-GSF--- πατρίς
μου RP--GS---- ἐγώ

Est 8:7
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
πρὸς P--------- πρός
Εσθηρ N---ASF--- Εσθηρ
εἰ C--------- εἰ
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ὑπάρχοντα V1--PAPAPN ἄρχω ὑπο
Αμαν N---GSM--- Αμαν
ἔδωκα VAI-AAI1S- δίδωμι
καὶ C--------- καί
ἐχαρισάμην VAI-AMI1S- χαρίζομαι
σοι RP--DS---- σύ
καὶ C--------- καί
αὐτὸν RD--ASM--- αὐτός
ἐκρέμασα VAI-AAI1S- κρεμάζω
ἐπὶ P--------- ἐπί
ξύλου N2N-GSN--- ξύλον
ὅτι C--------- ὅτι
τὰς RA--APF--- ὁ
χεῖρας N3--APF--- χείρ
ἐπήνεγκε VAI-AAI3S- φέρω ἐπι
