Gen 1:1
σοί RP--DS---- σύ
ἐστιν V9--PAI3S- εἰμί
πάτερ N3--VSM--- πατήρ
εὐλόγησον VA--AAD2S- εὐλογέω
δὴ X--------- δή
κἀμέ C+RPAS---- καί+ἐμός
πάτερ N3--VSM--- πατήρ
κατανυχθέντος VQ--APPGSM νύττω κατα
δὲ X--------- δέ
Ισαακ N---GSM--- Ισαακ
ἀνεβόησεν VAI-AAI3S- βοάω ἀνα
φωνὴν N1--ASF--- φωνή
Ησαυ N---NSM--- Ησαυ
καὶ C--------- καί
ἔκλαυσεν VAI-AAI3S- κλαίω

Gen 27:39
ἀποκριθεὶς VC--APPNSM κρίνω ἀπο
δὲ X--------- δέ
Ισαακ N---NSM--- Ισαακ
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἰδοὺ I--------- ἰδού
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
πιότητος N3--GSF--- πιότης
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἔσται VF--FMI3S- εἰμί
ἡ RA--NSF--- ὁ
κατοίκησίς N3I-NSF--- κατοίκησις
σου RP--GS---- σύ
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
δρόσου N2--GSF--- δρόσος
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ἄνωθεν D--------- ἄνωθεν

Gen 27:40
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τῇ RA--DSF--- ὁ
μαχαίρῃ N1S-DSF--- μάχαιρα
σου RP--GS---- σύ
ζήσῃ VF--FMI2S- ζάω
καὶ C--------- καί
τῷ RA--DSM--- ὁ
ἀδελφῷ N2--DSM--- ἀδελφός
σου RP--GS---- σύ
δουλεύσεις VF--FAI2S- δουλεύω
ἔσται VF--FMI3S- εἰμί
δὲ X--------- δέ
ἡνίκα D--------- ἡνίκα
ἐὰν C--------- ἐάν
καθέλῃς VB--AAS2S- αἱρέω κατα
καὶ C--------- καί
ἐκλύσεις VF--FAI2S- λύω ἐκ
τὸν RA--ASN--- ὁ
ζυγὸν N2N-ASN--- ζυγόν
αὐτοῦ RD--GSM--- αὐτός
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
τραχήλου N2--GSM--- τράχηλος
σου RP--GS---- σύ

Gen 27:41
καὶ C--------- καί
ἐνεκότει V2I-IAI3S- κοτέω ἐν
Ησαυ N---NSM--- Ησαυ
τῷ RA--DSM--- ὁ
Ιακωβ N---DSM--- Ἰακώβ
περὶ P--------- περί
τῆς RA--GSF--- ὁ
εὐλογίας N1A-GSF--- εὐλογία
ἧς RR--GSF--- ὅς
εὐλόγησεν VA--AAI3S- εὐλογέω
αὐτὸν RD--ASM--- αὐτός
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Ησαυ N---NSM--- Ησαυ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
διανοίᾳ N1A-DSF--- διάνοια
ἐγγισάτωσαν VA--AAD3P- ἐγγίζω
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
τοῦ RA--GSN--- ὁ
πένθους N3E-GSN--- πένθος
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
ἵνα C--------- ἵνα
ἀποκτείνω VA--AAS1S- κτείνω ἀπο
Ιακωβ N---ASM--- Ἰακώβ
τὸν RA--ASM--- ὁ
ἀδελφόν N2--ASM--- ἀδελφός
μου RP--GS---- ἐγώ

Gen 27:42
ἀπηγγέλη VDI-API3S- ἀγγέλλω ἀπο
δὲ X--------- δέ
Ρεβεκκα N---DSF--- Ρεβεκκα
τὰ RA--NPN--- ὁ
ῥήματα N3M-NPN--- ῥῆμα
Ησαυ N---GSM--- Ησαυ
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
αὐτῆς RD--GSF--- αὐτός
τοῦ RA--GSM--- ὁ
πρεσβυτέρου A1A-GSMC-- πρεσβύτερος
καὶ C--------- καί
πέμψασα VA--AAPNSF πέμπω
ἐκάλεσεν VAI-AAI3S- καλέω
Ιακωβ N---ASM--- Ἰακώβ
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
αὐτῆς RD--GSF--- αὐτός
τὸν RA--ASM--- ὁ
νεώτερον A1A-ASMC-- νέος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἰδοὺ I--------- ἰδού
Ησαυ N---NSM--- Ησαυ
ὁ RA--NSM--- ὁ
ἀδελφός N2--NSM--- ἀδελφός
σου RP--GS---- σύ
ἀπειλεῖ V2--PAI3S- εἰλέω ἀπο
σοι RP--DS---- σύ
τοῦ RA--GSN--- ὁ
ἀποκτεῖναί VA--AAN--- κτείνω ἀπο
σε RP--AS---- σύ

Gen 27:43
νῦν D--------- νῦν
οὖν X--------- οὖν
τέκνον N2N-VSN--- τέκνον
ἄκουσόν VA--AAD2S- ἀκούω
μου RP--GS---- ἐγώ
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
καὶ C--------- καί
ἀναστὰς VH--AAPNSM ἵστημι ἀνα
ἀπόδραθι VA--AAD2S- διδράσκω ἀπο
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
Μεσοποταμίαν N1A-ASF--- Μεσοποταμία
πρὸς P--------- πρός
Λαβαν N---ASM--- Λαβαν
τὸν RA--ASM--- ὁ
ἀδελφόν N2--ASM--- ἀδελφός
μου RP--GS---- ἐγώ
εἰς P--------- εἰς
Χαρραν N---AS---- Χαρραν

Gen 27:44
καὶ C--------- καί
οἴκησον VA--AAD2S- οἰκέω
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
ἡμέρας N1A-APF--- ἡμέρα
τινὰς RI--APF--- τις
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ἀποστρέψαι VA--AAN--- στρέφω ἀπο
τὸν RA--ASM--- ὁ
θυμὸν N2--ASM--- θυμός

Gen 27:45
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ὀργὴν N1--ASF--- ὀργή
τοῦ RA--GSM--- ὁ
ἀδελφοῦ N2--GSM--- ἀδελφός
σου RP--GS---- σύ
ἀπὸ P--------- ἀπό
σοῦ RP--GS---- σύ
καὶ C--------- καί
ἐπιλάθηται VB--AMS3S- λανθάνω ἐπι
ἃ RR--APN--- ὅς
πεποίηκας VX--XAI2S- ποιέω
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ἀποστείλασα VA--AAPNSF στέλλω ἀπο
μεταπέμψομαί VF--FMI1S- πέμπω μετα
σε RP--AS---- σύ
ἐκεῖθεν D--------- ἐκεῖθεν
μήποτε D--------- μήποτε
ἀτεκνωθῶ VC--APS1S- ἀτεκνόω
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
δύο M--------- δύο
ὑμῶν RP--GP---- σύ
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
μιᾷ A1A-DSF--- εἷς

Gen 27:46
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Ρεβεκκα N---NSF--- Ρεβεκκα
πρὸς P--------- πρός
Ισαακ N---ASM--- Ισαακ
προσώχθικα VX--XAI1S- ὀχθίζω προς
τῇ RA--DSF--- ὁ
ζωῇ N1--DSF--- ζωή
μου RP--GS---- ἐγώ
διὰ P--------- διά
τὰς RA--APF--- ὁ
θυγατέρας N3--APF--- θυγάτηρ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Χετ N---GSM--- Χετ
εἰ C--------- εἰ
λήμψεται VF--FMI3S- λαμβάνω
Ιακωβ N---NSM--- Ἰακώβ
γυναῖκα N3K-ASF--- γυνή
ἀπὸ P--------- ἀπό
τῶν RA--GPF--- ὁ
θυγατέρων N3--GPF--- θυγάτηρ
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ταύτης RD--GSF--- οὗτος
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
μοι RP--DS---- ἐγώ
ζῆν V3--PAN--- ζάω

Gen 28:1
προσκαλεσάμενος VA--AMPNSM καλέω προς
δὲ X--------- δέ
Ισαακ N---NSM--- Ισαακ
τὸν RA--ASM--- ὁ
Ιακωβ N---ASM--- Ἰακώβ
εὐλόγησεν VA--AAI3S- εὐλογέω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
ἐνετείλατο VAI-AMI3S- τέλλομαι ἐν
αὐτῷ RD--DSM--- αὐτός
λέγων V1--PAPNSM λέγω
οὐ D--------- οὐ
λήμψῃ VF--FMI2S- λαμβάνω
γυναῖκα N3K-ASF--- γυνή
ἐκ P--------- ἐκ
τῶν RA--GPF--- ὁ
θυγατέρων N3--GPF--- θυγάτηρ
Χανααν N---GS---- Χανααν

Gen 28:2
ἀναστὰς VH--AAPNSM ἵστημι ἀνα
ἀπόδραθι VA--AAD2S- διδράσκω ἀπο
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
Μεσοποταμίαν N1A-ASF--- Μεσοποταμία
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
Βαθουηλ N---ASM--- Βαθουηλ
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
τῆς RA--GSF--- ὁ
μητρός N3--GSF--- μήτηρ
σου RP--GS---- σύ
καὶ C--------- καί
λαβὲ VB--AAD2S- λαμβάνω
σεαυτῷ RD--DSM--- σεαυτοῦ
ἐκεῖθεν D--------- ἐκεῖθεν
γυναῖκα N3K-ASF--- γυνή
ἐκ P--------- ἐκ
τῶν RA--GPF--- ὁ
θυγατέρων N3--GPF--- θυγάτηρ
Λαβαν N---GSM--- Λαβαν
τοῦ RA--GSM--- ὁ
ἀδελφοῦ N2--GSM--- ἀδελφός
τῆς RA--GSF--- ὁ
μητρός N3--GSF--- μήτηρ
σου RP--GS---- σύ

Gen 28:3
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
θεός N2--NSM--- θεός
μου RP--GS---- ἐγώ
εὐλογήσαι VA--AAO3S- εὐλογέω
σε RP--AS---- σύ
καὶ C--------- καί
αὐξήσαι VA--AAO3S- αὐξάνω
σε RP--AS---- σύ
καὶ C--------- καί
πληθύναι VA--AAO3S- πληθύνω
σε RP--AS---- σύ
καὶ C--------- καί
ἔσῃ VF--FMI2S- εἰμί
εἰς P--------- εἰς
συναγωγὰς N1--APF--- συναγωγή
ἐθνῶν N3E-GPN--- ἔθνος

Gen 28:4
καὶ C--------- καί
δῴη VO--AAO3S- δίδωμι
σοι RP--DS---- σύ
τὴν RA--ASF--- ὁ
εὐλογίαν N1A-ASF--- εὐλογία
Αβρααμ N---GSM--- Αβρααμ
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
σοὶ RP--DS---- σύ
καὶ C--------- καί
τῷ RA--DSN--- ὁ
σπέρματί N3M-DSN--- σπέρμα
σου RP--GS---- σύ
μετὰ P--------- μετά
σέ RP--AS---- σύ
κληρονομῆσαι VA--AAN--- κληρονομέω
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
τῆς RA--GSF--- ὁ
παροικήσεώς N3I-GSF--- παροίκησις
σου RP--GS---- σύ
ἣν RR--ASF--- ὅς
ἔδωκεν VAI-AAI3S- δίδωμι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῷ RA--DSM--- ὁ
Αβρααμ N---DSM--- Αβρααμ

Gen 28:5
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
Ισαακ N---NSM--- Ισαακ
τὸν RA--ASM--- ὁ
Ιακωβ N---ASM--- Ἰακώβ
καὶ C--------- καί
ἐπορεύθη VCI-API3S- πορεύομαι
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
Μεσοποταμίαν N1A-ASF--- Μεσοποταμία
πρὸς P--------- πρός
Λαβαν N---ASM--- Λαβαν
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
Βαθουηλ N---GSM--- Βαθουηλ
τοῦ RA--GSM--- ὁ
Σύρου N2--GSM--- Σύρος
ἀδελφὸν N2--ASM--- ἀδελφός
δὲ X--------- δέ
Ρεβεκκας N---GSF--- Ρεβεκκα
τῆς RA--GSF--- ὁ
μητρὸς N3--GSF--- μήτηρ
Ιακωβ N---GSM--- Ἰακώβ
καὶ C--------- καί
Ησαυ N---GSM--- Ησαυ

Gen 28:6
εἶδεν VBI-AAI3S- ὁράω
δὲ X--------- δέ
Ησαυ N---NSM--- Ησαυ
ὅτι C--------- ὅτι
εὐλόγησεν VA--AAI3S- εὐλογέω
Ισαακ N---NSM--- Ισαακ
τὸν RA--ASM--- ὁ
Ιακωβ N---ASM--- Ἰακώβ
καὶ C--------- καί
ἀπῴχετο V1I-IMI3S- οἴχομαι ἀπο
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
Μεσοποταμίαν N1A-ASF--- Μεσοποταμία
Συρίας N1A-GSF--- Συρία
λαβεῖν VB--AAN--- λαμβάνω
ἑαυτῷ RD--DSM--- ἑαυτοῦ
ἐκεῖθεν D--------- ἐκεῖθεν
γυναῖκα N3K-ASF--- γυνή
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
εὐλογεῖν V2--PAN--- εὐλογέω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
ἐνετείλατο VAI-AMI3S- τέλλομαι ἐν
αὐτῷ RD--DSM--- αὐτός
λέγων V1--PAPNSM λέγω
οὐ D--------- οὐ
λήμψῃ VF--FMI2S- λαμβάνω
γυναῖκα N3K-ASF--- γυνή
ἀπὸ P--------- ἀπό
τῶν RA--GPF--- ὁ
θυγατέρων N3--GPF--- θυγάτηρ
Χανααν N---GS---- Χανααν

Gen 28:7
καὶ C--------- καί
ἤκουσεν VAI-AAI3S- ἀκούω
Ιακωβ N---NSM--- Ἰακώβ
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
καὶ C--------- καί
τῆς RA--GSF--- ὁ
μητρὸς N3--GSF--- μήτηρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπορεύθη VCI-API3S- πορεύομαι
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
Μεσοποταμίαν N1A-ASF--- Μεσοποταμία
Συρίας N1A-GSF--- Συρία

Gen 28:8
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
Ησαυ N---NSM--- Ησαυ
ὅτι C--------- ὅτι
πονηραί A1A-NPF--- πονηρός
εἰσιν V9--PAI3P- εἰμί
αἱ RA--NPF--- ὁ
θυγατέρες N3--NPF--- θυγάτηρ
Χανααν N---GS---- Χανααν
ἐναντίον P--------- ἐναντίον
Ισαακ N---GSM--- Ισαακ
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός

Gen 28:9
καὶ C--------- καί
ἐπορεύθη VCI-API3S- πορεύομαι
Ησαυ N---NSM--- Ησαυ
πρὸς P--------- πρός
Ισμαηλ N---ASM--- Ισμαηλ
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
τὴν RA--ASF--- ὁ
Μαελεθ N---ASF--- Μαελεθ
θυγατέρα N3--ASF--- θυγάτηρ
Ισμαηλ N---GSM--- Ισμαηλ
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
Αβρααμ N---GSM--- Αβρααμ
ἀδελφὴν N1--ASF--- ἀδελφή
Ναβαιωθ N---GSM--- Ναβαιωθ
πρὸς P--------- πρός
ταῖς RA--DPF--- ὁ
γυναιξὶν N3K-DPF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
γυναῖκα N3K-ASF--- γυνή

Gen 28:10
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
Ιακωβ N---NSM--- Ἰακώβ
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
φρέατος N3T-GSN--- φρέαρ
τοῦ RA--GSM--- ὁ
ὅρκου N2--GSM--- ὅρκος
καὶ C--------- καί
ἐπορεύθη VCI-API3S- πορεύομαι
εἰς P--------- εἰς
Χαρραν N---GS---- Χαρραν

Gen 28:11
καὶ C--------- καί
ἀπήντησεν VAI-AAI3S- ἀντάω ἀπο
τόπῳ N2--DSM--- τόπος
καὶ C--------- καί
ἐκοιμήθη VCI-API3S- κοιμάω
ἐκεῖ D--------- ἐκεῖ
ἔδυ VBI-AAI3S- δύω
γὰρ X--------- γάρ
ὁ RA--NSM--- ὁ
ἥλιος N2--NSM--- ἥλιος
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
λίθων N2--GPM--- λίθος
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
καὶ C--------- καί
ἔθηκεν VAI-AAI3S- τίθημι
πρὸς P--------- πρός
κεφαλῆς N1--GSF--- κεφαλή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐκοιμήθη VCI-API3S- κοιμάω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
ἐκείνῳ RD--DSM--- ἐκεῖνος

Gen 28:12
καὶ C--------- καί
ἐνυπνιάσθη VSI-API3S- ὑπνιάζω ἐν
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
κλίμαξ N3K-NSF--- κλίμαξ
ἐστηριγμένη VK--XMPNSF στηρίζω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ἧς RR--GSF--- ὅς
ἡ RA--NSF--- ὁ
κεφαλὴ N1--NSF--- κεφαλή
ἀφικνεῖτο V2I-IMI3S- ἱκνέομαι ἀπο
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οὐρανόν N2--ASM--- οὐρανός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄγγελοι N2--NPM--- ἄγγελος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἀνέβαινον V1I-IAI3P- βαίνω ἀνα
καὶ C--------- καί
κατέβαινον V1I-IAI3P- βαίνω κατα
ἐπ' P--------- ἐπί
αὐτῆς RD--GSF--- αὐτός

Gen 28:13
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
κύριος N2--NSM--- κύριος
ἐπεστήρικτο VXI-YPI3S- στηρίζω ἐπι
ἐπ' P--------- ἐπί
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Αβρααμ N---GSM--- Αβρααμ
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
σου RP--GS---- σύ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Ισαακ N---GSM--- Ισαακ
μὴ D--------- μή
φοβοῦ V2--PMD2S- φοβέω
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
ἐφ' P--------- ἐπί
ἧς RR--GSF--- ὅς
σὺ RP--NS---- σύ
καθεύδεις V1--PAI2S- εὕδω κατα
ἐπ' P--------- ἐπί
αὐτῆς RD--GSF--- αὐτός
σοὶ RP--DS---- σύ
δώσω VF--FAI1S- δίδωμι
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
τῷ RA--DSN--- ὁ
σπέρματί N3M-DSN--- σπέρμα
σου RP--GS---- σύ

Gen 28:14
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
τὸ RA--NSN--- ὁ
σπέρμα N3M-NSN--- σπέρμα
σου RP--GS---- σύ
ὡς C--------- ὡς
ἡ RA--NSF--- ὁ
ἄμμος N2--NSF--- ἄμμος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
πλατυνθήσεται VC--FPI3S- πλατύνω
ἐπὶ P--------- ἐπί
θάλασσαν N1S-ASF--- θάλασσα
καὶ C--------- καί
ἐπὶ P--------- ἐπί
λίβα N3--ASM--- λίψ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
βορρᾶν N1T-ASM--- βορέας
καὶ C--------- καί
ἐπ' P--------- ἐπί
ἀνατολάς N1--APF--- ἀνατολή
καὶ C--------- καί
ἐνευλογηθήσονται VC--FPI3P- εὐλογέω ἐν
ἐν P--------- ἐν
σοὶ RP--DS---- σύ
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
φυλαὶ N1--NPF--- φυλή
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
σπέρματί N3M-DSN--- σπέρμα
σου RP--GS---- σύ

Gen 28:15
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
διαφυλάσσων V1--PAPNSM φυλάσσω δια
σε RP--AS---- σύ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὁδῷ N2--DSF--- ὁδός
πάσῃ A1S-DSF--- πᾶς
οὗ D--------- οὗ
ἐὰν C--------- ἐάν
πορευθῇς VC--APS2S- πορεύομαι
καὶ C--------- καί
ἀποστρέψω VF--FAI1S- στρέφω ἀπο
σε RP--AS---- σύ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ταύτην RD--ASF--- οὗτος
ὅτι C--------- ὅτι
οὐ D--------- οὐ
μή D--------- μή
σε RP--AS---- σύ
ἐγκαταλίπω VB--AAS1S- λείπω ἐν κατα
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ποιῆσαί VA--AAN--- ποιέω
με RP--AS---- ἐγώ
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐλάλησά VAI-AAI1S- λαλέω
σοι RP--DS---- σύ

Gen 28:16
καὶ C--------- καί
ἐξηγέρθη VCI-API3S- ἐγείρω ἐκ
Ιακωβ N---NSM--- Ἰακώβ
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
ὕπνου N2--GSM--- ὕπνος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὅτι C--------- ὅτι
ἔστιν V9--PAI3S- εἰμί
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
τούτῳ RD--DSM--- οὗτος
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
οὐκ D--------- οὐ
ᾔδειν VXI-YAI3S- οἶδα

Gen 28:17
καὶ C--------- καί
ἐφοβήθη VCI-API3S- φοβέω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὡς C--------- ὡς
φοβερὸς A1A-NSM--- φοβερός
ὁ RA--NSM--- ὁ
τόπος N2--NSM--- τόπος
οὗτος RD--NSM--- οὗτος
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
τοῦτο RD--NSN--- οὗτος
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
οἶκος N2--NSM--- οἶκος
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
πύλη N1--NSF--- πύλη
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός

Gen 28:18
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
Ιακωβ N---NSM--- Ἰακώβ
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωΐ
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
τὸν RA--ASM--- ὁ
λίθον N2--ASM--- λίθος
ὃν RR--ASM--- ὅς
ὑπέθηκεν VAI-AAI3S- τίθημι ὑπο
ἐκεῖ D--------- ἐκεῖ
πρὸς P--------- πρός
κεφαλῆς N1--GSF--- κεφαλή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔστησεν VAI-AAI3S- ἵστημι
αὐτὸν RD--ASM--- αὐτός
στήλην N1--ASF--- στήλη
καὶ C--------- καί
ἐπέχεεν V2I-IAI3S- χέω ἐπι
ἔλαιον N2N-ASN--- ἔλαιον
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
ἄκρον A1A-ASN--- ἄκρος
αὐτῆς RD--GSF--- αὐτός

Gen 28:19
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
Ιακωβ N---NSM--- Ἰακώβ
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
