Eze 1:1
τῶν RA--GPF--- ὁ
χωρῶν N1A-GPF--- χώρα
ἀπωλείᾳ N1A-DSF--- ἀπώλεια
καὶ C--------- καί
ἐπιγνώσῃ VF--FMI2S- γιγνώσκω ἐπι
διότι C--------- διότι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος

Eze 25:8
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
εἶπεν VBI-AAI3S- εἶπον
Μωαβ N---NSF--- Μωαβ
ἰδοὺ I--------- ἰδού
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
ἔθνη N3E-NPN--- ἔθνος
οἶκος N2--NSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
Ιουδα N---GSM--- Ιουδα

Eze 25:9
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
παραλύω V1--PAI1S- λύω παρα
τὸν RA--ASM--- ὁ
ὦμον N2--ASM--- ὦμος
Μωαβ N---GSF--- Μωαβ
ἀπὸ P--------- ἀπό
πόλεων N3I-GPF--- πόλις
ἀκρωτηρίων N2N-GPN--- ἀκρωτήριον
αὐτοῦ RD--GSM--- αὐτός
ἐκλεκτὴν A1--ASF--- ἐκλεκτός
γῆν N1--ASF--- γῆ
οἶκον N2--ASM--- οἶκος
Ασιμουθ N---GSM--- Ασιμουθ
ἐπάνω D--------- ἐπάνω
πηγῆς N1--GSF--- πηγή
πόλεως N3I-GSF--- πόλις
παραθαλασσίας A1A-GSF--- παραθαλάσσιος

Eze 25:10
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Κεδεμ N---GSM--- Κεδεμ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Αμμων N---GSM--- Αμμων
δέδωκα VX--XAI1S- δίδωμι
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
κληρονομίαν N1A-ASF--- κληρονομία
ὅπως C--------- ὅπως
μὴ D--------- μή
μνεία N1A-NSF--- μνεία
γένηται VB--AMS3S- γίγνομαι
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Αμμων N---GSM--- Αμμων

Eze 25:11
καὶ C--------- καί
εἰς P--------- εἰς
Μωαβ N---ASF--- Μωαβ
ποιήσω VF--FAI1S- ποιέω
ἐκδίκησιν N3I-ASF--- ἐκδίκησις
καὶ C--------- καί
ἐπιγνώσονται VF--FMI3P- γιγνώσκω ἐπι
διότι C--------- διότι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος

Eze 25:12
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
ἡ RA--NSF--- ὁ
Ιδουμαία N1A-NSF--- Ιδουμαία
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἐκδικῆσαι VA--AAN--- δικέω ἐκ
αὐτοὺς RD--APM--- αὐτός
ἐκδίκησιν N3I-ASF--- ἐκδίκησις
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
ἐμνησικάκησαν VAI-AAI3P- μνησικακέω
καὶ C--------- καί
ἐξεδίκησαν VAI-AAI3P- δικέω ἐκ
δίκην N1--ASF--- δίκη

Eze 25:13
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
ἐκτενῶ VF2-FAI1S- τείνω ἐκ
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
Ιδουμαίαν N1A-ASF--- Ιδουμαία
καὶ C--------- καί
ἐξολεθρεύσω VF--FAI1S- ὀλεθρεύω ἐκ
ἐξ P--------- ἐκ
αὐτῆς RD--GSF--- αὐτός
ἄνθρωπον N2--ASM--- ἄνθρωπος
καὶ C--------- καί
κτῆνος N3E-ASN--- κτῆνος
καὶ C--------- καί
θήσομαι VF--FMI1S- τίθημι
αὐτὴν RD--ASF--- αὐτός
ἔρημον A1B-ASF--- ἔρημος
καὶ C--------- καί
ἐκ P--------- ἐκ
Θαιμαν N---GS---- Θαιμαν
διωκόμενοι V1--PMPNPM διώκω
ἐν P--------- ἐν
ῥομφαίᾳ N1A-DSF--- ῥομφαία
πεσοῦνται VF2-FMI3P- πίπτω

Eze 25:14
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
ἐκδίκησίν N3I-ASF--- ἐκδίκησις
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
Ιδουμαίαν N1A-ASF--- Ιδουμαία
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ποιήσουσιν VF--FAI3P- ποιέω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
Ιδουμαίᾳ N1A-DSF--- Ιδουμαία
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ὀργήν N1--ASF--- ὀργή
μου RP--GS---- ἐγώ
καὶ C--------- καί
κατὰ P--------- κατά
τὸν RA--ASM--- ὁ
θυμόν N2--ASM--- θυμός
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐπιγνώσονται VF--FMI3P- γιγνώσκω ἐπι
τὴν RA--ASF--- ὁ
ἐκδίκησίν N3I-ASF--- ἐκδίκησις
μου RP--GS---- ἐγώ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Eze 25:15
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἐποίησαν VAI-AAI3P- ποιέω
οἱ RA--NPM--- ὁ
ἀλλόφυλοι A1B-NPM--- ἀλλόφυλος
ἐν P--------- ἐν
ἐκδικήσει N3I-DSF--- ἐκδίκησις
καὶ C--------- καί
ἐξανέστησαν VHI-AAI3P- ἵστημι ἐκ ἀνα
ἐκδίκησιν N3I-ASF--- ἐκδίκησις
ἐπιχαίροντες V1--PAPNPM χαίρω ἐπι
ἐκ P--------- ἐκ
ψυχῆς N1--GSF--- ψυχή
τοῦ RA--GSN--- ὁ
ἐξαλεῖψαι VA--AAN--- ἀλείφω ἐκ
ἕως P--------- ἕως
αἰῶνος N3W-GSM--- αἰών

Eze 25:16
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἐκτενῶ VF2-FAI1S- τείνω ἐκ
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
ἀλλοφύλους A1B-APM--- ἀλλόφυλος
καὶ C--------- καί
ἐξολεθρεύσω VF--FAI1S- ὀλεθρεύω ἐκ
Κρῆτας N3--APM--- Κρῆτες
καὶ C--------- καί
ἀπολῶ VF2-FAI1S- ὀλλύω ἀπο
τοὺς RA--APM--- ὁ
καταλοίπους A1B-APM--- κατάλοιπος
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
τὴν RA--ASF--- ὁ
παραλίαν N1A-ASF--- παραλίαν

Eze 25:17
καὶ C--------- καί
ποιήσω VF--FAI1S- ποιέω
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
ἐκδικήσεις N3I-APF--- ἐκδίκησις
μεγάλας A1--APF--- μέγας
καὶ C--------- καί
ἐπιγνώσονται VF--FMI3P- γιγνώσκω ἐπι
διότι C--------- διότι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
δοῦναι VO--AAN--- δίδωμι
τὴν RA--ASF--- ὁ
ἐκδίκησίν N3I-ASF--- ἐκδίκησις
μου RP--GS---- ἐγώ
ἐπ' P--------- ἐπί
αὐτούς RD--APM--- αὐτός

Eze 26:1
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἑνδεκάτῳ A1--DSN--- ἑνδέκατος
ἔτει N3E-DSN--- ἔτος
μιᾷ A1A-DSF--- εἷς
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Eze 26:2
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
εἶπεν VBI-AAI3S- εἶπον
Σορ N---NSF--- Σορ
ἐπὶ P--------- ἐπί
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
εὖγε D--------- εὖγε
συνετρίβη VDI-API3S- τρίβω συν
ἀπόλωλεν VX--XAI3S- ὀλλύω ἀπο
τὰ RA--NPN--- ὁ
ἔθνη N3E-NPN--- ἔθνος
ἐπεστράφη VDI-API3S- στρέφω ἐπι
πρός P--------- πρός
με RP--AS---- ἐγώ
ἡ RA--NSF--- ὁ
πλήρης A3H-NSF--- πλήρης
ἠρήμωται VM--XPI3S- ἐρημόω

Eze 26:3
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἐπὶ P--------- ἐπί
σέ RP--AS---- σύ
Σορ N---VSF--- Σορ
καὶ C--------- καί
ἀνάξω VF--FAI1S- ἄγω ἀνα
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
ἔθνη N3E-APN--- ἔθνος
πολλά A1--APN--- πολύς
ὡς C--------- ὡς
ἀναβαίνει V1--PAI3S- βαίνω ἀνα
ἡ RA--NSF--- ὁ
θάλασσα N1S-NSF--- θάλασσα
τοῖς RA--DPN--- ὁ
κύμασιν N3M-DPN--- κῦμα
αὐτῆς RD--GSF--- αὐτός

Eze 26:4
καὶ C--------- καί
καταβαλοῦσιν VF2-FAI3P- βάλλω κατα
τὰ RA--APN--- ὁ
τείχη N3E-APN--- τεῖχος
Σορ N---GSF--- Σορ
καὶ C--------- καί
καταβαλοῦσι VF2-FAI3P- βάλλω κατα
τοὺς RA--APM--- ὁ
πύργους N2--APM--- πύργος
σου RP--GS---- σύ
καὶ C--------- καί
λικμήσω VF--FAI1S- λικμάω
τὸν RA--ASM--- ὁ
χοῦν N3--ASM--- χοῦς
αὐτῆς RD--GSF--- αὐτός
ἀπ' P--------- ἀπό
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
αὐτὴν RD--ASF--- αὐτός
εἰς P--------- εἰς
λεωπετρίαν N1A-ASF--- λεωπετρία

Eze 26:5
ψυγμὸς N2--NSM--- ψυγμός
σαγηνῶν N1--GPF--- σαγήνη
ἔσται VF--FMI3S- εἰμί
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
θαλάσσης N1S-GSF--- θάλασσα
ὅτι C--------- ὅτι
ἐγὼ RP--NS---- ἐγώ
λελάληκα VX--XAI1S- λαλέω
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
εἰς P--------- εἰς
προνομὴν N1--ASF--- προνομή
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος

Eze 26:6
καὶ C--------- καί
αἱ RA--NPF--- ὁ
θυγατέρες N3--NPF--- θυγάτηρ
αὐτῆς RD--GSF--- αὐτός
αἱ RA--NPF--- ὁ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πεδίῳ N2N-DSN--- πεδίον
μαχαίρᾳ N1A-DSF--- μάχαιρα
ἀναιρεθήσονται VC--FPI3P- αἱρέω ἀνα
καὶ C--------- καί
γνώσονται VF--FMI3P- γιγνώσκω
ὅτι C--------- ὅτι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος

Eze 26:7
ὅτι C--------- ὅτι
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἐπάγω V1--PAI1S- ἄγω ἐπι
ἐπὶ P--------- ἐπί
σέ RP--AS---- σύ
Σορ N---VSF--- Σορ
τὸν RA--ASM--- ὁ
Ναβουχοδονοσορ N---ASM--- Ναβουχοδονοσορ
βασιλέα N3V-ASM--- βασιλεύς
Βαβυλῶνος N3W-GSF--- Βαβυλών
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
βορρᾶ N1T-GSM--- βορέας
βασιλεὺς N3V-NSM--- βασιλεύς
βασιλέων N3V-GPM--- βασιλεύς
ἐστίν V9--PAI3S- εἰμί
μεθ' P--------- μετά
ἵππων N2--GPM--- ἵππος
καὶ C--------- καί
ἁρμάτων N3M-GPN--- ἅρμα
καὶ C--------- καί
ἱππέων N3V-GPM--- ἱππεύς
καὶ C--------- καί
συναγωγῆς N1--GSF--- συναγωγή
ἐθνῶν N3E-GPN--- ἔθνος
πολλῶν A1--GPM--- πολύς
σφόδρα D--------- σφόδρα

Eze 26:8
οὗτος RD--NSM--- οὗτος
τὰς RA--APF--- ὁ
θυγατέρας N3--APF--- θυγάτηρ
σου RP--GS---- σύ
τὰς RA--APF--- ὁ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πεδίῳ N2N-DSN--- πεδίον
μαχαίρᾳ N1A-DSF--- μάχαιρα
ἀνελεῖ VF2-FAI3S- αἱρέω ἀνα
καὶ C--------- καί
δώσει VF--FAI3S- δίδωμι
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
προφυλακὴν N1--ASF--- προφυλακή
καὶ C--------- καί
περιοικοδομήσει VF--FAI3S- οἰκοδομέω περι
καὶ C--------- καί
ποιήσει VF--FAI3S- ποιέω
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
κύκλῳ N2--DSM--- κύκλος
χάρακα N3K-ASM--- χάραξ
καὶ C--------- καί
περίστασιν N3I-ASF--- περίστασις
ὅπλων N2N-GPN--- ὅπλον
καὶ C--------- καί
τὰς RA--APF--- ὁ
λόγχας N1--APF--- λόγχη
αὐτοῦ RD--GSM--- αὐτός
ἀπέναντί D--------- ἀπέναντι
σου RP--GS---- σύ
δώσει VF--FAI3S- δίδωμι

Eze 26:9
τὰ RA--APN--- ὁ
τείχη N3E-APN--- τεῖχος
σου RP--GS---- σύ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
πύργους N2--APM--- πύργος
σου RP--GS---- σύ
καταβαλεῖ VF2-FAI3S- βάλλω κατα
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
μαχαίραις N1--DPF--- μάχαιρα
αὐτοῦ RD--GSM--- αὐτός

Eze 26:10
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
πλήθους N3E-GSN--- πλῆθος
τῶν RA--GPM--- ὁ
ἵππων N2--GPM--- ἵππος
αὐτοῦ RD--GSM--- αὐτός
κατακαλύψει VF--FAI3S- καλύπτω κατα
σε RP--AS---- σύ
ὁ RA--NSM--- ὁ
κονιορτὸς N2--NSM--- κονιορτός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
τῶν RA--GPM--- ὁ
ἱππέων N3V-GPM--- ἱππεύς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τῶν RA--GPM--- ὁ
τροχῶν N2--GPM--- τροχός
τῶν RA--GPN--- ὁ
ἁρμάτων N3M-GPN--- ἅρμα
αὐτοῦ RD--GSM--- αὐτός
σεισθήσεται VC--FPI3S- σείω
τὰ RA--NPN--- ὁ
τείχη N3E-NPN--- τεῖχος
σου RP--GS---- σύ
εἰσπορευομένου V1--PMPGSM πορεύομαι εἰς
αὐτοῦ RD--GSM--- αὐτός
τὰς RA--APF--- ὁ
πύλας N1--APF--- πύλη
σου RP--GS---- σύ
ὡς C--------- ὡς
εἰσπορευόμενος V1--PMPNSM πορεύομαι εἰς
εἰς P--------- εἰς
πόλιν N3I-ASF--- πόλις
ἐκ P--------- ἐκ
πεδίου N2N-GSN--- πεδίον

Eze 26:11
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ὁπλαῖς N1--DPF--- ὁπλή
τῶν RA--GPM--- ὁ
ἵππων N2--GPM--- ἵππος
αὐτοῦ RD--GSM--- αὐτός
καταπατήσουσίν VF--FAI3P- ἀπατάω κατα
σου RP--GS---- σύ
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
πλατείας A3U-APF--- πλατύς
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
σου RP--GS---- σύ
μαχαίρᾳ N1A-DSF--- μάχαιρα
ἀνελεῖ VF2-FAI3S- αἱρέω ἀνα
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ὑπόστασίν N3I-ASF--- ὑπόστασις
σου RP--GS---- σύ
τῆς RA--GSF--- ὁ
ἰσχύος N3U-GSF--- ἰσχύς
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
κατάξει VF--FAI3S- ἄγω κατα

Eze 26:12
καὶ C--------- καί
προνομεύσει VF--FAI3S- νομεύω προ
τὴν RA--ASF--- ὁ
δύναμίν N3I-ASF--- δύναμις
σου RP--GS---- σύ
καὶ C--------- καί
σκυλεύσει VF--FAI3S- σκυλεύω
τὰ RA--APN--- ὁ
ὑπάρχοντά V1--PAPAPN ἄρχω ὑπο
σου RP--GS---- σύ
καὶ C--------- καί
καταβαλεῖ VF2-FAI3S- βάλλω κατα
σου RP--GS---- σύ
τὰ RA--APN--- ὁ
τείχη N3E-APN--- τεῖχος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
οἴκους N2--APM--- οἶκος
σου RP--GS---- σύ
τοὺς RA--APM--- ὁ
ἐπιθυμητοὺς N1M-APM--- ἐπιθυμητής
καθελεῖ VF2-FAI3S- αἱρέω κατα
καὶ C--------- καί
τοὺς RA--APM--- ὁ
λίθους N2--APM--- λίθος
σου RP--GS---- σύ
καὶ C--------- καί
τὰ RA--APN--- ὁ
ξύλα N2N-APN--- ξύλον
σου RP--GS---- σύ
καὶ C--------- καί
τὸν RA--ASM--- ὁ
χοῦν N3--ASM--- χοῦς
σου RP--GS---- σύ
εἰς P--------- εἰς
μέσον A1--ASM--- μέσος
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
ἐμβαλεῖ VF2-FAI3S- βάλλω ἐν

Eze 26:13
καὶ C--------- καί
καταλύσει VF--FAI3S- λύω κατα
τὸ RA--ASN--- ὁ
πλῆθος N3E-ASN--- πλῆθος
τῶν RA--GPM--- ὁ
μουσικῶν A1--GPM--- μουσικός
σου RP--GS---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
φωνὴ N1--NSF--- φωνή
τῶν RA--GPN--- ὁ
ψαλτηρίων N2N-GPN--- ψαλτήριον
σου RP--GS---- σύ
οὐ D--------- οὐ
μὴ D--------- μή
ἀκουσθῇ VC--APS3S- ἀκούω
ἔτι D--------- ἔτι

Eze 26:14
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
σε RP--AS---- σύ
εἰς P--------- εἰς
λεωπετρίαν N1A-ASF--- λεωπετρία
ψυγμὸς N2--NSM--- ψυγμός
σαγηνῶν N1--GPF--- σαγήνη
ἔσῃ VF--FMI2S- εἰμί
οὐ D--------- οὐ
μὴ D--------- μή
οἰκοδομηθῇς VC--APS2S- οἰκοδομέω
ἔτι D--------- ἔτι
ὅτι C--------- ὅτι
ἐγὼ RP--NS---- ἐγώ
ἐλάλησα VAI-AAI1S- λαλέω
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Eze 26:15
διότι C--------- διότι
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
κύριος N2--NSM--- κύριος
τῇ RA--DSF--- ὁ
Σορ N---DSF--- Σορ
οὐκ D--------- οὐ
ἀπὸ P--------- ἀπό
φωνῆς N1--GSF--- φωνή
τῆς RA--GSF--- ὁ
πτώσεώς N3I-GSF--- πτῶσις
σου RP--GS---- σύ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
στενάξαι VA--AAN--- στενάζω
τραυματίας N1T-APM--- τραυματίας
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
σπάσαι VA--AAN--- σπάω
μάχαιραν N1A-ASF--- μάχαιρα
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
σου RP--GS---- σύ
σεισθήσονται VC--FPI3P- σείω
αἱ RA--NPF--- ὁ
νῆσοι N2--NPF--- νήσος

Eze 26:16
καὶ C--------- καί
καταβήσονται VF--FMI3P- βαίνω κατα
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
θρόνων N2--GPM--- θρόνος
αὐτῶν RD--GPM--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
ἐκ P--------- ἐκ
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
καὶ C--------- καί
ἀφελοῦνται VF2-FMI3P- αἱρέω ἀπο
τὰς RA--APF--- ὁ
μίτρας N1A-APF--- μίτρα
ἀπὸ P--------- ἀπό
τῶν RA--GPF--- ὁ
κεφαλῶν N1--GPF--- κεφαλή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
ἱματισμὸν N2--ASM--- ἱματισμός
τὸν RA--ASM--- ὁ
ποικίλον A1--ASM--- ποικίλος
αὐτῶν RD--GPM--- αὐτός
ἐκδύσονται VF--FMI3P- δύω ἐκ
ἐκστάσει N3I-DSF--- ἔκστασις
ἐκστήσονται VF--FMI3P- ἵστημι ἐκ
ἐπὶ P--------- ἐπί
γῆν N1--ASF--- γῆ
καθεδοῦνται VF2-FMI3P- ἕζομαι κατα
καὶ C--------- καί
φοβηθήσονται VC--FPI3P- φοβέω
τὴν RA--ASF--- ὁ
ἀπώλειαν N1A-ASF--- ἀπώλεια
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
στενάξουσιν VF--FAI3P- στενάζω
ἐπὶ P--------- ἐπί
σέ RP--AS---- σύ

Eze 26:17
καὶ C--------- καί
λήμψονται VF--FMI3P- λαμβάνω
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
θρῆνον N2--ASM--- θρῆνος
καὶ C--------- καί
ἐροῦσίν VF2-FAI3P- εἶπον
σοι RP--DS---- σύ
πῶς D--------- πῶς
κατελύθης VCI-API2S- λύω κατα
ἐκ P--------- ἐκ
θαλάσσης N1S-GSF--- θάλασσα
