2Ch 1:1
ἔνδυσαι VA--AMD2S- δύω ἐν
τὸν RA--ASM--- ὁ
ἱματισμόν N2--ASM--- ἱματισμός
μου RP--GS---- ἐγώ
καὶ C--------- καί
συνεκαλύψατο VAI-AMI3S- καλύπτω συν
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
πόλεμον N2--ASM--- πόλεμος

2Ch 18:30
καὶ C--------- καί
βασιλεὺς N3V-NSM--- βασιλεύς
Συρίας N1A-GSF--- Συρία
ἐνετείλατο VAI-AMI3S- τέλλω ἐν
τοῖς RA--DPM--- ὁ
ἄρχουσιν N3--DPM--- ἄρχων
τῶν RA--GPN--- ὁ
ἁρμάτων N3M-GPN--- ἅρμα
τοῖς RA--DPM--- ὁ
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
λέγων V1--PAPNSM λέγω
μὴ D--------- μή
πολεμεῖτε V2--PAI2P- πολεμέω
τὸν RA--ASM--- ὁ
μικρὸν A1A-ASM--- μικρός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
μέγαν A1P-ASM--- μέγας
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
μόνον D--------- μόνον

2Ch 18:31
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὡς X--------- ὡς
εἶδον VBI-AAI3P- ὁράω
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
τῶν RA--GPN--- ὁ
ἁρμάτων N3M-GPN--- ἅρμα
τὸν RA--ASM--- ὁ
Ιωσαφατ N---ASM--- Ιωσαφατ
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
εἶπαν VAI-AAI3P- εἶπον
Βασιλεὺς N3V-NSM--- Βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
ἐστίν V9--PAI3S- εἰμί
καὶ C--------- καί
ἐκύκλωσαν VAI-AAI3P- κυκλόω
αὐτὸν RD--ASM--- αὐτός
τοῦ RA--GSN--- ὁ
πολεμεῖν V2--PAN--- πολεμέω
καὶ C--------- καί
ἐβόησεν VAI-AAI3S- βοάω
Ιωσαφατ N---NSM--- Ιωσαφατ
καὶ C--------- καί
κύριος N2--NSM--- κύριος
ἔσωσεν VAI-AAI3S- σώζω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
ἀπέστρεψεν VAI-AAI3S- στρέφω ἀπο
αὐτοὺς RD--APM--- αὐτός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός

2Ch 18:32
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὡς X--------- ὡς
εἶδον VBI-AAI3P- ὁράω
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
τῶν RA--GPN--- ὁ
ἁρμάτων N3M-GPN--- ἅρμα
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἀπέστρεψαν VAI-AAI3P- στρέφω ἀπο
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός

2Ch 18:33
καὶ C--------- καί
ἀνὴρ N3--NSM--- ἀνήρ
ἐνέτεινεν VAI-AAI3S- τείνω ἐν
τόξον N2N-ASN--- τόξον
εὐστόχως D--------- εὐστόχως
καὶ C--------- καί
ἐπάταξεν VAI-AAI3S- πατάσσω
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τοῦ RA--GSM--- ὁ
πνεύμονος N3W-GSM--- πνεύμων
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τοῦ RA--GSM--- ὁ
θώρακος N3K-GSM--- θώραξ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
ἡνιόχῳ N2--DSM--- ἡνίοχος
ἐπίστρεφε V1--PAD2S- στρέφω ἐπι
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
σου RP--GS---- σύ
καὶ C--------- καί
ἐξάγαγέ VB--AAD2S- ἄγω ἐκ
με RP--AS---- ἐγώ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
πολέμου N2--GSM--- πόλεμος
ὅτι C--------- ὅτι
ἐπόνεσα VAI-AAI1S- πονέω

2Ch 18:34
καὶ C--------- καί
ἐτροπώθη VCI-API3S- τροπόω
ὁ RA--NSM--- ὁ
πόλεμος N2--NSM--- πόλεμος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
ἦν V9--IAI3S- εἰμί
ἑστηκὼς VXI-XAPNSM ἵστημι
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
ἅρματος N3M-GSN--- ἅρμα
ἕως P--------- ἕως
ἑσπέρας N1A-GSF--- ἑσπέρα
ἐξ P--------- ἐκ
ἐναντίας A1A-GSF--- ἐναντίος
Συρίας N1A-GSF--- Συρία
καὶ C--------- καί
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο
δύνοντος V1--PAPGSM δύω
τοῦ RA--GSM--- ὁ
ἡλίου N2--GSM--- ἥλιος

2Ch 19:1
καὶ C--------- καί
ἀπέστρεψεν VAI-AAI3S- στρέφω ἀπο
Ιωσαφατ N---NSM--- Ιωσαφατ
βασιλεὺς N3V-NSM--- βασιλεύς
Ιουδα N---GSM--- Ἰουδά
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
εἰρήνῃ N1--DSF--- εἰρήνη
εἰς P--------- εἰς
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ

2Ch 19:2
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
εἰς P--------- εἰς
ἀπάντησιν N3I-ASF--- ἀπάντησις
αὐτοῦ RD--GSM--- αὐτός
Ιου N---NSM--- Ιου
ὁ RA--NSM--- ὁ
τοῦ RA--GSM--- ὁ
Ανανι N---GSM--- Ανανι
ὁ RA--NSM--- ὁ
προφήτης N1M-NSM--- προφήτης
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
βασιλεῦ N3V-VSM--- βασιλεύς
Ιωσαφατ N---VSM--- Ιωσαφατ
εἰ C--------- εἰ
ἁμαρτωλῷ A1B-DSM--- ἁμαρτωλός
σὺ RP--NS---- σύ
βοηθεῖς V2--PAI2S- βοηθέω
ἢ C--------- ἤ
μισουμένῳ V2--PMPDSM μισέω
ὑπὸ P--------- ὑπό
κυρίου N2--GSM--- κύριος
φιλιάζεις V1--PAI2S- φιλιάζω
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐγένετο VBI-AMI3S- γίγνομαι
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
ὀργὴ N1--NSF--- ὀργή
παρὰ P--------- παρά
κυρίου N2--GSM--- κύριος

2Ch 19:3
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
λόγοι N2--NPM--- λόγος
ἀγαθοὶ A1--NPM--- ἀγαθός
ηὑρέθησαν VCI-API3P- εὑρίσκω
ἐν P--------- ἐν
σοί RP--DS---- σύ
ὅτι C--------- ὅτι
ἐξῆρας VAI-AAI2S- αἴρω ἐκ
τὰ RA--APN--- ὁ
ἄλση N3E-APN--- ἄλσος
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
Ιουδα N---GSM--- Ἰουδά
καὶ C--------- καί
κατηύθυνας VAI-AAI2S- εὐθύνω κατα
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
σου RP--GS---- σύ
ἐκζητῆσαι VA--AAN--- ζητέω ἐκ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος

2Ch 19:4
καὶ C--------- καί
κατῴκησεν VAI-AAI3S- οἰκέω κατα
Ιωσαφατ N---NSM--- Ιωσαφατ
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
καὶ C--------- καί
πάλιν D--------- πάλιν
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
ἀπὸ P--------- ἀπό
Βηρσαβεε N---GS---- Βηρσαβεε
ἕως P--------- ἕως
ὄρους N3E-GSN--- ὄρος
Εφραιμ N---GSM--- Ἐφράιμ
καὶ C--------- καί
ἐπέστρεψεν VAI-AAI3S- στρέφω ἐπι
αὐτοὺς RD--APM--- αὐτός
ἐπὶ P--------- ἐπί
κύριον N2--ASM--- κύριος
θεὸν N2--ASM--- θεός
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός

2Ch 19:5
καὶ C--------- καί
κατέστησεν VAI-AAI3S- ἵστημι κατα
κριτὰς N1M-APM--- κριτής
ἐν P--------- ἐν
πάσαις A1S-DPF--- πᾶς
ταῖς RA--DPF--- ὁ
πόλεσιν N3I-DPF--- πόλις
Ιουδα N---GSM--- Ἰουδά
ταῖς RA--DPF--- ὁ
ὀχυραῖς A1A-DPF--- ὀχυρός
ἐν P--------- ἐν
πόλει N3I-DSF--- πόλις
καὶ C--------- καί
πόλει N3I-DSF--- πόλις

2Ch 19:6
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τοῖς RA--DPM--- ὁ
κριταῖς N1M-DPM--- κριτής
ἴδετε VB--AAD2P- ὁράω
τί RI--ASN--- τίς
ὑμεῖς RP--NP---- σύ
ποιεῖτε V2--PAI2P- ποιέω
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἀνθρώπῳ N2--DSM--- ἄνθρωπος
ὑμεῖς RP--NP---- σύ
κρίνετε V1--PAI2P- κρίνω
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
καὶ C--------- καί
μεθ' P--------- μετά
ὑμῶν RP--GP---- σύ
λόγοι N2--NPM--- λόγος
τῆς RA--GSF--- ὁ
κρίσεως N3I-GSF--- κρίσις

2Ch 19:7
καὶ C--------- καί
νῦν D--------- νῦν
γενέσθω VB--AMD3S- γίγνομαι
φόβος N2--NSM--- φόβος
κυρίου N2--GSM--- κύριος
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
φυλάσσετε V1--PAI2P- φυλάσσω
καὶ C--------- καί
ποιήσετε VF--FAI2P- ποιέω
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
μετὰ P--------- μετά
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ἀδικία N1A-NSF--- ἀδικία
οὐδὲ C--------- οὐδέ
θαυμάσαι VA--AAN--- θαυμάζω
πρόσωπον N2N-ASN--- πρόσωπον
οὐδὲ C--------- οὐδέ
λαβεῖν VB--AAN--- λαμβάνω
δῶρα N2N-APN--- δῶρον

2Ch 19:8
καὶ C--------- καί
γὰρ X--------- γάρ
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
κατέστησεν VAI-AAI3S- ἵστημι κατα
Ιωσαφατ N---NSM--- Ιωσαφατ
τῶν RA--GPM--- ὁ
ἱερέων N3V-GPM--- ἱερεύς
καὶ C--------- καί
τῶν RA--GPM--- ὁ
Λευιτῶν N1M-GPM--- Λευείτης
καὶ C--------- καί
τῶν RA--GPM--- ὁ
πατριαρχῶν N1M-GPM--- πατριάρχης
Ισραηλ N---GSM--- Ἰσραήλ
εἰς P--------- εἰς
κρίσιν N3I-ASF--- κρίσις
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
κρίνειν V1--PAN--- κρίνω
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ

2Ch 19:9
καὶ C--------- καί
ἐνετείλατο VAI-AMI3S- τέλλω ἐν
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
λέγων V1--PAPNSM λέγω
οὕτως D--------- οὕτως
ποιήσετε VF--FAI2P- ποιέω
ἐν P--------- ἐν
φόβῳ N2--DSM--- φόβος
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
ἀληθείᾳ N1A-DSF--- ἀλήθεια
καὶ C--------- καί
ἐν P--------- ἐν
πλήρει A3H-DSF--- πλήρης
καρδίᾳ N1A-DSF--- καρδία

2Ch 19:10
πᾶς A3--NSM--- πᾶς
ἀνὴρ N3--NSM--- ἀνήρ
κρίσιν N3I-ASF--- κρίσις
τὴν RA--ASF--- ὁ
ἐλθοῦσαν VB--AAPASF ἔρχομαι
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
ὑμῶν RP--GP---- σύ
τῶν RA--GPM--- ὁ
κατοικούντων V2--PAPGPM οἰκέω κατα
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πόλεσιν N3I-DPF--- πόλις
αὐτῶν RD--GPM--- αὐτός
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
αἵματος N3M-GSN--- αἷμα
αἷμα N3M-ASN--- αἷμα
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
προστάγματος N3M-GSN--- πρόσταγμα
καὶ C--------- καί
ἐντολῆς N1--GSF--- ἐντολή
καὶ C--------- καί
δικαιώματα N3M-APN--- δικαίωμα
καὶ C--------- καί
κρίματα N3M-APN--- κρίμα
καὶ C--------- καί
διαστελεῖσθε VF2-FMI2P- στέλλω δια
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
οὐχ D--------- οὐ
ἁμαρτήσονται VF--FMI3P- ἁμαρτάνω
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
ὀργὴ N1--NSF--- ὀργή
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
ἀδελφοὺς N2--APM--- ἀδελφός
ὑμῶν RP--GP---- σύ
οὕτως D--------- οὕτως
ποιήσετε VF--FAI2P- ποιέω
καὶ C--------- καί
οὐχ D--------- οὐ
ἁμαρτήσεσθε VF--FMI2P- ἁμαρτάνω

2Ch 19:11
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
Αμαριας N1T-NSM--- Αμαριας
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
ἡγούμενος V2--PMPNSM ἡγέομαι
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
εἰς P--------- εἰς
πᾶν A3--ASM--- πᾶς
λόγον N2--ASM--- λόγος
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
Ζαβδιας N1T-NSM--- Ζαβδιας
υἱὸς N2--NSM--- υἱός
Ισμαηλ N---GSM--- Ισμαηλ
ὁ RA--NSM--- ὁ
ἡγούμενος V2--PMPNSM ἡγέομαι
εἰς P--------- εἰς
οἶκον N2--ASM--- οἶκος
Ιουδα N---GSM--- Ἰουδά
πρὸς P--------- πρός
πᾶν A3--ASM--- πᾶς
λόγον N2--ASM--- λόγος
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
γραμματεῖς N3V-NPM--- γραμματεύς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
Λευῖται N1M-NPM--- Λευείτης
πρὸ P--------- πρό
προσώπου N2N-GSN--- πρόσωπον
ὑμῶν RP--GP---- σύ
ἰσχύσατε VA--AAD2P- ἰσχύω
καὶ C--------- καί
ποιήσατε VA--AAD2P- ποιέω
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
κύριος N2--NSM--- κύριος
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
ἀγαθοῦ A1--GSM--- ἀγαθός

2Ch 20:1
καὶ C--------- καί
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
ἦλθον VBI-AAI3P- ἔρχομαι
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Μωαβ N---GSM--- Μωαβ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Αμμων N---GSM--- Αμμων
καὶ C--------- καί
μετ' P--------- μετά
αὐτῶν RD--GPM--- αὐτός
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
Μιναίων N2--GPM--- Μιναῖοι
πρὸς P--------- πρός
Ιωσαφατ N---ASM--- Ιωσαφατ
εἰς P--------- εἰς
πόλεμον N2--ASM--- πόλεμος

2Ch 20:2
καὶ C--------- καί
ἦλθον VBI-AAI3P- ἔρχομαι
καὶ C--------- καί
ὑπέδειξαν VAI-AAI3P- δεικνύω ὑπο
τῷ RA--DSM--- ὁ
Ιωσαφατ N---DSM--- Ιωσαφατ
λέγοντες V1--PAPNPM λέγω
ἥκει V1--PAI3S- ἥκω
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
πλῆθος N3E-NSN--- πλῆθος
πολὺ A1P-NSN--- πολύς
ἐκ P--------- ἐκ
πέραν D--------- πέραν
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
ἀπὸ P--------- ἀπό
Συρίας N1A-GSF--- Συρία
καὶ C--------- καί
ἰδού I--------- ἰδού
εἰσιν V9--PAI3P- εἰμί
ἐν P--------- ἐν
Ασασανθαμαρ N---DS---- Ασασανθαμαρ
αὕτη RD--NSF--- οὗτος
ἐστὶν V9--PAI3S- εἰμί
Ενγαδδι N---NSF--- Ενγαδδι

2Ch 20:3
καὶ C--------- καί
ἐφοβήθη VCI-API3S- φοβέω
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
Ιωσαφατ N---NSM--- Ιωσαφατ
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
ἐκζητῆσαι VA--AAN--- ζητέω ἐκ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
καὶ C--------- καί
ἐκήρυξεν VAI-AAI3S- κηρύσσω
νηστείαν N1A-ASF--- νηστεία
ἐν P--------- ἐν
παντὶ A3--DSM--- πᾶς
Ιουδα N---DSM--- Ἰουδά

2Ch 20:4
καὶ C--------- καί
συνήχθη VQI-API3S- ἄγω συν
Ιουδας N1T-NSM--- Ἰούδας
ἐκζητῆσαι VA--AAN--- ζητέω ἐκ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
καὶ C--------- καί
ἀπὸ P--------- ἀπό
πασῶν A1S-GPF--- πᾶς
τῶν RA--GPF--- ὁ
πόλεων N3I-GPF--- πόλις
Ιουδα N---GSM--- Ἰουδά
ἦλθον VBI-AAI3P- ἔρχομαι
ζητῆσαι VA--AAN--- ζητέω
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος

2Ch 20:5
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
Ιωσαφατ N---NSM--- Ιωσαφατ
ἐν P--------- ἐν
ἐκκλησίᾳ N1A-DSF--- ἐκκλησία
Ιουδα N---GSM--- Ἰουδά
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
ἐν P--------- ἐν
οἴκῳ N2--DSM--- οἶκος
κυρίου N2--GSM--- κύριος
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή
τῆς RA--GSF--- ὁ
καινῆς A1--GSF--- καινός

2Ch 20:6
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριε N2--VSM--- κύριος
ὁ RA--VSM--- ὁ
θεὸς N2--VSM--- θεός
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
οὐχὶ D--------- οὐ
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
θεὸς N2--NSM--- θεός
ἐν P--------- ἐν
οὐρανῷ N2--DSM--- οὐρανός
καὶ C--------- καί
σὺ RP--NS---- σύ
κυριεύεις V1--PAI2S- κυριεύω
πασῶν A1S-GPF--- πᾶς
τῶν RA--GPF--- ὁ
βασιλειῶν N1A-GPF--- βασιλεία
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χειρί N3--DSF--- χείρ
σου RP--GS---- σύ
ἰσχὺς N3--NSF--- ἰσχύς
δυναστείας N1A-GSF--- δυναστεία
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
πρὸς P--------- πρός
σὲ RP--AS---- σύ
ἀντιστῆναι VH--AAN--- ἵστημι ἀντι

2Ch 20:7
οὐχὶ D--------- οὐ
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
ἐξολεθρεύσας VA--AAPNSM ὀλεθρεύω ἐκ
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ταύτην RD--ASF--- οὗτος
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἔδωκας VAI-AAI2S- δίδωμι
αὐτὴν RD--ASF--- αὐτός
σπέρματι N3M-DSN--- σπέρμα
Αβρααμ N---GSM--- Ἀβραάμ
τῷ RA--DSM--- ὁ
ἠγαπημένῳ VM--XMPDSM ἀγαπάω
σου RP--GS---- σύ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών

2Ch 20:8
καὶ C--------- καί
κατῴκησαν VAI-AAI3P- οἰκέω κατα
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
ᾠκοδόμησαν VAI-AAI3P- οἰκοδομέω
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
ἁγίασμα N3M-ASN--- ἁγίασμα
τῷ RA--DSN--- ὁ
ὀνόματί N3M-DSN--- ὄνομα
