Dan 1:1
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
ἐναντίον P--------- ἐναντίον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ῥιφῇ VA--AAS3S- ῥίπτω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
ᾔδεισαν VXI-YAI3P- οἶδα
γὰρ X--------- γάρ
ὅτι C--------- ὅτι
Δανιηλ N---NSM--- Δανιηλ
προσεύχεται V1--PMI3S- εὔχομαι προς
καὶ C--------- καί
δεῖται V2--PMI3S- δέω
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτοῦ RD--GSM--- αὐτός
τρὶς D--------- τρίς
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα

Dan 6:7
τότε D--------- τότε
προσήλθοσαν VBI-AAI3P- ἔρχομαι προς
οἱ RA--NPM--- ὁ
ἄνθρωποι N2--NPM--- ἄνθρωπος
ἐκεῖνοι RD--NPM--- ἐκεῖνος
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
ἐναντίον P--------- ἐναντίον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

Dan 6:8
ὁρισμὸν N2--ASM--- ὁρισμός
καὶ C--------- καί
στάσιν N3I-ASF--- στάσις
ἐστήσαμεν VAI-AAI1P- ἵστημι
ὅτι C--------- ὅτι
πᾶς A3--NSM--- πᾶς
ἄνθρωπος N2--NSM--- ἄνθρωπος
ὃς RR--NSM--- ὅς
ἂν X--------- ἄν
εὔξηται VA--AMS3S- εὔχομαι
εὐχὴν N1--ASF--- εὐχή
ἢ C--------- ἤ
ἀξιώσῃ VA--AAS3S- ἀξιόω
ἀξίωμά N3M-ASN--- ἀξίωμα
τι RI--ASN--- τις
παρὰ P--------- παρά
παντὸς A3--GSM--- πᾶς
θεοῦ N2--GSM--- θεός
ἕως P--------- ἕως
ἡμερῶν N1A-GPF--- ἡμέρα
τριάκοντα M--------- τριάκοντα
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
παρὰ P--------- παρά
Δαρείου N2--GSM--- Δαρεῖος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ῥιφήσεται VD--FPI3S- ῥίπτω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων

Dan 6:9
καὶ C--------- καί
ἠξίωσαν VAI-AAI3P- ἀξιόω
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
ἵνα C--------- ἵνα
στήσῃ VA--AAS3S- ἵστημι
τὸν RA--ASM--- ὁ
ὁρισμὸν N2--ASM--- ὁρισμός
καὶ C--------- καί
μὴ D--------- μή
ἀλλοιώσῃ VA--AAS3S- ἀλλοιόω
αὐτόν RD--ASM--- αὐτός
διότι C--------- διότι
ᾔδεισαν VXI-YAI3P- οἶδα
ὅτι C--------- ὅτι
Δανιηλ N---NSM--- Δανιηλ
προσεύχεται V1--PMI3S- εὔχομαι προς
καὶ C--------- καί
δεῖται V2--PMI3S- δέω
τρὶς D--------- τρίς
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ἵνα C--------- ἵνα
ἡττηθῇ VC--APS3S- ἡττάω
διὰ P--------- διά
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ῥιφῇ VA--AAS3S- ῥίπτω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων

Dan 6:10
καὶ C--------- καί
οὕτως D--------- οὕτως
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Δαρεῖος N---NSM--- Δαρεῖος
ἔστησε VAI-AAI3S- ἵστημι
καὶ C--------- καί
ἐκύρωσεν VAI-AAI3S- κυρόω

Dan 6:11
ἐπιγνοὺς VZ--AAPNSM γιγνώσκω ἐπι
δὲ X--------- δέ
Δανιηλ N---NSM--- Δανιηλ
τὸν RA--ASM--- ὁ
ὁρισμόν N2--ASM--- ὁρισμός
ὃν RR--ASM--- ὅς
ἔστησε VAI-AAI3S- ἵστημι
κατ' P--------- κατά
αὐτοῦ RD--GSM--- αὐτός
θυρίδας N3D-APF--- θυρίς
ἤνοιξεν VAI-AAI3S- οἴγω ἀνα
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ὑπερῴῳ N2N-DSN--- ὑπερῷον
αὐτοῦ RD--GSM--- αὐτός
κατέναντι P--------- κατέναντι
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
καὶ C--------- καί
ἔπιπτεν V1I-IAI3S- πίπτω
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
τρὶς D--------- τρίς
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
καθὼς D--------- καθώς
ἐποίει V2I-IAI3S- ποιέω
ἔμπροσθεν D--------- ἔμπροσθεν
καὶ C--------- καί
ἐδεῖτο V2I-IMI3S- δέω

Dan 6:12
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
ἐτήρησαν VAI-AAI3P- τηρέω
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
καὶ C--------- καί
κατελάβοσαν VBI-AAI3P- λαμβάνω κατα
αὐτὸν RD--ASM--- αὐτός
εὐχόμενον V1--PMPASM εὔχομαι
τρὶς D--------- τρίς
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
καθ' P--------- κατά
ἑκάστην A1--ASF--- ἕκαστος
ἡμέραν N1A-ASF--- ἡμέρα

Dan 6:13
τότε D--------- τότε
οὗτοι RD--NPM--- οὗτος
οἱ RA--NPM--- ὁ
ἄνθρωποι N2--NPM--- ἄνθρωπος
ἐνέτυχον VBI-AAI3P- τυγχάνω ἐν
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
Δαρεῖε N2--VSM--- Δαρεῖος
βασιλεῦ N3V-VSM--- βασιλεύς
οὐχ D--------- οὐ
ὁρισμὸν N2--ASM--- ὁρισμός
ὡρίσω VAI-AMI2S- ὁρίζω
ἵνα C--------- ἵνα
πᾶς A3--NSM--- πᾶς
ἄνθρωπος N2--NSM--- ἄνθρωπος
μὴ D--------- μή
εὔξηται VA--AMS3S- εὔχομαι
εὐχὴν N1--ASF--- εὐχή
μηδὲ C--------- μηδέ
ἀξιώσῃ VA--AAS3S- ἀξιόω
ἀξίωμα N3M-ASN--- ἀξίωμα
παρὰ P--------- παρά
παντὸς A3--GSM--- πᾶς
θεοῦ N2--GSM--- θεός
ἕως P--------- ἕως
ἡμερῶν N1A-GPF--- ἡμέρα
τριάκοντα M--------- τριάκοντα
ἀλλὰ C--------- ἀλλά
παρὰ P--------- παρά
σοῦ RP--GS---- σύ
βασιλεῦ N3V-VSM--- βασιλεύς
εἰ C--------- εἰ
δὲ X--------- δέ
μή D--------- μή
ῥιφήσεται VD--FPI3S- ῥίπτω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
ἀποκριθεὶς VC--APPNSM κρίνω ἀπο
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
ἀκριβὴς A3--NSM--- ἀκριβής
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
καὶ C--------- καί
μενεῖ VF2-FAI3S- μένω
ὁ RA--NSM--- ὁ
ὁρισμός N2--NSM--- ὁρισμός

Dan 6:13a
καὶ C--------- καί
εἶπον VBI-AAI3P- εἶπον
αὐτῷ RD--DSM--- αὐτός
ὁρκίζομέν V1--PAI1P- ὁρκίζω
σε RP--AS---- σύ
τοῖς RA--GPM--- ὁ
Μήδων N2--GPM--- Μῆδος
καὶ C--------- καί
Περσῶν N1M-GPM--- Πέρσης
δόγμασιν N3M-DPN--- δόγμα
ἵνα C--------- ἵνα
μὴ D--------- μή
ἀλλοιώσῃς VA--AAS2S- ἀλλοιόω
τὸ RA--ASN--- ὁ
πρόσταγμα N3M-ASN--- πρόσταγμα
μηδὲ C--------- μηδέ
θαυμάσῃς VA--AAS2S- θαυμάζω
πρόσωπον N2N-ASN--- πρόσωπον
καὶ C--------- καί
ἵνα C--------- ἵνα
μὴ D--------- μή
ἐλαττώσῃς VA--AAS2S- ἐλαττόω
τι RI--ASN--- τις
τῶν RA--GPM--- ὁ
εἰρημένων VM--XMPGPM εἶπον
καὶ C--------- καί
κολάσῃς VA--AAS2S- κολάζω
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
ὃς RR--NSM--- ὅς
οὐκ D--------- οὐ
ἐνέμεινε VAI-AAI3S- μένω ἐν
τῷ RA--DSM--- ὁ
ὁρισμῷ N2--DSM--- ὁρισμός
τούτῳ RD--DSM--- οὗτος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
οὕτως D--------- οὕτως
ποιήσω VF--FAI1S- ποιέω
καθὼς D--------- καθώς
λέγετε V1--PAI2P- λέγω
καὶ C--------- καί
ἕστηκέ VXI-XAI3S- ἵστημι
μοι RP--DS---- ἐγώ
τοῦτο RD--ASN--- οὗτος

Dan 6:14
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
ἰδοὺ I--------- ἰδού
εὕρομεν VB--AAI1P- εὑρίσκω
Δανιηλ N---ASM--- Δανιηλ
τὸν RA--ASM--- ὁ
φίλον N2--ASM--- φίλος
σου RP--GS---- σύ
εὐχόμενον V1--PMPASM εὔχομαι
καὶ C--------- καί
δεόμενον V1--PMPASM δέω
τοῦ RA--GSN--- ὁ
προσώπου N2N-GSN--- πρόσωπον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτοῦ RD--GSM--- αὐτός
τρὶς D--------- τρίς
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα

Dan 6:15
καὶ C--------- καί
λυπούμενος V2--PMPNSM λυπέω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἶπεν VBI-AAI3S- εἶπον
ῥιφῆναι VD--APN--- ῥίπτω
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
κατὰ P--------- κατά
τὸν RA--ASM--- ὁ
ὁρισμόν N2--ASM--- ὁρισμός
ὃν RR--ASM--- ὅς
ἔστησε VAI-AAI3S- ἵστημι
κατ' P--------- κατά
αὐτοῦ RD--GSM--- αὐτός
τότε D--------- τότε
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
σφόδρα D--------- σφόδρα
ἐλυπήθη VCI-API3S- λυπέω
ἐπὶ P--------- ἐπί
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
καὶ C--------- καί
ἐβοήθει V2I-IAI3S- βοηθέω
τοῦ RA--GSN--- ὁ
ἐξελέσθαι VB--AMN--- αἱρέω ἐκ
αὐτὸν RD--ASM--- αὐτός
ἕως P--------- ἕως
δυσμῶν N1--GPF--- δυσμή
ἡλίου N2--GSM--- ἥλιος
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
χειρῶν N3--GPF--- χείρ
τῶν RA--GPM--- ὁ
σατραπῶν N1M-GPM--- σατράπης

Dan 6:16
καὶ C--------- καί
οὐκ D--------- οὐ
ἠδύνατο V6I-IMI3S- δύναμαι
ἐξελέσθαι VB--AMN--- αἱρέω ἐκ
αὐτὸν RD--ASM--- αὐτός
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός

Dan 6:17
ἀναβοήσας VA--AAPNSM βοάω ἀνα
δὲ X--------- δέ
Δαρεῖος N---NSM--- Δαρεῖος
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἶπε VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ
ᾧ RR--DSM--- ὅς
σὺ RP--NS---- σύ
λατρεύεις V1--PAI2S- λατρεύω
ἐνδελεχῶς D--------- ἐνδελεχῶς
τρὶς D--------- τρίς
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
αὐτὸς RD--NSM--- αὐτός
ἐξελεῖταί VF2-FMI3S- αἱρέω ἐκ
σε RP--AS---- σύ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
ἕως P--------- ἕως
πρωὶ D--------- πρωΐ
θάρρει V2--PAD2S- θαρρέω

Dan 6:18
τότε D--------- τότε
Δανιηλ N---NSM--- Δανιηλ
ἐρρίφη VDI-API3S- ῥίπτω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
καὶ C--------- καί
ἠνέχθη VQI-API3S- φέρω
λίθος N2--NSM--- λίθος
καὶ C--------- καί
ἐτέθη VCI-API3S- τίθημι
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
τοῦ RA--GSM--- ὁ
λάκκου N2--GSM--- λάκκος
καὶ C--------- καί
ἐσφραγίσατο VAI-AMI3S- σφραγίζω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
δακτυλίῳ N2--DSM--- δακτύλιος
ἑαυτοῦ RD--GSM--- ἑαυτοῦ
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
δακτυλίοις N2--DPM--- δακτύλιος
τῶν RA--GPM--- ὁ
μεγιστάνων N3--GPM--- μεγιστάν
αὐτοῦ RD--GSM--- αὐτός
ὅπως C--------- ὅπως
μὴ D--------- μή
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός
ἀρθῇ VC--APS3S- αἴρω
ὁ RA--NSM--- ὁ
Δανιηλ N---NSM--- Δανιηλ
ἢ C--------- ἤ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
αὐτὸν RD--ASM--- αὐτός
ἀνασπάσῃ VA--AAS3S- σπάω ἀνα
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
λάκκου N2--GSM--- λάκκος

Dan 6:19
τότε D--------- τότε
ὑπέστρεψεν VAI-AAI3S- στρέφω ὑπο
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
βασίλεια N2N-APN--- βασίλειον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ηὐλίσθη VSI-API3S- αὐλίζω
νῆστις N3D-NSF--- νῆστις
καὶ C--------- καί
ἦν V9I-IAI3S- εἰμί
λυπούμενος V2--PMPNSM λυπέω
περὶ P--------- περί
τοῦ RA--GSM--- ὁ
Δανιηλ N---GSM--- Δανιηλ
τότε D--------- τότε
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
Δανιηλ N---GSM--- Δανιηλ
πρόνοιαν N1A-ASF--- πρόνοια
ποιούμενος V2--PMPNSM ποιέω
αὐτοῦ RD--GSM--- αὐτός
ἀπέκλεισε VAI-AAI3S- κλείω ἀπο
τὰ RA--APN--- ὁ
στόματα N3M-APN--- στόμα
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
καὶ C--------- καί
οὐ D--------- οὐ
παρηνώχλησαν VAI-AAI3P- ὀχλέω παρα ἐν
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ

Dan 6:20
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Δαρεῖος N---NSM--- Δαρεῖος
ὤρθρισε VAI-AAI3S- ὀρθρίζω
πρωὶ D--------- πρωΐ
καὶ C--------- καί
παρέλαβε VBI-AAI3S- λαμβάνω παρα
μεθ' P--------- μετά
ἑαυτοῦ RD--GSM--- ἑαυτοῦ
τοὺς RA--APM--- ὁ
σατράπας N1M-APM--- σατράπης
καὶ C--------- καί
πορευθεὶς VC--APPNSM πορεύομαι
ἔστη VHI-AAI3S- ἵστημι
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
στόματος N3M-GSN--- στόμα
τοῦ RA--GSM--- ὁ
λάκκου N2--GSM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων

Dan 6:21
τότε D--------- τότε
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐκάλεσε VAI-AAI3S- καλέω
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
μετὰ P--------- μετά
κλαυθμοῦ N2--GSM--- κλαυθμός
λέγων V1--PAPNSM λέγω
ὦ I--------- ὦ
Δανιηλ N---VSM--- Δανιηλ
εἰ C--------- εἰ
ἄρα X--------- ἄρα
ζῇς VA--AAN--- ζάω
καὶ C--------- καί
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ
ᾧ RR--DSM--- ὅς
λατρεύεις V1--PAI2S- λατρεύω
ἐνδελεχῶς D--------- ἐνδελεχῶς
σέσωκέ VX--XAI3S- σώζω
σε RP--AS---- σύ
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
καὶ C--------- καί
οὐκ D--------- οὐ
ἠχρείωκάν VXI-XAI3P- ἀχρείοω
σε RP--AS---- σύ

Dan 6:22
τότε D--------- τότε
Δανιηλ N---NSM--- Δανιηλ
ἐπήκουσε VAI-AAI3S- ἀκούω ἐπι
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
βασιλεῦ N3V-VSM--- βασιλεύς
ἔτι D--------- ἔτι
εἰμὶ V9--PAI1S- εἰμί
ζῶν V3--PAPNSM ζάω

Dan 6:23
καὶ C--------- καί
σέσωκέ VX--XAI3S- σώζω
με RP--AS---- ἐγώ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
καθότι D--------- καθότι
δικαιοσύνη N1--NSF--- δικαιοσύνη
ἐν P--------- ἐν
ἐμοὶ RP--DS---- ἐγώ
εὑρέθη VC--API3S- εὑρίσκω
ἐναντίον P--------- ἐναντίον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐναντίον P--------- ἐναντίον
δὲ X--------- δέ
σοῦ RP--GS---- σύ
βασιλεῦ N3V-VSM--- βασιλεύς
οὔτε C--------- οὔτε
ἄγνοια N1A-NSF--- ἄγνοια
οὔτε C--------- οὔτε
ἁμαρτία N1A-NSF--- ἁμαρτία
εὑρέθη VC--API3S- εὑρίσκω
ἐν P--------- ἐν
ἐμοί RP--DS---- ἐγώ
σὺ RP--NS---- σύ
δὲ X--------- δέ
ἤκουσας VAI-AAI2S- ἀκούω
ἀνθρώπων N2--GPM--- ἄνθρωπος
πλανώντων V3--PAPGPM πλανάω
βασιλεῖς N3V-APM--- βασιλεύς
καὶ C--------- καί
ἔρριψάς VAI-AAI2S- ῥίπτω
με RP--AS---- ἐγώ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
εἰς P--------- εἰς
ἀπώλειαν N1A-ASF--- ἀπώλεια

Dan 6:24
τότε D--------- τότε
συνήχθησαν VQI-API3P- ἄγω συν
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
δυνάμεις N3I-NPF--- δύναμις
καὶ C--------- καί
εἶδον VBI-AAI3P- ὁράω
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
ὡς C--------- ὡς
οὐ D--------- οὐ
παρηνώχλησαν VAI-AAI3P- ὀχλέω παρα ἐν
αὐτῷ RD--DSM--- αὐτός
οἱ RA--NPM--- ὁ
λέοντες N3--NPM--- λέων

Dan 6:25
τότε D--------- τότε
οἱ RA--NPM--- ὁ
δύο M--------- δύο
ἄνθρωποι N2--NPM--- ἄνθρωπος
ἐκεῖνοι RD--NPM--- ἐκεῖνος
οἱ RA--NPM--- ὁ
καταμαρτυρήσαντες VA--AAPNPM μαρτυρέω κατα
τοῦ RA--GSM--- ὁ
Δανιηλ N---GSM--- Δανιηλ
αὐτοὶ RD--NPM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
τέκνα N2N-APN--- τέκνον
αὐτῶν RD--GPM--- αὐτός
ἐρρίφησαν VDI-API3P- ῥίπτω
τοῖς RA--DPM--- ὁ
λέουσι N3--DPM--- λέων
καὶ C--------- καί
οἱ RA--NPM--- ὁ
λέοντες N3--NPM--- λέων
ἀπέκτειναν VAI-AAI3P- κτείνω ἀπο
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
ἔθλασαν VAI-AAI3P- θλάω
τὰ RA--APN--- ὁ
ὀστᾶ N2N-APN--- ὀστέον
αὐτῶν RD--GPM--- αὐτός

Dan 6:26
τότε D--------- τότε
Δαρεῖος N---NSM--- Δαρεῖος
ἔγραψε VAI-AAI3S- γράφω
πᾶσι A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
ἔθνεσι N3E-DPN--- ἔθνος
καὶ C--------- καί
χώραις N1A-DPF--- χώρα
καὶ C--------- καί
γλώσσαις N1S-DPF--- γλῶσσα
τοῖς RA--DPM--- ὁ
οἰκοῦσιν V2--PAPDPM οἰκέω
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
αὐτοῦ RD--GSM--- αὐτός
λέγων V1--PAPNSM λέγω

Dan 6:27
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄνθρωποι N2--NPM--- ἄνθρωπος
οἱ RA--NPM--- ὁ
ὄντες V9--PAPNPM εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
μου RP--GS---- ἐγώ
ἔστωσαν V9--PAD3P- εἰμί
προσκυνοῦντες V2--PAPNPM κυνέω προς
καὶ C--------- καί
λατρεύοντες V1--PAPNPM λατρεύω
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
τοῦ RA--GSM--- ὁ
Δανιηλ N---GSM--- Δανιηλ
αὐτὸς RD--NSM--- αὐτός
γάρ X--------- γάρ
ἐστι V9--PAI3S- εἰμί
θεὸς N2--NSM--- θεός
