Wis 1:1
τοίχῳ N2--DSM--- τοῖχος
ἔθηκεν VAI-AAI3S- τίθημι
αὐτὸ RD--ASN--- αὐτός
ἀσφαλισάμενος VA--AMPNSM ἀσφαλίζω
σιδήρῳ N2--DSM--- σίδηρος

Wis 13:16
ἵνα C--------- ἵνα
μὲν X--------- μέν
οὖν X--------- οὖν
μὴ D--------- μή
καταπέσῃ VA--AAS3S- πίπτω κατα
προενόησεν VAI-AAI3S- νοέω προ
αὐτοῦ RD--GSN--- αὐτός
εἰδὼς VX--XAPNSM οἶδα
ὅτι C--------- ὅτι
ἀδυνατεῖ V2--PAI3S- ἀδυνατέω
ἑαυτῷ RD--DSN--- ἑαυτοῦ
βοηθῆσαι VA--AAN--- βοηθέω
καὶ C--------- καί
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
εἰκὼν V1--PAPNSM εἰκών
καὶ C--------- καί
χρείαν N1A-ASF--- χρεία
ἔχει V1--PAI3S- ἔχω
βοηθείας N1A-GSF--- βοήθεια

Wis 13:17
περὶ P--------- περί
δὲ X--------- δέ
κτημάτων N3M-GPN--- κτῆμα
καὶ C--------- καί
γάμων N2--GPM--- γάμος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τέκνων N2N-GPN--- τέκνον
προσευχόμενος V1--PMPNSM εὔχομαι προς
οὐκ D--------- οὐ
αἰσχύνεται V1--PMI3S- αἰσχύνω
τῷ RA--DSN--- ὁ
ἀψύχῳ A1B-DSN--- ἄψυχος
προσλαλῶν V2--PAPNSM λαλέω προς
καὶ C--------- καί
περὶ P--------- περί
μὲν X--------- μέν
ὑγιείας N1A-GSF--- ὑγίεια
τὸ RA--ASN--- ὁ
ἀσθενὲς A3H-ASN--- ἀσθενής
ἐπικαλεῖται V2--PMI3S- καλέω ἐπι

Wis 13:18
περὶ P--------- περί
δὲ X--------- δέ
ζωῆς N1--GSF--- ζωή
τὸ RA--ASN--- ὁ
νεκρὸν A1A-ASN--- νεκρός
ἀξιοῖ V4--PAI3S- ἀξιόω
περὶ P--------- περί
δὲ X--------- δέ
ἐπικουρίας N1A-GSF--- ἐπικουρία
τὸ RA--ASN--- ὁ
ἀπειρότατον A1B-ASNS-- ἄπειρος
ἱκετεύει V1--PAI3S- ἱκετεύω
περὶ P--------- περί
δὲ X--------- δέ
ὁδοιπορίας N1A-GSF--- ὁδοιπορία
τὸ RA--ASN--- ὁ
μηδὲ C--------- μηδέ
βάσει N3I-DSF--- βάσις
χρῆσθαι V3--PMN--- χράομαι
δυνάμενον V6--PMPASN δύναμαι

Wis 13:19
περὶ P--------- περί
δὲ X--------- δέ
πορισμοῦ N2--GSM--- πορισμός
καὶ C--------- καί
ἐργασίας N1A-GSF--- ἐργασία
καὶ C--------- καί
χειρῶν N3--GPF--- χείρ
ἐπιτυχίας N1A-GSF--- ἐπιτυχία
τὸ RA--ASN--- ὁ
ἀδρανέστατον A3H-ASNS-- ἀδρανής
ταῖς RA--DPF--- ὁ
χερσὶν N3--DPF--- χείρ
εὐδράνειαν N1A-ASF--- εὐδράνεια
αἰτεῖται V2--PMI3S- αἰτέω

Wis 14:1
πλοῦν V2--PAPNSM πλέω
τις RI--NSM--- τις
πάλιν D--------- πάλιν
στελλόμενος V1--PMPNSM στέλλω
καὶ C--------- καί
ἄγρια A1A-APN--- ἄγριος
μέλλων V1--PAPNSM μέλλω
διοδεύειν V1--PAN--- ὁδεύω δια
κύματα N3M-APN--- κῦμα
τοῦ RA--GSN--- ὁ
φέροντος V1--PAPGSN φέρω
αὐτὸν RD--ASM--- αὐτός
πλοίου N2N-GSN--- πλοῖον
σαθρότερον A1A-ASNC-- σαθρός
ξύλον N2N-ASN--- ξύλον
ἐπιβοᾶται V3--PMI3S- βοάω ἐπι

Wis 14:2
ἐκεῖνο RD--ASN--- ἐκεῖνος
μὲν X--------- μέν
γὰρ X--------- γάρ
ὄρεξις N3I-NSF--- ὄρεξις
πορισμῶν N2--GPM--- πορισμός
ἐπενόησεν VAI-AAI3S- νοέω ἐπι
τεχνῖτις N3D-NSF--- τεχνῖτις
δὲ X--------- δέ
σοφία N1A-NSF--- σοφία
κατεσκεύασεν VAI-AAI3S- σκευάζω κατα

Wis 14:3
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
σή A1--NSF--- σός
πάτερ N3--VSM--- πατήρ
διακυβερνᾷ V3--PAI3S- κυβερνάω δια
πρόνοια N1A-NSF--- πρόνοια
ὅτι C--------- ὅτι
ἔδωκας VAI-AAI2S- δίδωμι
καὶ C--------- καί
ἐν P--------- ἐν
θαλάσσῃ N1S-DSF--- θάλασσα
ὁδὸν N2--ASF--- ὁδός
καὶ C--------- καί
ἐν P--------- ἐν
κύμασι N3M-DPN--- κῦμα
τρίβον N2--ASM--- τρίβος
ἀσφαλῆ A3H-ASM--- ἀσφαλής

Wis 14:4
δεικνὺς V5--PAI2S- δεικνύω
ὅτι C--------- ὅτι
δύνασαι V6--PMI2S- δύναμαι
ἐκ P--------- ἐκ
παντὸς A3--GSN--- πᾶς
σῴζειν V1--PAN--- σώζω
ἵνα C--------- ἵνα
κἂν C+X------- καί+ἄν
ἄνευ P--------- ἄνευ
τέχνης N1--GSF--- τέχνη
τις RI--NSM--- τις
ἐπιβῇ VZ--AAS3S- βαίνω ἐπι

Wis 14:5
θέλεις V1--PAI2S- θέλω
δὲ X--------- δέ
μὴ D--------- μή
ἀργὰ A1--APN--- ἀργός
εἶναι V9--PAN--- εἰμί
τὰ RA--APN--- ὁ
τῆς RA--GSF--- ὁ
σοφίας N1A-GSF--- σοφία
σου RP--GS---- σύ
ἔργα N2N-APN--- ἔργον
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
καὶ C--------- καί
ἐλαχίστῳ A1--DSNS-- ἐλαχύς
ξύλῳ N2N-DSN--- ξύλον
πιστεύουσιν V1--PAI3P- πιστεύω
ἄνθρωποι N2--NPM--- ἄνθρωπος
ψυχὰς N1--APF--- ψυχή
καὶ C--------- καί
διελθόντες VB--AAPNPM ἔρχομαι δια
κλύδωνα N3W-ASM--- κλύδων
σχεδίᾳ N1A-DSF--- σχεδία
διεσώθησαν VCI-API3P- σώζω δια

Wis 14:6
καὶ C--------- καί
ἀρχῆς N1--GSF--- ἀρχή
γὰρ X--------- γάρ
ἀπολλυμένων V5--PMPGPM ὀλλύω ἀπο
ὑπερηφάνων A1B-GPM--- ὑπερήφανος
γιγάντων N3--GPM--- γίγας
ἡ RA--NSF--- ὁ
ἐλπὶς N3D-NSF--- ἐλπίς
τοῦ RA--GSM--- ὁ
κόσμου N2--GSM--- κόσμος
ἐπὶ P--------- ἐπί
σχεδίας N1A-GSF--- σχεδία
καταφυγοῦσα VB--AAPNSF φεύγω κατα
ἀπέλιπεν VBI-AAI3S- λείπω ἀπο
αἰῶνι N3W-DSM--- αἰών
σπέρμα N3M-ASN--- σπέρμα
γενέσεως N3I-GSF--- γένεσις
τῇ RA--DSF--- ὁ
σῇ A1--DSF--- σός
κυβερνηθεῖσα VC--APPNSF κυβερνάω
χειρί N3--DSF--- χείρ

Wis 14:7
εὐλόγηται VM--XMI3S- εὐλογέω
γὰρ X--------- γάρ
ξύλον N2N-NSN--- ξύλον
δι' P--------- διά
οὗ RR--GSN--- ὅς
γίνεται V1--PMI3S- γίγνομαι
δικαιοσύνη N1--NSF--- δικαιοσύνη

Wis 14:8
τὸ RA--NSN--- ὁ
χειροποίητον A1B-NSN--- χειροποίητος
δέ X--------- δέ
ἐπικατάρατον A1B-NSN--- ἐπικατάρατος
αὐτὸ RD--NSN--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ποιήσας VA--AAPNSM ποιέω
αὐτό RD--ASN--- αὐτός
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
μὲν X--------- μέν
ἠργάζετο V1I-IMI3S- ἐργάζομαι
τὸ RA--ASN--- ὁ
δὲ X--------- δέ
φθαρτὸν A1--ASN--- φθαρτός
θεὸς N2--NSM--- θεός
ὠνομάσθη VSI-API3S- ὀνομάζω

Wis 14:9
ἐν P--------- ἐν
ἴσῳ A1--DSM--- ἴσος
γὰρ X--------- γάρ
μισητὰ A1--APN--- μισητός
θεῷ N2--DSM--- θεός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἀσεβῶν V2--PAPNSM ἀσεβέω
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ἀσέβεια N1A-NSF--- ἀσέβεια
αὐτοῦ RD--GSM--- αὐτός

Wis 14:10
καὶ C--------- καί
γὰρ X--------- γάρ
τὸ RA--NSN--- ὁ
πραχθὲν VQ--APPNSN πράσσω
σὺν P--------- σύν
τῷ RA--DSM--- ὁ
δράσαντι VA--AAPDSM δράω
κολασθήσεται VS--FPI3S- κολάζω

Wis 14:11
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
καὶ C--------- καί
ἐν P--------- ἐν
εἰδώλοις N2N-DPN--- εἴδωλον
ἐθνῶν N3E-GPN--- ἔθνος
ἐπισκοπὴ N1--NSF--- ἐπισκοπή
ἔσται VF--FMI3S- εἰμί
ὅτι C--------- ὅτι
ἐν P--------- ἐν
κτίσματι N3M-DSN--- κτίσμα
θεοῦ N2--GSM--- θεός
εἰς P--------- εἰς
βδέλυγμα N3M-ASN--- βδέλυγμα
ἐγενήθησαν VCI-API3P- γίγνομαι
καὶ C--------- καί
εἰς P--------- εἰς
σκάνδαλα N2N-APN--- σκάνδαλον
ψυχαῖς N1--DPF--- ψυχή
ἀνθρώπων N2--GPM--- ἄνθρωπος
καὶ C--------- καί
εἰς P--------- εἰς
παγίδα N3D-ASF--- παγίς
ποσὶν N3D-DPM--- πούς
ἀφρόνων A3N-GPM--- ἄφρων

Wis 14:12
ἀρχὴ N1--NSF--- ἀρχή
γὰρ X--------- γάρ
πορνείας N1A-GSF--- πορνεία
ἐπίνοια N1A-NSF--- ἐπίνοια
εἰδώλων N2N-GPN--- εἴδωλον
εὕρεσις N3I-NSF--- εὕρεσις
δὲ X--------- δέ
αὐτῶν RD--GPN--- αὐτός
φθορὰ N1A-NSF--- φθορά
ζωῆς N1--GSF--- ζωή

Wis 14:13
οὔτε C--------- οὔτε
γὰρ X--------- γάρ
ἦν V9--IAI3S- εἰμί
ἀπ' P--------- ἀπό
ἀρχῆς N1--GSF--- ἀρχή
οὔτε C--------- οὔτε
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
ἔσται VF--FMI3S- εἰμί

Wis 14:14
κενοδοξίᾳ N1A-DSF--- κενοδοξία
γὰρ X--------- γάρ
ἀνθρώπων N2--GPM--- ἄνθρωπος
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
κόσμον N2--ASM--- κόσμος
καὶ C--------- καί
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
σύντομον A1B-ASN--- σύντομος
αὐτῶν RD--GPN--- αὐτός
τὸ RA--ASN--- ὁ
τέλος N3E-ASN--- τέλος
ἐπενοήθη VCI-API3S- νοέω ἐπι

Wis 14:15
ἀώρῳ A1B-DSN--- ἄωρος
γὰρ X--------- γάρ
πένθει N3E-DSN--- πένθος
τρυχόμενος V1--PMPNSM τρύχω
πατὴρ N3--NSM--- πατήρ
τοῦ RA--GSN--- ὁ
ταχέως D--------- ταχέως
ἀφαιρεθέντος VC--APPGSN αἱρέω ἀπο
τέκνου N2N-GSN--- τέκνον
εἰκόνα N3N-GSF--- εἰκών
ποιήσας VA--AAPNSM ποιέω
τόν RA--ASM--- ὁ
ποτε D--------- ποτέ
νεκρὸν A1A-ASM--- νεκρός
ἄνθρωπον N2--ASM--- ἄνθρωπος
νῦν D--------- νῦν
ὡς C--------- ὡς
θεὸν N2--ASM--- θεός
ἐτίμησεν VAI-AAI3S- τιμάω
καὶ C--------- καί
παρέδωκεν VAI-AAI3S- δίδωμι παρα
τοῖς RA--DPM--- ὁ
ὑποχειρίοις A1A-DPM--- ὑποχείριος
μυστήρια N2N-APN--- μυστήριον
καὶ C--------- καί
τελετάς N1--APF--- τελετή

Wis 14:16
εἶτα D--------- εἶτα
ἐν P--------- ἐν
χρόνῳ N2--DSM--- χρόνος
κρατυνθὲν VA--APPNSN κρατύνω
τὸ RA--NSN--- ὁ
ἀσεβὲς A3H-NSN--- ἀσεβής
ἔθος N3E-NSN--- ἔθος
ὡς C--------- ὡς
νόμος N2--NSM--- νόμος
ἐφυλάχθη VQI-API3S- φυλάσσω

Wis 14:17
καὶ C--------- καί
τυράννων N2--GPM--- τύραννος
ἐπιταγαῖς N1--DPF--- ἐπιταγή
ἐθρησκεύετο V1I-IMI3S- θρησκεύω
τὰ RA--APN--- ὁ
γλυπτά A1--APN--- γλυπτός
οὓς RR--APM--- ὅς
ἐν P--------- ἐν
ὄψει N3I-DSF--- ὄψις
μὴ D--------- μή
δυνάμενοι V6--PMPNPM δύναμαι
τιμᾶν V3--PAN--- τιμάω
ἄνθρωποι N2--NPM--- ἄνθρωπος
διὰ P--------- διά
τὸ RA--ASN--- ὁ
μακρὰν D--------- μακράν
οἰκεῖν V2--PAN--- οἰκέω
τὴν RA--ASF--- ὁ
πόρρωθεν D--------- πόρρωθεν
ὄψιν N3I-ASF--- ὄψις
ἀνατυπωσάμενοι VA--AMPNPM τυπόω ἀνα
ἐμφανῆ A3H-ASF--- ἐμφανής
εἰκόνα N3N-ASF--- εἰκών
τοῦ RA--GSM--- ὁ
τιμωμένου V3--PMPGSM τιμάω
βασιλέως N3V-GSM--- βασιλεύς
ἐποίησαν VAI-AAI3P- ποιέω
ἵνα C--------- ἵνα
ὡς C--------- ὡς
παρόντα V9--PAPASM εἰμί παρα
τὸν RA--ASM--- ὁ
ἀπόντα V9--PAPASM εἰμί ἀπο
κολακεύωσιν V1--PAS3P- κολακεύω
διὰ P--------- διά
τῆς RA--GSF--- ὁ
σπουδῆς N1--GSF--- σπουδή

Wis 14:18
εἰς P--------- εἰς
ἐπίτασιν N3I-ASF--- ἐπίτασις
δὲ X--------- δέ
θρησκείας N1A-GSF--- θρησκεία
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἀγνοοῦντας V2--PAPAPM ἀγνοέω
ἡ RA--NSF--- ὁ
τοῦ RA--GSM--- ὁ
τεχνίτου N1M-GSM--- τεχνίτης
προετρέψατο VAI-AMI3S- τρέπω προ
φιλοτιμία N1A-NSF--- φιλοτιμία

Wis 14:19
ὁ RA--NSM--- ὁ
μὲν X--------- μέν
γὰρ X--------- γάρ
τάχα D--------- τάχα
κρατοῦντι V2--PAPDSM κρατέω
βουλόμενος V1--PMPNSM βούλομαι
ἀρέσαι VA--AAN--- ἀρέσκω
ἐξεβιάσατο VAI-AMI3S- βιάζω ἐκ
τῇ RA--DSF--- ὁ
τέχνῃ N1--DSF--- τέχνη
τὴν RA--ASF--- ὁ
ὁμοιότητα N3T-ASF--- ὁμοιότης
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
κάλλιον A3C-ASN--- καλός

Wis 14:20
τὸ RA--NSN--- ὁ
δὲ X--------- δέ
πλῆθος N3E-NSN--- πλῆθος
ἐφελκόμενον V1--PMPASN ἕλκω ἐπι
διὰ P--------- διά
τὸ RA--ASN--- ὁ
εὔχαρι A3--ASN--- εὔχαρις
τῆς RA--GSF--- ὁ
ἐργασίας N1A-GSF--- ἐργασία
τὸν RA--ASM--- ὁ
πρὸ P--------- πρό
ὀλίγου A1--GSN--- ὀλίγος
τιμηθέντα VC--APPASM τιμάω
ἄνθρωπον N2--ASM--- ἄνθρωπος
νῦν D--------- νῦν
σέβασμα N3M-ASN--- σέβασμα
ἐλογίσαντο VAI-AMI3P- λογίζομαι

Wis 14:21
καὶ C--------- καί
τοῦτο RD--NSN--- οὗτος
ἐγένετο VBI-AMI3S- γίγνομαι
τῷ RA--DSM--- ὁ
βίῳ N2--DSM--- βίος
εἰς P--------- εἰς
ἔνεδρον N2--ASN--- ἔνεδρον
ὅτι C--------- ὅτι
ἢ C--------- ἤ
συμφορᾷ N1A-DSF--- συμφορά
ἢ C--------- ἤ
τυραννίδι N3D-DSF--- τυραννίς
δουλεύσαντες VA--AAPNPM δουλεύω
ἄνθρωποι N2--NPM--- ἄνθρωπος
τὸ RA--ASN--- ὁ
ἀκοινώνητον A1B-ASN--- ἀκοινώνητος
ὄνομα N3M-ASN--- ὄνομα
λίθοις N2--DPM--- λίθος
καὶ C--------- καί
ξύλοις N2N-DPN--- ξύλον
περιέθεσαν VEI-AAI3S- τίθημι περι

Wis 14:22
εἶτ' D--------- εἶτα
οὐκ D--------- οὐ
ἤρκεσεν VAI-AAI3S- ἀρκέω
τὸ RA--ASN--- ὁ
πλανᾶσθαι V3--PMN--- πλανάω
περὶ P--------- περί
τὴν RA--ASF--- ὁ
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
γνῶσιν N3I-ASF--- γνῶσις
ἀλλὰ C--------- ἀλλά
καὶ D--------- καί
ἐν P--------- ἐν
μεγάλῳ A1--DSM--- μέγας
ζῶντες V3--PAPNPM ζάω
ἀγνοίας N1A-GSF--- ἄγνοια
πολέμῳ N2--DSM--- πόλεμος
τὰ RA--APN--- ὁ
τοσαῦτα A1--APN--- τοσοῦτος
κακὰ A1--APN--- κακός
εἰρήνην N1--ASF--- εἰρήνη
προσαγορεύουσιν V1--PAI3P- ἀγορεύω προς

Wis 14:23
ἢ C--------- ἤ
γὰρ X--------- γάρ
τεκνοφόνους A1B-APF--- τεκνοφόνος
τελετὰς N1--APF--- τελετή
ἢ C--------- ἤ
κρύφια A1A-APN--- κρύφιος
μυστήρια N2N-APN--- μυστήριον
ἢ C--------- ἤ
ἐμμανεῖς A3H-APM--- ἐμμανής
ἐξάλλων A1B-GPM--- ἔξαλλος
θεσμῶν N2--GPM--- θεσμός
κώμους N2--APM--- κῶμος
ἄγοντες V1--PAPNPM ἄγω

Wis 14:24
οὔτε C--------- οὔτε
βίους N2--APM--- βίος
οὔτε C--------- οὔτε
γάμους N2--APM--- γάμος
καθαροὺς A1A-APM--- καθαρός
ἔτι D--------- ἔτι
φυλάσσουσιν V1--PAI3P- φυλάσσω
ἕτερος A1A-NSM--- ἕτερος
δ' X--------- δέ
ἕτερον A1A-ASM--- ἕτερος
ἢ C--------- ἤ
λοχῶν N2--GPM--- λόχος
ἀναιρεῖ V2--PAI3S- αἱρέω ἀνα
ἢ C--------- ἤ
νοθεύων V1--PAPNSM νοθεύω
ὀδυνᾷ V3--PAI3S- ὀδυνάω

Wis 14:25
πάντα A3--NPN--- πᾶς
δ' X--------- δέ
ἐπιμὶξ D--------- ἐπιμίξ
ἔχει V1--PAI3S- ἔχω
αἷμα N3M-NSN--- αἷμα
καὶ C--------- καί
φόνος N2--NSM--- φόνος
κλοπὴ N1--NSF--- κλοπή
καὶ C--------- καί
δόλος N2--NSM--- δόλος
φθορά N1A-NSF--- φθορά
ἀπιστία N1A-NSF--- ἀπιστία
τάραχος N2--NSM--- τάραχος
ἐπιορκία N1A-NSF--- ἐπιορκία

Wis 14:26
θόρυβος N2--NSM--- θόρυβος
ἀγαθῶν A1--GPN--- ἀγαθός
χάριτος N3T-GSF--- χάρις
ἀμνηστία N1A-NSF--- ἀμνηστία
ψυχῶν N1--GPF--- ψυχή
μιασμός N2--NSM--- μιασμός
γενέσεως N3I-GSF--- γένεσις
ἐναλλαγή N1--NSF--- ἐναλλαγή
γάμων N2--GPM--- γάμος
ἀταξία N1A-NSF--- ἀταξία
μοιχεία N1A-NSF--- μοιχεία
καὶ C--------- καί
ἀσέλγεια N1A-NSF--- ἀσέλγεια

Wis 14:27
ἡ RA--NSF--- ὁ
γὰρ X--------- γάρ
τῶν RA--GPN--- ὁ
ἀνωνύμων A1B-GPN--- ἀνώνυμος
εἰδώλων N2N-GPN--- εἴδωλον
θρησκεία N1A-NSF--- θρησκεία
παντὸς A3--GSN--- πᾶς
ἀρχὴ N1--NSF--- ἀρχή
κακοῦ A1--GSN--- κακός
καὶ C--------- καί
αἰτία N1A-NSF--- αἰτία
καὶ C--------- καί
πέρας N3T-NSN--- πέρας
ἐστίν V9--PAI3S- εἰμί

Wis 14:28
ἢ C--------- ἤ
γὰρ X--------- γάρ
εὐφραινόμενοι V1--PMPNPM εὐφραίνω
μεμήνασιν VX--XAI3P- μαίνομαι
ἢ C--------- ἤ
προφητεύουσιν V1--PAI3P- προφητεύω
ψευδῆ A3H-APN--- ψευδής
ἢ C--------- ἤ
ζῶσιν V3--PAI3P- ζάω
ἀδίκως D--------- ἀδίκως
ἢ C--------- ἤ
ἐπιορκοῦσιν V2--PAI3P- ὁρκέω ἐπι
ταχέως D--------- ταχέως

Wis 14:29
ἀψύχοις A1B-DPN--- ἄψυχος
γὰρ X--------- γάρ
πεποιθότες VX--XAPNPM πείθω
εἰδώλοις N2N-DPN--- εἴδωλον
κακῶς D--------- κακῶς
ὀμόσαντες VA--AAPNPM ὄμνυμι
ἀδικηθῆναι VC--APN--- ἀδικέω
οὐ D--------- οὐ
προσδέχονται V1--PMI3P- δέχομαι προς

Wis 14:30
ἀμφότερα A1A-NPN--- ἀμφότεροι
δὲ X--------- δέ
αὐτοὺς RD--APM--- αὐτός
μετελεύσεται VF--FMI3S- ἔρχομαι μετα
τὰ RA--NPN--- ὁ
δίκαια A1A-APN--- δίκαιος
ὅτι C--------- ὅτι
κακῶς D--------- κακῶς
ἐφρόνησαν VAI-AAI3P- φρονέω
περὶ P--------- περί
θεοῦ N2--GSM--- θεός
προσέχοντες V1--PAPNPM ἔχω προς
εἰδώλοις N2N-DPN--- εἴδωλον
καὶ C--------- καί
ἀδίκως D--------- ἀδίκως
ὤμοσαν VAI-AAI3P- ὄμνυμι
ἐν P--------- ἐν
δόλῳ N2--DSM--- δόλος
καταφρονήσαντες VA--AAPNPM φρονέω κατα
ὁσιότητος N3T-GSF--- ὁσιότης

Wis 14:31
οὐ D--------- οὐ
γὰρ X--------- γάρ
ἡ RA--NSF--- ὁ
τῶν RA--GPN--- ὁ
ὀμνυμένων V5--PMPGPN ὄμνυμι
δύναμις N3I-NSF--- δύναμις
ἀλλ' C--------- ἀλλά
ἡ RA--NSF--- ὁ
τῶν RA--GPM--- ὁ
ἁμαρτανόντων V1--PAPGPM ἁμαρτάνω
δίκη N1--NSF--- δίκη
ἐπεξέρχεται V1--PMI3S- ἔρχομαι ἐπι ἐκ
ἀεὶ D--------- ἀεί
τὴν RA--ASF--- ὁ
τῶν RA--GPM--- ὁ
ἀδίκων A1B-GPM--- ἄδικος
παράβασιν N3I-ASF--- παράβασις

Wis 15:1
σὺ RP--NS---- σύ
δέ X--------- δέ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ
χρηστὸς A1--NSM--- χρηστός
καὶ C--------- καί
