Jdt 1:1
ἐπαγαγεῖν VB--AAN--- ἄγω ἐπι
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
ὅρκον N2--ASM--- ὅρκος
ὃν RR--ASM--- ὅς
οὐ D--------- οὐ
παραβησόμεθα VF--FMI1P- βαίνω παρα

Jdt 8:31
καὶ C--------- καί
νῦν D--------- νῦν
δεήθητι VC--APD2S- δέω
περὶ P--------- περί
ἡμῶν RP--GP---- ἐγώ
ὅτι C--------- ὅτι
γυνὴ N3K-NSF--- γυνή
εὐσεβὴς A3H-NSF--- εὐσεβής
εἶ V9--PAI2S- εἰμί
καὶ C--------- καί
ἀποστελεῖ VF2-FAI3S- στέλλω ἀπο
κύριος N2--NSM--- κύριος
τὸν RA--ASM--- ὁ
ὑετὸν N2--ASM--- ὑετός
εἰς P--------- εἰς
πλήρωσιν N3I-ASF--- πλήρωσις
τῶν RA--GPM--- ὁ
λάκκων N2--GPM--- λάκκος
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἐκλείψομεν VF--FAI1P- λείπω ἐκ
ἔτι D--------- ἔτι

Jdt 8:32
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
Ιουδιθ N---NSF--- Ἰουδίθ
ἀκούσατέ VA--AAD2P- ἀκούω
μου RP--GS---- ἐγώ
καὶ C--------- καί
ποιήσω VF--FAI1S- ποιέω
πρᾶγμα N3M-ASN--- πρᾶγμα
ὃ RR--NSM--- ὅς
ἀφίξεται VF--FMI3S- ἱκνέομαι ἀπο
εἰς P--------- εἰς
γενεὰς N1A-APF--- γενεά
γενεῶν N1A-GPF--- γενεά
υἱοῖς N2--DPM--- υἱός
τοῦ RA--GSN--- ὁ
γένους N3E-GSN--- γένος
ἡμῶν RP--GP---- ἐγώ

Jdt 8:33
ὑμεῖς RP--NP---- σύ
στήσεσθε VF--FMI2P- ἵστημι
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
ταύτην RD--ASF--- οὗτος
καὶ C--------- καί
ἐξελεύσομαι VF--FMI1S- ἔρχομαι ἐκ
ἐγὼ RP--NS---- ἐγώ
μετὰ P--------- μετά
τῆς RA--GSF--- ὁ
ἅβρας N1A-GSF--- ἅβρα
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
μεθ' P--------- μετά
ἃς RR--APF--- ὅς
εἴπατε VAI-AAI2P- εἶπον
παραδώσειν VF--FAN--- δίδωμι παρα
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
τοῖς RA--DPM--- ὁ
ἐχθροῖς A1A-DPM--- ἐχθρός
ἡμῶν RP--GP---- ἐγώ
ἐπισκέψεται VF--FMI3S- σκέπτομαι ἐπι
κύριος N2--NSM--- κύριος
τὸν RA--ASM--- ὁ
Ισραηλ N---ASM--- Ἰσραήλ
ἐν P--------- ἐν
χειρί N3--DSF--- χείρ
μου RP--GS---- ἐγώ

Jdt 8:34
ὑμεῖς RP--NP---- σύ
δὲ X--------- δέ
οὐκ D--------- οὐ
ἐξερευνήσετε VF--FAI2P- ἐρευνάω ἐκ
τὴν RA--ASF--- ὁ
πρᾶξίν N3I-ASF--- πρᾶξις
μου RP--GS---- ἐγώ
οὐ D--------- οὐ
γὰρ X--------- γάρ
ἐρῶ VF2-FAI1S- εἶπον
ὑμῖν RP--DP---- σύ
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
τελεσθῆναι VS--APN--- τελέω
ἃ RR--APN--- ὅς
ἐγὼ RP--NS---- ἐγώ
ποιῶ V2--PAI1S- ποιέω

Jdt 8:35
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Οζιας N---NSM--- Οζιας
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
πρὸς P--------- πρός
αὐτήν RD--ASF--- αὐτός
πορεύου V1--PAD2S- πορεύομαι
εἰς P--------- εἰς
εἰρήνην N1--ASF--- εἰρήνη
καὶ C--------- καί
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἔμπροσθέν P--------- ἔμπροσθεν
σου RP--GS---- σύ
εἰς P--------- εἰς
ἐκδίκησιν N3I-ASF--- ἐκδίκησις
τῶν RA--GPM--- ὁ
ἐχθρῶν A1A-GPM--- ἐχθρός
ἡμῶν RP--GP---- ἐγώ

Jdt 8:36
καὶ C--------- καί
ἀποστρέψαντες VA--AAPNPM στρέφω ἀπο
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
σκηνῆς N1--GSF--- σκηνή
ἐπορεύθησαν VCI-API3P- πορεύομαι
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
διατάξεις N3I-APF--- διάταξις
αὐτῶν RD--GPM--- αὐτός

Jdt 9:1
Ιουδιθ N---NSF--- Ἰουδίθ
δὲ X--------- δέ
ἔπεσεν VAI-AAI3S- πίπτω
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
καὶ C--------- καί
ἐπέθετο VEI-AMI3S- τίθημι ἐπι
σποδὸν N2--ASM--- σποδός
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
κεφαλὴν N1--ASF--- κεφαλή
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐγύμνωσεν VAI-AAI3S- γυμνόω
ὃν RR--ASM--- ὅς
ἐνεδεδύκει VXI-YAI3S- δύω ἐν
σάκκον N2--ASM--- σάκκος
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
ἄρτι D--------- ἄρτι
προσφερόμενον V1--PMPNSN φέρω προς
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
τὸ RA--NSN--- ὁ
θυμίαμα N3M-NSN--- θυμίαμα
τῆς RA--GSF--- ὁ
ἑσπέρας N1A-GSF--- ἑσπέρα
ἐκείνης RD--GSF--- ἐκεῖνος
καὶ C--------- καί
ἐβόησεν VAI-AAI3S- βοάω
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
Ιουδιθ N---NSF--- Ἰουδίθ
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον

Jdt 9:2
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
πατρός N3R-GSM--- πατήρ
μου RP--GS---- ἐγώ
Συμεων N---GSM--- Συμεων
ᾧ RR--DSM--- ὅς
ἔδωκας VAI-AAI2S- δίδωμι
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
ῥομφαίαν N1A-ASF--- ῥομφαία
εἰς P--------- εἰς
ἐκδίκησιν N3I-ASF--- ἐκδίκησις
ἀλλογενῶν A3H-GPM--- ἀλλογενής
οἳ RR--NPM--- ὅς
ἔλυσαν VAI-AAI3P- λύω
μήτραν N1A-ASF--- μήτρα
παρθένου N2--GSF--- παρθένος
εἰς P--------- εἰς
μίασμα N3M-ASN--- μίασμα
καὶ C--------- καί
ἐγύμνωσαν VAI-AAI3P- γυμνόω
μηρὸν N2--ASM--- μηρός
εἰς P--------- εἰς
αἰσχύνην N1--ASF--- αἰσχύνη
καὶ C--------- καί
ἐβεβήλωσαν VAI-AAI3P- βεβηλόω
μήτραν N1A-ASF--- μήτρα
εἰς P--------- εἰς
ὄνειδος N3E-ASN--- ὄνειδος
εἶπας VAI-AAI2S- εἶπον
γάρ X--------- γάρ
οὐχ D--------- οὐ
οὕτως D--------- οὕτως
ἔσται VF--FMI3S- εἰμί
καὶ C--------- καί
ἐποίησαν VAI-AAI3P- ποιέω

Jdt 9:3
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἔδωκας VAI-AAI2S- δίδωμι
ἄρχοντας N3--APM--- ἄρχων
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
φόνον N2--ASM--- φόνος
καὶ C--------- καί
τὴν RA--ASF--- ὁ
στρωμνὴν N1--ASF--- στρωμνή
αὐτῶν RD--GPM--- αὐτός
ἣ RR--NSF--- ὅς
ᾐδέσατο VAI-AMI3S- αἰδέομαι
τὴν RA--ASF--- ὁ
ἀπάτην N1--ASF--- ἀπάτη
αὐτῶν RD--GPM--- αὐτός
ἀπατηθεῖσαν VC--APPASF ἀπατάω
εἰς P--------- εἰς
αἷμα N3M-ASN--- αἷμα
καὶ C--------- καί
ἐπάταξας VAI-AAI2S- πατάσσω
δούλους N2--APM--- δοῦλος
ἐπὶ P--------- ἐπί
δυνάσταις N1M-DPM--- δυνάστης
καὶ C--------- καί
δυνάστας N1M-APM--- δυνάστης
ἐπὶ P--------- ἐπί
θρόνους N2--APM--- θρόνος
αὐτῶν RD--GPM--- αὐτός

Jdt 9:4
καὶ C--------- καί
ἔδωκας VAI-AAI2S- δίδωμι
γυναῖκας N3K-APF--- γυνή
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
προνομὴν N1--ASF--- προνομή
καὶ C--------- καί
θυγατέρας N3R-APF--- θυγάτηρ
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
αἰχμαλωσίαν N1A-ASF--- αἰχμαλωσία
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
σκῦλα N2N-APN--- σκῦλον
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
διαίρεσιν N3I-ASF--- διαίρεσις
υἱῶν N2--GPM--- υἱός
ἠγαπημένων VM--XMPGPM ἀγαπάω
ὑπὸ P--------- ὑπό
σοῦ RP--GS---- σύ
οἳ RR--NPM--- ὅς
καὶ C--------- καί
ἐζήλωσαν VAI-AAI3P- ζηλόω
τὸν RA--ASM--- ὁ
ζῆλόν N2--ASM--- ζῆλος
σου RP--GS---- σύ
καὶ C--------- καί
ἐβδελύξαντο VAI-AMI3P- βδελύσσω
μίασμα N3M-ASN--- μίασμα
αἵματος N3M-GSN--- αἷμα
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐπεκαλέσαντό VAI-AMI3P- καλέω ἐπι
σε RP--AS---- σύ
εἰς P--------- εἰς
βοηθόν N2--ASM--- βοηθός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὁ RA--NSM--- ὁ
ἐμός A1--NSM--- ἐμός
καὶ C--------- καί
εἰσάκουσον VA--AAD2S- ἀκούω εἰς
ἐμοῦ RP--GS---- ἐγώ
τῆς RA--GSF--- ὁ
χήρας N1A-GSF--- χήρα

Jdt 9:5
σὺ RP--NS---- σύ
γὰρ X--------- γάρ
ἐποίησας VAI-AAI2S- ποιέω
τὰ RA--APN--- ὁ
πρότερα A1A-APNC-- πρότερος
ἐκείνων RD--GPN--- ἐκεῖνος
καὶ C--------- καί
ἐκεῖνα RD--APN--- ἐκεῖνος
καὶ C--------- καί
τὰ RA--APN--- ὁ
μετέπειτα D--------- μετέπειτα
καὶ C--------- καί
τὰ RA--APN--- ὁ
νῦν D--------- νῦν
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἐπερχόμενα V1--PMPAPN ἔρχομαι ἐπι
διενοήθης VCI-API2S- νοέομαι δια
καὶ C--------- καί
ἐγενήθησαν VCI-API3P- γίγνομαι
ἃ RR--APN--- ὅς
ἐνενοήθης VCI-API2S- νοέω ἐν

Jdt 9:6
καὶ C--------- καί
παρέστησαν VHI-AAI3P- ἵστημι παρα
ἃ RR--APN--- ὅς
ἐβουλεύσω VAI-AMI2S- βουλεύω
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
ἰδοὺ I--------- ἰδού
πάρεσμεν V9--PAI1P- εἰμί παρα
πᾶσαι A1S-NPF--- πᾶς
γὰρ X--------- γάρ
αἱ RA--NPF--- ὁ
ὁδοί N2--NPF--- ὁδός
σου RP--GS---- σύ
ἕτοιμοι A1--NPM--- ἕτοιμος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
κρίσις N3I-NSF--- κρίσις
σου RP--GS---- σύ
ἐν P--------- ἐν
προγνώσει N3I-DSF--- πρόγνωσις

Jdt 9:7
ἰδοὺ I--------- ἰδού
γὰρ X--------- γάρ
Ἀσσύριοι N2--NPM--- Ἀσσύριος
ἐπληθύνθησαν VCI-API3P- πληθύνω
ἐν P--------- ἐν
δυνάμει N3I-DSF--- δύναμις
αὐτῶν RD--GPM--- αὐτός
ὑψώθησαν VCI-API3P- ὑψόω
ἐφ' P--------- ἐπί
ἵππῳ N2--DSM--- ἵππος
καὶ C--------- καί
ἀναβάτῃ N1M-DSM--- ἀναβάτης
ἐγαυρίασαν VAI-AAI3P- γαυριάω
ἐν P--------- ἐν
βραχίονι N3N-DSM--- βραχίων
πεζῶν A1--GPM--- πεζός
ἤλπισαν VAI-AAI3P- ἐλπίζω
ἐν P--------- ἐν
ἀσπίδι N3D-DSF--- ἀσπίς
καὶ C--------- καί
ἐν P--------- ἐν
γαίσῳ N2--DSM--- γαῖσος
καὶ C--------- καί
τόξῳ N2N-DSN--- τόξον
καὶ C--------- καί
σφενδόνῃ N1--DSF--- σφενδόνη
καὶ C--------- καί
οὐκ D--------- οὐ
ἔγνωσαν VZI-AAI3P- γιγνώσκω
ὅτι C--------- ὅτι
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
κύριος N2--NSM--- κύριος
συντρίβων V1--PAPNSM τρίβω συν
πολέμους N2--APM--- πόλεμος

Jdt 9:8
κύριος N2--NSM--- κύριος
ὄνομά N3M-NSN--- ὄνομα
σοι RP--DS---- σύ
σὺ RP--NS---- σύ
ῥάξον VA--AAD2S- ῥάσσω
αὐτῶν RD--GPM--- αὐτός
τὴν RA--ASF--- ὁ
ἰσχὺν N3--ASF--- ἰσχύς
ἐν P--------- ἐν
δυνάμει N3I-DSF--- δύναμις
σου RP--GS---- σύ
καὶ C--------- καί
κάταξον VA--AAD2S- ἄγω κατα
τὸ RA--ASN--- ὁ
κράτος N3E-ASN--- κράτος
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
θυμῷ N2--DSM--- θυμός
σου RP--GS---- σύ
ἐβουλεύσαντο VAI-AMI3P- βουλεύω
γὰρ X--------- γάρ
βεβηλῶσαι VA--AAN--- βεβηλόω
τὰ RA--APN--- ὁ
ἅγιά A1A-APN--- ἅγιος
σου RP--GS---- σύ
μιᾶναι VA--AAN--- μιαίνω
τὸ RA--ASN--- ὁ
σκήνωμα N3M-ASN--- σκήνωμα
τῆς RA--GSF--- ὁ
καταπαύσεως N3I-GSF--- κατάπαυσις
τοῦ RA--GSN--- ὁ
ὀνόματος N3M-GSN--- ὄνομα
τῆς RA--GSF--- ὁ
δόξης N1S-GSF--- δόξα
σου RP--GS---- σύ
καταβαλεῖν VB--AAN--- βάλλω κατα
σιδήρῳ N2--DSM--- σίδηρος
κέρας N3T-ASN--- κέρας
θυσιαστηρίου N2N-GSN--- θυσιαστήριον
σου RP--GS---- σύ

Jdt 9:9
βλέψον VA--AAD2S- βλέπω
εἰς P--------- εἰς
ὑπερηφανίαν N1A-ASF--- ὑπερηφανία
αὐτῶν RD--GPM--- αὐτός
ἀπόστειλον VA--AAD2S- στέλλω ἀπο
τὴν RA--ASF--- ὁ
ὀργήν N1--ASF--- ὀργή
σου RP--GS---- σύ
εἰς P--------- εἰς
κεφαλὰς N1--APF--- κεφαλή
αὐτῶν RD--GPM--- αὐτός
δὸς VO--AAD2S- δίδωμι
ἐν P--------- ἐν
χειρί N3--DSF--- χείρ
μου RP--GS---- ἐγώ
τῆς RA--GSF--- ὁ
χήρας N1A-GSF--- χήρα
ὃ RR--ASN--- ὅς
διενοήθην VCI-API1S- νοέομαι δια
κράτος N3E-ASN--- κράτος

Jdt 9:10
πάταξον VA--AAD2S- πατάσσω
δοῦλον N2--ASM--- δοῦλος
ἐκ P--------- ἐκ
χειλέων N3E-GPN--- χεῖλος
ἀπάτης N1--GSF--- ἀπάτη
μου RP--GS---- ἐγώ
ἐπ' P--------- ἐπί
ἄρχοντι N3--DSM--- ἄρχων
καὶ C--------- καί
ἄρχοντα N3--ASM--- ἄρχων
ἐπὶ P--------- ἐπί
θεράποντι N3T-DSM--- θεράπων
αὐτοῦ RD--GSM--- αὐτός
θραῦσον VA--AAD2S- θραύω
αὐτῶν RD--GPM--- αὐτός
τὸ RA--ASN--- ὁ
ἀνάστεμα N3M-ASN--- ἀνάστημα
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
θηλείας A3U-GSF--- θῆλυς

Jdt 9:11
οὐ D--------- οὐ
γὰρ X--------- γάρ
ἐν P--------- ἐν
πλήθει N3E-DSN--- πλῆθος
τὸ RA--NSN--- ὁ
κράτος N3E-NSN--- κράτος
σου RP--GS---- σύ
οὐδὲ C--------- οὐδέ
ἡ RA--NSF--- ὁ
δυναστεία N1A-NSF--- δυναστεία
σου RP--GS---- σύ
ἐν P--------- ἐν
ἰσχύουσιν V1--PAPDPM ἰσχύω
ἀλλὰ C--------- ἀλλά
ταπεινῶν A1--GPM--- ταπεινός
εἶ V9--PAI2S- εἰμί
θεός N2--NSM--- θεός
ἐλαττόνων A3N-GPM--- ἐλάττων
εἶ V9--PAI2S- εἰμί
βοηθός N2--NSM--- βοηθός
ἀντιλήμπτωρ N3R-NSM--- ἀντιλήπτωρ
ἀσθενούντων V2--PAPGPM ἀσθενέω
ἀπεγνωσμένων VT--XMPGPM γιγνώσκω ἀπο
σκεπαστής N1M-NSM--- σκεπαστής
ἀπηλπισμένων VM--XMPGPM ἐλπίζω ἀπο
σωτήρ N3--NSM--- σωτήρ

Jdt 9:12
ναὶ X--------- ναί
ναὶ X--------- ναί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
πατρός N3R-GSM--- πατήρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
θεὸς N2--NSM--- θεός
κληρονομίας N1A-GSF--- κληρονομία
Ισραηλ N---GSM--- Ἰσραήλ
δέσποτα N1M-VSM--- δεσπότης
τῶν RA--GPM--- ὁ
οὐρανῶν N2--GPM--- οὐρανός
καὶ C--------- καί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
κτίστα N1M-VSM--- κτίστης
τῶν RA--GPN--- ὁ
ὑδάτων N3T-GPN--- ὕδωρ
βασιλεῦ N3V-VSM--- βασιλεύς
πάσης A1S-GSF--- πᾶς
κτίσεώς N3I-GSF--- κτίσις
σου RP--GS---- σύ
σὺ RP--NS---- σύ
εἰσάκουσον VA--AAD2S- ἀκούω εἰς
τῆς RA--GSF--- ὁ
δεήσεώς N3I-GSF--- δέησις
μου RP--GS---- ἐγώ

Jdt 9:13
καὶ C--------- καί
δὸς VO--AAD2S- δίδωμι
λόγον N2--ASM--- λόγος
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἀπάτην N1--ASF--- ἀπάτη
εἰς P--------- εἰς
τραῦμα N3M-ASN--- τραῦμα
καὶ C--------- καί
μώλωπα N3P-ASM--- μώλωψ
αὐτῶν RD--GPM--- αὐτός
οἳ RR--NPM--- ὅς
κατὰ P--------- κατά
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
σου RP--GS---- σύ
καὶ C--------- καί
οἴκου N2--GSM--- οἶκος
ἡγιασμένου VT--XMPGSM ἁγιάζω
σου RP--GS---- σύ
καὶ C--------- καί
κορυφῆς N1--GSF--- κορυφή
Σιων N---GS---- Σιων
καὶ C--------- καί
οἴκου N2--GSM--- οἶκος
κατασχέσεως N3I-GSF--- κατάσχεσις
υἱῶν N2--GPM--- υἱός
σου RP--GS---- σύ
ἐβουλεύσαντο VAI-AMI3P- βουλεύω
σκληρά A1A-APN--- σκληρός

Jdt 9:14
καὶ C--------- καί
ποίησον VA--AAD2S- ποιέω
ἐπὶ P--------- ἐπί
παντὸς A3--GSN--- πᾶς
ἔθνους N3E-GSN--- ἔθνος
σου RP--GS---- σύ
καὶ C--------- καί
πάσης A1S-GSF--- πᾶς
φυλῆς N1--GSF--- φυλή
ἐπίγνωσιν N3I-ASF--- ἐπίγνωσις
τοῦ RA--GSN--- ὁ
εἰδῆσαι VA--AAN--- οἶδα
ὅτι C--------- ὅτι
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
θεὸς N2--NSM--- θεός
πάσης A1S-GSF--- πᾶς
δυνάμεως N3I-GSF--- δύναμις
καὶ C--------- καί
κράτους N3E-GSN--- κράτος
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἄλλος RD--NSM--- ἄλλος
ὑπερασπίζων V1--PAPNSM ἀσπίζω ὑπερ
τοῦ RA--GSN--- ὁ
γένους N3E-GSN--- γένος
Ισραηλ N---GSM--- Ἰσραήλ
εἰ C--------- εἰ
μὴ D--------- μή
σύ RP--NS---- σύ

Jdt 10:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὡς C--------- ὡς
ἐπαύσατο VAI-AMI3S- παύω
βοῶσα V3--PAPNSF βοάω
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
συνετέλεσεν VAI-AAI3S- τελέω συν
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ῥήματα N3M-APN--- ῥῆμα
ταῦτα RD--APN--- οὗτος

Jdt 10:2
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
πτώσεως N3I-GSF--- πτῶσις
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
τὴν RA--ASF--- ὁ
ἅβραν N1A-ASF--- ἅβρα
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
κατέβη VZI-AAI3S- βαίνω κατα
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
ἐν P--------- ἐν
ᾧ RR--DSM--- ὅς
διέτριβεν V1I-IAI3S- τρίβω δια
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
τῶν RA--GPN--- ὁ
σαββάτων N2N-GPN--- σάββατον
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἑορταῖς N1--DPF--- ἑορτή
αὐτῆς RD--GSF--- αὐτός

Jdt 10:3
καὶ C--------- καί
περιείλατο VAI-AMI3S- αἱρέω περι
τὸν RA--ASM--- ὁ
σάκκον N2--ASM--- σάκκος
ὃν RR--ASM--- ὅς
ἐνεδεδύκει VXI-YAI3S- δύω ἐν
καὶ C--------- καί
ἐξεδύσατο VAI-AMI3S- δύω ἐκ
τὰ RA--APN--- ὁ
ἱμάτια N2N-APN--- ἱμάτιον
τῆς RA--GSF--- ὁ
χηρεύσεως N3I-GSF--- χήρευσις
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
περιεκλύσατο VAI-AMI3S- κλύω περι
τὸ RA--ASN--- ὁ
σῶμα N3M-ASN--- σῶμα
ὕδατι N3T-DSN--- ὕδωρ
καὶ C--------- καί
ἐχρίσατο VAI-AMI3S- χρίω
μύρῳ N2N-DSN--- μύρον
παχεῖ N3E-DSN--- πάχος
καὶ C--------- καί
