1Sa 1:1
αὐτομολούντων V2--PAPGPN αὐτομολέω
οὐ D--------- οὐ
γὰρ X--------- γάρ
οἶδα VX--XAI1S- οἶδα
ὅτι C--------- ὅτι
μέτοχος N2--NSM--- μέτοχος
εἶ V9--PAI2S- εἰμί
σὺ RP--NS---- σύ
τῷ RA--DSM--- ὁ
υἱῷ N2--DSM--- υἱός
Ιεσσαι N---GSM--- Ιεσσαι
εἰς P--------- εἰς
αἰσχύνην N1--ASF--- αἰσχύνη
σου RP--GS---- σύ
καὶ C--------- καί
εἰς P--------- εἰς
αἰσχύνην N1--ASF--- αἰσχύνη
ἀποκαλύψεως N3I-GSF--- ἀποκάλυψις
μητρός N3--GSF--- μήτηρ
σου RP--GS---- σύ

1Sa 20:31
ὅτι C--------- ὅτι
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
ἃς RR--APF--- ὅς
ὁ RA--NSM--- ὁ
υἱὸς N2--NSM--- υἱός
Ιεσσαι N---GSM--- Ιεσσαι
ζῇ V3--PAS3S- ζάω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
οὐχ D--------- οὐ
ἑτοιμασθήσεται VS--FPI3S- ἑτοιμάζω
ἡ RA--NSF--- ὁ
βασιλεία N1A-NSF--- βασιλεία
σου RP--GS---- σύ
νῦν D--------- νῦν
οὖν X--------- οὖν
ἀποστείλας VA--AAPNSM στέλλω ἀπο
λαβὲ VB--AAD2S- λαμβάνω
τὸν RA--ASM--- ὁ
νεανίαν N1T-ASM--- νεανίας
ὅτι C--------- ὅτι
υἱὸς N2--NSM--- υἱός
θανάτου N2--GSM--- θάνατος
οὗτος RD--NSM--- οὗτος

1Sa 20:32
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
Ιωναθαν N---NSM--- Ιωναθαν
τῷ RA--DSM--- ὁ
Σαουλ N---DSM--- Σαούλ
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
ἀποθνῄσκει V1--PAI3S- θνήσκω ἀπο
τί RI--ASN--- τίς
πεποίηκεν VX--XAI3S- ποιέω

1Sa 20:33
καὶ C--------- καί
ἐπῆρεν VAI-AAI3S- αἴρω ἐπι
Σαουλ N---NSM--- Σαούλ
τὸ RA--ASN--- ὁ
δόρυ N3--ASN--- δόρυ
ἐπὶ P--------- ἐπί
Ιωναθαν N---ASM--- Ιωναθαν
τοῦ RA--GSN--- ὁ
θανατῶσαι VA--AAN--- θανατόω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
ἔγνω VZI-AAI3S- γιγνώσκω
Ιωναθαν N---NSM--- Ιωναθαν
ὅτι C--------- ὅτι
συντετέλεσται VX--XPI3S- τελέω συν
ἡ RA--NSF--- ὁ
κακία N1A-NSF--- κακία
αὕτη RD--NSF--- οὗτος
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
θανατῶσαι VA--AAN--- θανατόω
τὸν RA--ASM--- ὁ
Δαυιδ N---ASM--- Δαυίδ

1Sa 20:34
καὶ C--------- καί
ἀνεπήδησεν VAI-AAI3S- πηδάω ἀνα
Ιωναθαν N---NSM--- Ιωναθαν
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
τραπέζης N1S-GSF--- τράπεζα
ἐν P--------- ἐν
ὀργῇ N1--DSF--- ὀργή
θυμοῦ N2--GSM--- θυμός
καὶ C--------- καί
οὐκ D--------- οὐ
ἔφαγεν VBI-AAI3S- ἐσθίω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
δευτέρᾳ A1A-DSF--- δεύτερος
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
ἄρτον N2--ASM--- ἄρτος
ὅτι C--------- ὅτι
ἐθραύσθη VCI-API3S- θραύω
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
Δαυιδ N---ASM--- Δαυίδ
ὅτι C--------- ὅτι
συνετέλεσεν VAI-AAI3S- τελέω συν
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός

1Sa 20:35
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
πρωὶ D--------- πρωΐ
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
Ιωναθαν N---NSM--- Ιωναθαν
εἰς P--------- εἰς
ἀγρόν N2--ASM--- ἀγρός
καθὼς D--------- καθώς
ἐτάξατο VAI-AMI3S- τάσσω
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
μαρτύριον N2N-ASN--- μαρτύριον
Δαυιδ N---NSM--- Δαυίδ
καὶ C--------- καί
παιδάριον N2N-ASN--- παιδάριον
μικρὸν A1A-ASN--- μικρός
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός

1Sa 20:36
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSN--- ὁ
παιδαρίῳ N2N-DSN--- παιδάριον
δράμε VB--AAD2S- τρέχω
εὑρέ VB--AAD2S- εὑρίσκω
μοι RP--DS---- ἐγώ
τὰς RA--APF--- ὁ
σχίζας N1A-APF--- σχίζα
ἐν P--------- ἐν
αἷς RR--DPF--- ὅς
ἐγὼ RP--NS---- ἐγώ
ἀκοντίζω V1--PAI1S- ἀκοντίζω
καὶ C--------- καί
τὸ RA--NSN--- ὁ
παιδάριον N2N-NSN--- παιδάριον
ἔδραμε VBI-AAI3S- τρέχω
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
ἠκόντιζε VAI-AAI3S- ἀκοντίζω
τῇ RA--DSF--- ὁ
σχίζῃ N1S-DSF--- σχίζα
καὶ C--------- καί
παρήγαγεν VBI-AAI3S- ἄγω παρα
αὐτήν RD--ASF--- αὐτός

1Sa 20:37
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
τὸ RA--NSN--- ὁ
παιδάριον N2N-NSN--- παιδάριον
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
τῆς RA--GSF--- ὁ
σχίζης N1S-GSF--- σχίζα
οὗ RR--GSM--- ὅς
ἠκόντιζεν VAI-AAI3S- ἀκοντίζω
Ιωναθαν N---NSM--- Ιωναθαν
καὶ C--------- καί
ἀνεβόησεν VAI-AAI3S- βοάω ἀνα
Ιωναθαν N---NSM--- Ιωναθαν
ὀπίσω P--------- ὀπίσω
τοῦ RA--GSM--- ὁ
νεανίου N1T-GSM--- νεανίας
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἐκεῖ D--------- ἐκεῖ
ἡ RA--NSF--- ὁ
σχίζα N1A-NSF--- σχίζα
ἀπὸ P--------- ἀπό
σοῦ RP--GS---- σύ
καὶ C--------- καί
ἐπέκεινα D--------- ἐπέκεινα

1Sa 20:38
καὶ C--------- καί
ἀνεβόησεν VAI-AAI3S- βοάω ἀνα
Ιωναθαν N---NSM--- Ιωναθαν
ὀπίσω P--------- ὀπίσω
τοῦ RA--GSN--- ὁ
παιδαρίου N2N-GSN--- παιδάριον
αὐτοῦ RD--GSM--- αὐτός
λέγων V1--PAPNSM λέγω
ταχύνας V1--PAPASN ταχύνω
σπεῦσον VA--AAD2S- σπεύδω
καὶ C--------- καί
μὴ D--------- μή
στῇς VH--AAS2S- ἵστημι
καὶ C--------- καί
ἀνέλεξεν VAI-AAI3S- λέγω ἀνα
τὸ RA--NSN--- ὁ
παιδάριον N2N-NSN--- παιδάριον
Ιωναθαν N---ASM--- Ιωναθαν
τὰς RA--APF--- ὁ
σχίζας N1A-APF--- σχίζα
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
αὐτοῦ RD--GSM--- αὐτός

1Sa 20:39
καὶ C--------- καί
τὸ RA--NSN--- ὁ
παιδάριον N2N-NSN--- παιδάριον
οὐκ D--------- οὐ
ἔγνω VZI-AAI3S- γιγνώσκω
οὐθέν A3--ASN--- οὐδείς
πάρεξ P--------- πάρεξ
Ιωναθαν N---NSM--- Ιωναθαν
καὶ C--------- καί
Δαυιδ N---NSM--- Δαυίδ
ἔγνωσαν VZI-AAI3P- γιγνώσκω
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα

1Sa 20:40
καὶ C--------- καί
Ιωναθαν N---NSM--- Ιωναθαν
ἔδωκεν VAI-AAI3S- δίδωμι
τὰ RA--APN--- ὁ
σκεύη N3E-APN--- σκεῦος
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
παιδάριον N2N-ASN--- παιδάριον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSN--- ὁ
παιδαρίῳ N2N-DSN--- παιδάριον
αὐτοῦ RD--GSM--- αὐτός
πορεύου V1--PAD2S- πορεύομαι
εἴσελθε VB--AAD2S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις

1Sa 20:41
καὶ C--------- καί
ὡς C--------- ὡς
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
τὸ RA--NSN--- ὁ
παιδάριον N2N-NSN--- παιδάριον
καὶ D--------- καί
Δαυιδ N---NSM--- Δαυίδ
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
εργαβ N---GSN--- εργαβ
καὶ C--------- καί
ἔπεσεν VAI-AAI3S- πίπτω
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
προσεκύνησεν VAI-AAI3S- κυνέω προς
αὐτῷ RD--DSM--- αὐτός
τρίς D--------- τρεῖς
καὶ C--------- καί
κατεφίλησεν VAI-AAI3S- φιλέω κατα
ἕκαστος A1--NSM--- ἕκαστος
τὸν RA--ASM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔκλαυσεν VAI-AAI3S- κλαίω
ἕκαστος A1--NSM--- ἕκαστος
τῷ RA--DSM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός
ἕως P--------- ἕως
συντελείας N1A-GSF--- συντέλεια
μεγάλης A1--GSF--- μέγας

1Sa 20:42
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ιωναθαν N---NSM--- Ιωναθαν
πορεύου V1--PAD2S- πορεύομαι
εἰς P--------- εἰς
εἰρήνην N1--ASF--- εἰρήνη
καὶ C--------- καί
ὡς C--------- ὡς
ὀμωμόκαμεν VX--XAI1P- ὄμνυμι
ἡμεῖς RP--NP---- ἐγώ
ἀμφότεροι A1A-NPM--- ἀμφότεροι
ἐν P--------- ἐν
ὀνόματι N3M-DSN--- ὄνομα
κυρίου N2--GSM--- κύριος
λέγοντες V1--PAPNPM λέγω
κύριος N2--NSM--- κύριος
ἔσται VF--FMI3S- εἰμί
μάρτυς N3--NSM--- μάρτυς
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
σοῦ RP--GS---- σύ
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τοῦ RA--GSN--- ὁ
σπέρματός N3M-GSN--- σπέρμα
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τοῦ RA--GSN--- ὁ
σπέρματός N3M-GSN--- σπέρμα
σου RP--GS---- σύ
ἕως P--------- ἕως
αἰῶνος N3W-GSM--- αἰών

1Sa 21:1
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
Δαυιδ N---NSM--- Δαυίδ
καὶ C--------- καί
ἀπῆλθεν VBI-AAI3S- ἔρχομαι ἀπο
καὶ C--------- καί
Ιωναθαν N---NSM--- Ιωναθαν
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις

1Sa 21:2
καὶ C--------- καί
ἔρχεται V1--PMI3S- ἔρχομαι
Δαυιδ N---NSM--- Δαυίδ
εἰς P--------- εἰς
Νομβα N---AS---- Νομβα
πρὸς P--------- πρός
Αβιμελεχ N---ASM--- Αβιμελεχ
τὸν RA--ASM--- ὁ
ἱερέα N3V-ASM--- ἱερεύς
καὶ C--------- καί
ἐξέστη VHI-AAI3S- ἵστημι ἐκ
Αβιμελεχ N---NSM--- Αβιμελεχ
τῇ RA--DSF--- ὁ
ἀπαντήσει N3I-DSF--- ἀπάντησις
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
τί RI-------- τίς
ὅτι C--------- ὅτι
σὺ RP--NS---- σύ
μόνος A1--NSM--- μόνος
καὶ C--------- καί
οὐθεὶς A3--NPN--- οὐδείς
μετὰ P--------- μετά
σοῦ RP--GS---- σύ

1Sa 21:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δαυιδ N---NSM--- Δαυίδ
τῷ RA--DSM--- ὁ
ἱερεῖ N3V-DSM--- ἱερεύς
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐντέταλταί VM--XMI3S- τέλλομαι ἐν
μοι RP--DS---- ἐγώ
ῥῆμα N3M-ASN--- ῥῆμα
σήμερον D--------- σήμερον
καὶ C--------- καί
εἶπέν VBI-AAI3S- εἶπον
μοι RP--DS---- ἐγώ
μηδεὶς A3--NSN--- μηδείς
γνώτω VZ--AAD3S- γιγνώσκω
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
περὶ P--------- περί
οὗ RR--GSN--- ὅς
ἐγὼ RP--NS---- ἐγώ
ἀποστέλλω V1--PAI1S- στέλλω ἀπο
σε RP--AS---- σύ
καὶ C--------- καί
ὑπὲρ P--------- ὑπέρ
οὗ RR--GSM--- ὅς
ἐντέταλμαί VM--XMI1S- τέλλομαι ἐν
σοι RP--DS---- σύ
καὶ C--------- καί
τοῖς RA--DPN--- ὁ
παιδαρίοις N2N-DPN--- παιδάριον
διαμεμαρτύρημαι VM--XMI1S- μαρτυρέω δια
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
τῷ RA--DSM--- ὁ
λεγομένῳ V1--PMPDSM λέγω
θεοῦ N2--GSM--- θεός
πίστις N3I-NSF--- πίστις
Φελλανι N---NSM--- Φελλανι
Αλεμωνι N---NSM--- Αλεμωνι

1Sa 21:4
καὶ C--------- καί
νῦν D--------- νῦν
εἰ C--------- εἰ
εἰσὶν V9--PAI3P- εἰμί
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
σου RP--GS---- σύ
πέντε M--------- πέντε
ἄρτοι N2--NPM--- ἄρτος
δὸς VO--AAD2S- δίδωμι
εἰς P--------- εἰς
χεῖρά N3--ASF--- χείρ
μου RP--GS---- ἐγώ
τὸ RA--ASN--- ὁ
εὑρεθέν VC--APPASN εὑρίσκω

1Sa 21:5
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
τῷ RA--DSM--- ὁ
Δαυιδ N---DSM--- Δαυίδ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
οὐκ D--------- οὐ
εἰσὶν V9--PAI3P- εἰμί
ἄρτοι N2--NPM--- ἄρτος
βέβηλοι A1B-NPM--- βέβηλος
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
ἄρτοι N2--NPM--- ἄρτος
ἅγιοι A1A-NPM--- ἅγιος
εἰσίν V9--PAI3P- εἰμί
εἰ C--------- εἰ
πεφυλαγμένα VK--XMPAPN φυλάσσω
τὰ RA--APN--- ὁ
παιδάριά N2N-APN--- παιδάριον
ἐστιν V9--PAI3S- εἰμί
ἀπὸ P--------- ἀπό
γυναικός N3K-GSF--- γυνή
καὶ C--------- καί
φάγεται VF--FMI3S- ἐσθίω

1Sa 21:6
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
Δαυιδ N---NSM--- Δαυίδ
τῷ RA--DSM--- ὁ
ἱερεῖ N3V-DSM--- ἱερεύς
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἀλλὰ C--------- ἀλλά
ἀπὸ P--------- ἀπό
γυναικὸς N3K-GSF--- γυνή
ἀπεσχήμεθα VMI-XMI1P- ἔχω ἀπο
ἐχθὲς D--------- ἐχθές
καὶ C--------- καί
τρίτην A1--ASF--- τρίτος
ἡμέραν N1A-ASF--- ἡμέρα
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἐξελθεῖν VB--AAN--- ἔρχομαι ἐκ
με RP--AS---- ἐγώ
εἰς P--------- εἰς
ὁδὸν N2--ASF--- ὁδός
γέγονε VX--XAI3S- γίγνομαι
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
παιδάρια N2N-APN--- παιδάριον
ἡγνισμένα VM--XMPAPN ἁγνίζω
καὶ C--------- καί
αὐτὴ RD--NSF--- αὐτός
ἡ RA--NSF--- ὁ
ὁδὸς N2--NSF--- ὁδός
βέβηλος A1B-NSF--- βέβηλος
διότι C--------- διότι
ἁγιασθήσεται VS--FPI3S- ἁγιάζω
σήμερον D--------- σήμερον
διὰ P--------- διά
τὰ RA--APN--- ὁ
σκεύη N3E-APN--- σκεῦος
μου RP--GS---- ἐγώ

1Sa 21:7
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
Αβιμελεχ N---NSM--- Αβιμελεχ
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
τοὺς RA--APM--- ὁ
ἄρτους N2--APM--- ἄρτος
τῆς RA--GSF--- ὁ
προθέσεως N3I-GSF--- πρόθεσις
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ἐκεῖ D--------- ἐκεῖ
ἄρτος N2--NSM--- ἄρτος
ὅτι C--------- ὅτι
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
ἄρτοι N2--NPM--- ἄρτος
τοῦ RA--GSN--- ὁ
προσώπου N2N-GSN--- πρόσωπον
οἱ RA--NPM--- ὁ
ἀφῃρημένοι VM--XMPNPM αἱρέω ἀπο
ἐκ P--------- ἐκ
προσώπου N2N-GSN--- πρόσωπον
κυρίου N2--GSM--- κύριος
παρατεθῆναι VC--APN--- τίθημι παρα
ἄρτον N2--ASM--- ἄρτος
θερμὸν A1--ASM--- θερμός
ᾗ RR--DSF--- ὅς
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἔλαβεν VBI-AAI3S- λαμβάνω
αὐτούς RD--APM--- αὐτός

1Sa 21:8
καὶ C--------- καί
ἐκεῖ D--------- ἐκεῖ
ἦν V9--IAI3S- εἰμί
ἓν A3--ASN--- εἷς
τῶν RA--GPN--- ὁ
παιδαρίων N2N-GPN--- παιδάριον
τοῦ RA--GSM--- ὁ
Σαουλ N---GSM--- Σαούλ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
συνεχόμενος V1--PMPNSM ἔχω συν
νεεσσαραν N---NSM--- νεεσσαραν
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ὄνομα N3M-ASN--- ὄνομα
αὐτῷ RD--DSM--- αὐτός
Δωηκ N---NSM--- Δωηκ
ὁ RA--NSM--- ὁ
Σύρος N2--NSM--- Σύρος
νέμων V1--PAPNSM νέμω
τὰς RA--APF--- ὁ
ἡμιόνους N2--APF--- ἡμίονος
Σαουλ N---GSM--- Σαούλ

1Sa 21:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δαυιδ N---NSM--- Δαυίδ
πρὸς P--------- πρός
Αβιμελεχ N---ASM--- Αβιμελεχ
ἰδὲ VB--AAD2S- ὁράω
εἰ C--------- εἰ
ἔστιν V9--PAI3S- εἰμί
ἐνταῦθα D--------- ἐνταῦθα
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
σου RP--GS---- σύ
δόρυ N3--NSN--- δόρυ
ἢ C--------- ἤ
ῥομφαία N1A-NSF--- ῥομφαία
ὅτι C--------- ὅτι
τὴν RA--ASF--- ὁ
ῥομφαίαν N1A-ASF--- ῥομφαία
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὰ RA--APN--- ὁ
σκεύη N3E-APN--- σκεῦος
οὐκ D--------- οὐ
εἴληφα VX--XAI1S- λαμβάνω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χειρί N3--DSF--- χείρ
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
ἦν V9--IAI3S- εἰμί
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
κατὰ P--------- κατά
σπουδήν N1--ASF--- σπουδή

1Sa 21:10
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
ἱερεύς N3V-NSM--- ἱερεύς
ἰδοὺ I--------- ἰδού
ἡ RA--NSF--- ὁ
ῥομφαία N1A-NSF--- ῥομφαία
Γολιαθ N---GSM--- Γολιαθ
τοῦ RA--GSM--- ὁ
ἀλλοφύλου A1B-GSM--- ἀλλόφυλος
ὃν RR--ASM--- ὅς
ἐπάταξας VAI-AAI2S- πατάσσω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
κοιλάδι N3D-DSF--- κοιλάς
Ηλα N---GSM--- Ηλα
καὶ C--------- καί
αὐτὴ RD--NSF--- αὐτός
ἐνειλημένη VM--XMPNSF εἰλέω ἐν
ἐν P--------- ἐν
ἱματίῳ N2N-DSN--- ἱμάτιον
εἰ C--------- εἰ
ταύτην RD--ASF--- οὗτος
λήμψῃ VF--FMI2S- λαμβάνω
σεαυτῷ RD--DSM--- σεαυτοῦ
λαβέ VB--AAD2S- λαμβάνω
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἑτέρα A1A-APN--- ἕτερος
πάρεξ P--------- πάρεξ
ταύτης RD--GSF--- οὗτος
ἐνταῦθα D--------- ἐνταῦθα
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δαυιδ N---NSM--- Δαυίδ
ἰδοὺ I--------- ἰδού
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ὥσπερ D--------- ὥσπερ
αὐτή RD--NSF--- αὐτός
δός VO--AAD2S- δίδωμι
μοι RP--DS---- ἐγώ
αὐτήν RD--ASF--- αὐτός

1Sa 21:11
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτὴν RD--ASF--- αὐτός
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
Δαυιδ N---NSM--- Δαυίδ
καὶ C--------- καί
ἔφυγεν VBI-AAI3S- φεύγω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
ἐκ P--------- ἐκ
προσώπου N2N-GSN--- πρόσωπον
Σαουλ N---GSM--- Σαούλ
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
